Learner,selections,avg_weight,percentage,horizon,state,year,experiment
Chronos,1451,1.0,19.931318681318682,horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2020_log
Moirai,1428,1.0,19.615384615384617,horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2020_log
Time-MoE,1507,1.0,20.70054945054945,horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2020_log
Timer,1445,1.0,19.8489010989011,horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2020_log
TimesFM,1449,1.0,19.903846153846153,horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2020_log
Chronos,494,1.0,19.791666666666668,horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2021_log
Moirai,508,1.0,20.352564102564102,horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2021_log
Time-MoE,513,1.0,20.552884615384617,horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2021_log
Timer,492,1.0,19.71153846153846,horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2021_log
TimesFM,489,1.0,19.591346153846153,horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2021_log
Chronos,1375,1.0,20.658052884615383,horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2022_log
Moirai,1329,1.0,19.966947115384617,horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2022_log
Time-MoE,1304,1.0,19.591346153846153,horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2022_log
Timer,1335,1.0,20.057091346153847,horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2022_log
TimesFM,1313,1.0,19.7265625,horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2022_log
Chronos,623,1.0,19.96794871794872,horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2023_log
Moirai,648,1.0,20.76923076923077,horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2023_log
Time-MoE,617,1.0,19.775641025641026,horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2023_log
Timer,619,1.0,19.83974358974359,horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2023_log
TimesFM,613,1.0,19.647435897435898,horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2023_log
Chronos,1448,1.0,19.89010989010989,horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2024_log
Moirai,1441,1.0,19.793956043956044,horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2024_log
Time-MoE,1450,1.0,19.917582417582416,horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2024_log
Timer,1483,1.0,20.37087912087912,horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2024_log
TimesFM,1458,1.0,20.02747252747253,horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2024_log
Chronos,601,1.0,20.638736263736263,horizon_24,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2020_log
Moirai,580,1.0,19.917582417582416,horizon_24,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2020_log
Time-MoE,573,1.0,19.677197802197803,horizon_24,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2020_log
Timer,601,1.0,20.638736263736263,horizon_24,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2020_log
TimesFM,557,1.0,19.127747252747252,horizon_24,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2020_log
Chronos,703,1.0,19.881221719457013,horizon_24,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2021_log
Moirai,700,1.0,19.79638009049774,horizon_24,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2021_log
Time-MoE,722,1.0,20.418552036199095,horizon_24,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2021_log
Timer,703,1.0,19.881221719457013,horizon_24,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2021_log
TimesFM,708,1.0,20.02262443438914,horizon_24,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2021_log
Chronos,588,1.0,20.192307692307693,horizon_24,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2022_log
Moirai,602,1.0,20.673076923076923,horizon_24,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2022_log
Time-MoE,572,1.0,19.642857142857142,horizon_24,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2022_log
Timer,595,1.0,20.432692307692307,horizon_24,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2022_log
TimesFM,555,1.0,19.059065934065934,horizon_24,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2022_log
Chronos,494,1.0,19.791666666666668,horizon_24,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2023_log
Moirai,508,1.0,20.352564102564102,horizon_24,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2023_log
Time-MoE,513,1.0,20.552884615384617,horizon_24,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2023_log
Timer,492,1.0,19.71153846153846,horizon_24,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2023_log
TimesFM,489,1.0,19.591346153846153,horizon_24,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2023_log
Chronos,623,1.0,19.96794871794872,horizon_24,excluding_sp,2024,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2024_log
Moirai,648,1.0,20.76923076923077,horizon_24,excluding_sp,2024,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2024_log
Time-MoE,617,1.0,19.775641025641026,horizon_24,excluding_sp,2024,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2024_log
Timer,619,1.0,19.83974358974359,horizon_24,excluding_sp,2024,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2024_log
TimesFM,613,1.0,19.647435897435898,horizon_24,excluding_sp,2024,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2024_log
Chronos,789,1.0,18.966346153846153,horizon_3,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2020_log
Moirai,840,1.0,20.192307692307693,horizon_3,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2020_log
Time-MoE,906,1.0,21.778846153846153,horizon_3,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2020_log
Timer,831,1.0,19.97596153846154,horizon_3,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2020_log
TimesFM,794,1.0,19.08653846153846,horizon_3,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2020_log
Chronos,483,1.0,19.35096153846154,horizon_3,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2021_log
Moirai,526,1.0,21.07371794871795,horizon_3,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2021_log
Time-MoE,488,1.0,19.55128205128205,horizon_3,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2021_log
Timer,505,1.0,20.232371794871796,horizon_3,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2021_log
TimesFM,494,1.0,19.791666666666668,horizon_3,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2021_log
Chronos,483,1.0,19.35096153846154,horizon_3,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2022_log
Moirai,529,1.0,21.193910256410255,horizon_3,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2022_log
Time-MoE,503,1.0,20.15224358974359,horizon_3,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2022_log
Timer,479,1.0,19.190705128205128,horizon_3,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2022_log
TimesFM,502,1.0,20.112179487179485,horizon_3,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2022_log
Chronos,1474,1.0,19.68482905982906,horizon_3,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2023_log
Moirai,1503,1.0,20.072115384615383,horizon_3,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2023_log
Time-MoE,1514,1.0,20.219017094017094,horizon_3,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2023_log
Timer,1493,1.0,19.938568376068375,horizon_3,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2023_log
TimesFM,1504,1.0,20.085470085470085,horizon_3,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2023_log
Chronos,712,1.0,20.13574660633484,horizon_3,excluding_sp,2024,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2024_log
Moirai,747,1.0,21.125565610859727,horizon_3,excluding_sp,2024,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2024_log
Time-MoE,707,1.0,19.994343891402714,horizon_3,excluding_sp,2024,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2024_log
Timer,688,1.0,19.457013574660632,horizon_3,excluding_sp,2024,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2024_log
TimesFM,682,1.0,19.287330316742082,horizon_3,excluding_sp,2024,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2024_log
Chronos,669,1.0,20.10216346153846,horizon_6,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2020_log
Moirai,701,1.0,21.063701923076923,horizon_6,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2020_log
Time-MoE,641,1.0,19.260817307692307,horizon_6,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2020_log
Timer,668,1.0,20.072115384615383,horizon_6,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2020_log
TimesFM,649,1.0,19.501201923076923,horizon_6,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2020_log
Chronos,487,1.0,19.51121794871795,horizon_6,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2021_log
Moirai,523,1.0,20.953525641025642,horizon_6,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2021_log
Time-MoE,502,1.0,20.112179487179485,horizon_6,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2021_log
Timer,485,1.0,19.431089743589745,horizon_6,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2021_log
TimesFM,499,1.0,19.99198717948718,horizon_6,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2021_log
Chronos,663,1.0,21.25,horizon_6,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2022_log
Moirai,666,1.0,21.346153846153847,horizon_6,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2022_log
Time-MoE,594,1.0,19.03846153846154,horizon_6,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2022_log
Timer,608,1.0,19.487179487179485,horizon_6,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2022_log
