horizon,state,year,experiment,num_epochs,min_loss
horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2020_log,12,0.1898311863725002
horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2021_log,25,0.2762534159880418
horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2022_log,18,0.2052298658169233
horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2023_log,14,0.1565489493883573
horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2024_log,20,0.1750585849468524
horizon_24,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2020_log,16,0.3580572077861199
horizon_24,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2021_log,12,0.2322297371350802
horizon_24,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2022_log,15,0.3022526617233569
horizon_24,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2023_log,25,0.2800188935720004
horizon_24,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2024_log,25,0.2106473858539874
horizon_3,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2020_log,29,0.1013482986734463
horizon_3,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2021_log,20,0.0980458901478694
horizon_3,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2022_log,20,0.0724375161987084
horizon_3,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2023_log,12,0.0858137421309948
horizon_3,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2024_log,16,0.1222698614001274
horizon_6,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2020_log,12,0.1412810144516137
horizon_6,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2021_log,26,0.1470566987991333
horizon_6,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2022_log,15,0.1014953805850102
horizon_6,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2023_log,20,0.0993997168082457
horizon_6,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2024_log,13,0.1473451336989036
