horizon,state,year,experiment,num_epochs,min_loss
horizon_12,excluding_sp,2020,model_topk_2_norm_minmax_noise_False_ep_50_lr_0.0001_2020_log,50,0.1654610737011982
horizon_12,excluding_sp,2021,model_topk_2_norm_minmax_noise_False_ep_50_lr_0.0001_2021_log,40,0.2548532142088963
horizon_12,excluding_sp,2022,model_topk_2_norm_minmax_noise_False_ep_50_lr_0.0001_2022_log,50,0.1764356780510682
horizon_12,excluding_sp,2023,model_topk_2_norm_minmax_noise_False_ep_50_lr_0.0001_2023_log,35,0.1327969517845373
horizon_12,excluding_sp,2024,model_topk_2_norm_minmax_noise_False_ep_50_lr_0.0001_2024_log,37,0.1453401767290555
horizon_24,excluding_sp,2020,model_topk_2_norm_minmax_noise_False_ep_50_lr_0.0001_2020_log,22,0.256557081754391
horizon_24,excluding_sp,2021,model_topk_2_norm_minmax_noise_False_ep_50_lr_0.0001_2021_log,46,0.1770136413665918
horizon_24,excluding_sp,2022,model_topk_2_norm_minmax_noise_False_ep_50_lr_0.0001_2022_log,44,0.2544097980627647
horizon_24,excluding_sp,2023,model_topk_2_norm_minmax_noise_False_ep_50_lr_0.0001_2023_log,35,0.253349536886582
horizon_24,excluding_sp,2024,model_topk_2_norm_minmax_noise_False_ep_50_lr_0.0001_2024_log,49,0.1689101342971508
horizon_3,excluding_sp,2020,model_topk_2_norm_minmax_noise_False_ep_50_lr_0.0001_2020_log,17,0.0894726818570723
horizon_3,excluding_sp,2021,model_topk_2_norm_minmax_noise_False_ep_50_lr_0.0001_2021_log,50,0.0867853651826198
horizon_3,excluding_sp,2022,model_topk_2_norm_minmax_noise_False_ep_50_lr_0.0001_2022_log,33,0.0655285097085512
horizon_3,excluding_sp,2023,model_topk_2_norm_minmax_noise_False_ep_50_lr_0.0001_2023_log,50,0.0724422284043752
horizon_3,excluding_sp,2024,model_topk_2_norm_minmax_noise_False_ep_50_lr_0.0001_2024_log,46,0.0984543607785151
horizon_6,excluding_sp,2020,model_topk_2_norm_minmax_noise_False_ep_50_lr_0.0001_2020_log,44,0.1232950578515346
horizon_6,excluding_sp,2021,model_topk_2_norm_minmax_noise_False_ep_50_lr_0.0001_2021_log,24,0.1324213708822544
horizon_6,excluding_sp,2022,model_topk_2_norm_minmax_noise_False_ep_50_lr_0.0001_2022_log,50,0.087737786082121
horizon_6,excluding_sp,2023,model_topk_2_norm_minmax_noise_False_ep_50_lr_0.0001_2023_log,33,0.0883147607629115
horizon_6,excluding_sp,2024,model_topk_2_norm_minmax_noise_False_ep_50_lr_0.0001_2024_log,50,0.1181146330558336
