Learner,selections,avg_weight,percentage,horizon,state,year,experiment
Chronos,4410,0.562166470380462,24.093094405594407,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2020_log
Moirai,3530,0.49218264040260157,19.285402097902097,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2020_log
Time-MoE,2888,0.5569871713838171,15.777972027972028,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2020_log
Timer,3697,0.44036896867551106,20.19777097902098,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2020_log
TimesFM,3779,0.4495417078305479,20.64576048951049,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2020_log
Chronos,7053,0.6358332726895792,20.931267806267805,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2021_log
Moirai,6411,0.37015870870852957,19.02599715099715,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2021_log
Time-MoE,5468,0.45392905520690824,16.22744539411206,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2021_log
Timer,6584,0.49058325783652845,19.539411206077872,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2021_log
TimesFM,8180,0.5230190946802515,24.27587844254511,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2021_log
Chronos,8515,0.36916086791147884,22.998595505617978,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2022_log
Moirai,8131,0.5120557831117409,21.961430423509075,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2022_log
Time-MoE,5722,0.6662680590919967,15.454840103716508,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2022_log
Timer,7221,0.46468863512116,19.50356525496975,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2022_log
TimesFM,7435,0.5429949108012667,20.08156871218669,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2022_log
Chronos,6046,0.5992634018986007,23.44137717121588,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2023_log
Moirai,5014,0.47666590624998945,19.440136476426797,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2023_log
Time-MoE,4295,0.5918984368835968,16.65245037220844,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2023_log
Timer,5839,0.37514131488305624,22.638802729528535,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2023_log
TimesFM,4598,0.46763738448516495,17.82723325062035,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2023_log
Chronos,5378,0.4288427280288562,19.295350172215844,horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2024_log
Moirai,5840,0.6236805666620805,20.95292766934558,horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2024_log
Time-MoE,5016,0.4687130523465243,17.996555683122846,horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2024_log
Timer,5309,0.4011640127274257,19.047789896670494,horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2024_log
TimesFM,6329,0.554044065252123,22.707376578645235,horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2024_log
Chronos,6262,0.5396727472439609,22.80740093240093,horizon_24,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2020_log
Moirai,5649,0.49196685798127243,20.574737762237763,horizon_24,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2020_log
Time-MoE,4438,0.4064587458331052,16.164044289044288,horizon_24,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2020_log
Timer,6199,0.49297714400312354,22.57794289044289,horizon_24,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2020_log
TimesFM,4908,0.5520821608300909,17.875874125874127,horizon_24,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2020_log
Chronos,6141,0.8472203501692641,18.925665680473372,horizon_24,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2021_log
Moirai,7307,0.5414037774643892,22.519107495069033,horizon_24,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2021_log
Time-MoE,3975,0.36575916478878956,12.250369822485206,horizon_24,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2021_log
Timer,7360,0.4276034639679774,22.682445759368836,horizon_24,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2021_log
TimesFM,7665,0.3214779199402093,23.62241124260355,horizon_24,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2021_log
Chronos,8329,0.5580880566919328,23.013373121131742,horizon_24,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2022_log
Moirai,8074,0.48918782303328984,22.308797524314766,horizon_24,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2022_log
Time-MoE,4897,0.2475564506886776,13.530614500442086,horizon_24,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2022_log
Timer,8107,0.46477382405415435,22.39997789566755,horizon_24,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2022_log
TimesFM,6785,0.6658477181010085,18.747236958443857,horizon_24,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2022_log
Chronos,4259,0.5219548125748037,23.268138111888113,horizon_24,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2023_log
Moirai,3078,0.45372034923268495,16.815996503496503,horizon_24,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2023_log
Time-MoE,2920,0.5096804178421934,15.952797202797203,horizon_24,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2023_log
Timer,3247,0.41725341468007704,17.739291958041957,horizon_24,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2023_log
TimesFM,4800,0.5602821997584154,26.223776223776223,horizon_24,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2023_log
Chronos,6327,0.6536612441679545,25.778194263363755,horizon_24,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2024_log
Moirai,4752,0.560740945962264,19.36114732724902,horizon_24,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2024_log
Time-MoE,4426,0.3449415262026863,18.032920469361148,horizon_24,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2024_log
Timer,4606,0.28724640064129314,18.766297262059975,horizon_24,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2024_log
TimesFM,4433,0.5914451190338342,18.0614406779661,horizon_24,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2024_log
Chronos,7896,0.5074970935722705,18.98076923076923,horizon_3,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2020_log
Moirai,7412,0.3368795703180186,17.817307692307693,horizon_3,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2020_log
Time-MoE,9161,0.5510095654094311,22.021634615384617,horizon_3,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2020_log
Timer,8608,0.6133864102304133,20.692307692307693,horizon_3,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2020_log
TimesFM,8523,0.46556643525807895,20.48798076923077,horizon_3,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2020_log
Chronos,1880,0.4449213112220218,19.648829431438127,horizon_3,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2021_log
Moirai,1877,0.618980198675845,19.61747491638796,horizon_3,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2021_log
Time-MoE,1910,0.4787242762548166,19.962374581939798,horizon_3,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2021_log
Timer,1779,0.41094369358949034,18.593227424749163,horizon_3,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2021_log
TimesFM,2122,0.53736564910968,22.17809364548495,horizon_3,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2021_log
Chronos,7556,0.42097683248355766,19.53060380479735,horizon_3,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2022_log
Moirai,7534,0.6306491672316774,19.473738626964433,horizon_3,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2022_log
Time-MoE,7725,0.5719060387346641,19.9674317617866,horizon_3,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2022_log
Timer,7855,0.41434973289865235,20.303453267162944,horizon_3,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2022_log
TimesFM,8018,0.46633785602342304,20.72477253928867,horizon_3,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2022_log
Chronos,4154,0.4491050767695032,19.203032544378697,horizon_3,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2023_log
Moirai,4322,0.5742715107615777,19.97965976331361,horizon_3,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2023_log
Time-MoE,4543,0.4682179740844317,21.001294378698226,horizon_3,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2023_log
Timer,4087,0.5092871958975059,18.893306213017752,horizon_3,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2023_log
TimesFM,4526,0.49930292083929123,20.922707100591715,horizon_3,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2023_log
Chronos,2885,0.4400033850129815,23.91412466843501,horizon_3,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2024_log
Moirai,2306,0.7038742765858576,19.114721485411142,horizon_3,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2024_log
Time-MoE,2351,0.4075025105345812,19.487732095490717,horizon_3,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2024_log
Timer,2548,0.5281443809458088,21.120689655172413,horizon_3,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2024_log
TimesFM,1974,0.4233565686763384,16.362732095490717,horizon_3,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2024_log
Chronos,4444,0.4891538725659573,20.543639053254438,horizon_6,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2020_log
Moirai,3594,0.33945228039267855,16.614275147928993,horizon_6,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2020_log
Time-MoE,5208,0.5781658477694963,24.075443786982248,horizon_6,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2020_log
Timer,4278,0.607433705225364,19.776257396449704,horizon_6,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2020_log
TimesFM,4108,0.4412170324434672,18.990384615384617,horizon_6,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2020_log
Chronos,6108,0.5383339328380884,22.246503496503497,horizon_6,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2021_log
