Learner,selections,avg_weight,percentage,horizon,state,year,experiment
Chronos,2588,0.502815292241308,31.10576923076923,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_20_lr_1e-05_2020_log
Moirai,1701,0.4985454770868347,20.44471153846154,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_20_lr_1e-05_2020_log
Time-MoE,935,0.4974448254720413,11.23798076923077,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_20_lr_1e-05_2020_log
Timer,1536,0.4967795978494299,18.46153846153846,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_20_lr_1e-05_2020_log
TimesFM,1560,0.5016178142374906,18.75,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_20_lr_1e-05_2020_log
Chronos,2116,0.5000576465364215,25.432692307692307,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_20_lr_1e-05_2021_log
Moirai,1364,0.4981283092778449,16.39423076923077,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_20_lr_1e-05_2021_log
Time-MoE,1212,0.49955520228092426,14.567307692307692,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_20_lr_1e-05_2021_log
Timer,1402,0.49791744597968296,16.85096153846154,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_20_lr_1e-05_2021_log
TimesFM,2226,0.5026459307388904,26.754807692307693,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_20_lr_1e-05_2021_log
Chronos,2110,0.5010747157425677,25.360576923076923,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_20_lr_1e-05_2022_log
Moirai,1867,0.4993751077136064,22.439903846153847,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_20_lr_1e-05_2022_log
Time-MoE,1252,0.4991408117805807,15.048076923076923,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_20_lr_1e-05_2022_log
Timer,1492,0.49851114342823105,17.932692307692307,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_20_lr_1e-05_2022_log
TimesFM,1599,0.5013734244644232,19.21875,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_20_lr_1e-05_2022_log
Chronos,2282,0.5075486730474009,30.47542735042735,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_20_lr_1e-05_2023_log
Moirai,1527,0.49824735803313713,20.392628205128204,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_20_lr_1e-05_2023_log
Time-MoE,1012,0.4978208669678496,13.514957264957266,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_20_lr_1e-05_2023_log
Timer,1291,0.4946309014589264,17.240918803418804,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_20_lr_1e-05_2023_log
TimesFM,1376,0.49606613292856966,18.376068376068375,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_20_lr_1e-05_2023_log
Chronos,1685,0.4948912602150122,20.252403846153847,horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_20_lr_1e-05_2024_log
Moirai,2158,0.5146306180313188,25.9375,horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_20_lr_1e-05_2024_log
