horizon,state,year,experiment,num_epochs,min_loss
horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_30_lr_0.001_2020_log,30,0.1584076835558964
horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_30_lr_0.001_2021_log,30,0.2504213475264035
horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_30_lr_0.001_2022_log,30,0.1744813517882273
horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_30_lr_0.001_2023_log,30,0.1262053199685537
horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_30_lr_0.001_2024_log,30,0.1418230459094047
horizon_24,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_30_lr_0.001_2020_log,30,0.227543626840298
horizon_24,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_30_lr_0.001_2021_log,30,0.1695059423263256
horizon_24,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_30_lr_0.001_2022_log,30,0.2485183465939301
horizon_24,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_30_lr_0.001_2023_log,30,0.2411776907168902
horizon_24,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_30_lr_0.001_2024_log,30,0.1564455519501979
horizon_3,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_30_lr_0.001_2020_log,30,0.0850109618443709
horizon_3,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_30_lr_0.001_2021_log,23,0.0848442015166466
horizon_3,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_30_lr_0.001_2022_log,30,0.062222241782225
horizon_3,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_30_lr_0.001_2023_log,30,0.0698340082397827
horizon_3,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_30_lr_0.001_2024_log,29,0.0959226145194127
horizon_6,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_30_lr_0.001_2020_log,30,0.1220046677268468
horizon_6,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_30_lr_0.001_2021_log,30,0.1268926881826841
horizon_6,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_30_lr_0.001_2022_log,30,0.0844239947887567
horizon_6,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_30_lr_0.001_2023_log,30,0.0853839244406956
horizon_6,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_30_lr_0.001_2024_log,30,0.11538982964479
