Learner,selections,avg_weight,percentage,horizon,state,year,experiment
Chronos,2008,0.48931184629408786,24.134615384615383,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2020_log
Moirai,1578,0.45665879570642964,18.966346153846153,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2020_log
Time-MoE,1327,0.5880268005943368,15.94951923076923,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2020_log
Timer,1577,0.4953292974943535,18.954326923076923,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2020_log
TimesFM,1830,0.4892941903493423,21.995192307692307,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2020_log
Chronos,1978,0.47856410518684117,23.77403846153846,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2021_log
Moirai,1388,0.4191353738815215,16.682692307692307,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2021_log
Time-MoE,1247,0.6202756831065454,14.98798076923077,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2021_log
Timer,1660,0.433616230099361,19.951923076923077,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2021_log
TimesFM,2047,0.5561082469482334,24.603365384615383,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2021_log
Chronos,1534,0.44909257434079036,18.4375,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2022_log
Moirai,1895,0.5027412392086003,22.776442307692307,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2022_log
Time-MoE,1389,0.550315927497706,16.69471153846154,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2022_log
Timer,1650,0.4468124313579139,19.83173076923077,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2022_log
TimesFM,1852,0.549010801577481,22.259615384615383,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2022_log
Chronos,1822,0.575601362814446,21.89903846153846,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2023_log
Moirai,1581,0.49464271302970575,19.002403846153847,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2023_log
Time-MoE,1354,0.49207597876850107,16.27403846153846,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2023_log
Timer,1812,0.4639251061569217,21.778846153846153,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2023_log
TimesFM,1751,0.46962936552159534,21.045673076923077,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2023_log
Chronos,1841,0.4256935809570184,22.127403846153847,horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2024_log
Moirai,1676,0.6967072357336918,20.14423076923077,horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2024_log
