Learner,selections,avg_weight,percentage,horizon,state,year,experiment
Chronos,1644,0.4825303135496403,19.759615384615383,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05_2020_log
Moirai,1733,0.5061481756534894,20.829326923076923,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05_2020_log
Time-MoE,1470,0.486268519939614,17.66826923076923,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05_2020_log
Timer,1739,0.5147751665547224,20.901442307692307,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05_2020_log
TimesFM,1734,0.5072414289854871,20.841346153846153,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05_2020_log
Chronos,1659,0.47632172070735546,19.939903846153847,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05_2021_log
Moirai,1648,0.5154779933356833,19.807692307692307,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05_2021_log
Time-MoE,1590,0.5060023808441821,19.110576923076923,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05_2021_log
Timer,1639,0.4765430917534943,19.69951923076923,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05_2021_log
TimesFM,1784,0.5239218740218691,21.442307692307693,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05_2021_log
Chronos,1340,0.5297767273275488,20.13221153846154,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05_2022_log
Moirai,1347,0.45600148803141705,20.237379807692307,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05_2022_log
Time-MoE,1238,0.5050459942676621,18.599759615384617,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05_2022_log
Timer,1323,0.4946420513394761,19.876802884615383,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05_2022_log
TimesFM,1408,0.5143514242822262,21.153846153846153,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05_2022_log
Chronos,907,0.5149373282301584,19.820804195804197,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05_2023_log
Moirai,919,0.47662323954088515,20.083041958041957,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05_2023_log
Time-MoE,908,0.5052698684675775,19.842657342657343,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05_2023_log
Timer,935,0.4866311432126372,20.432692307692307,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05_2023_log
TimesFM,907,0.5172546058811058,19.820804195804197,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05_2023_log
Chronos,1682,0.5140686110056567,20.216346153846153,horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05_2024_log
Moirai,1752,0.48449123009282363,21.057692307692307,horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05_2024_log
Time-MoE,1620,0.521615752476601,19.471153846153847,horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05_2024_log
Timer,1575,0.4846451382197085,18.93028846153846,horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05_2024_log
TimesFM,1691,0.4956678584403078,20.32451923076923,horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05_2024_log
Chronos,1664,0.4981184792458617,20.0,horizon_24,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05_2020_log
Moirai,1695,0.4956546163444674,20.372596153846153,horizon_24,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05_2020_log
Time-MoE,1587,0.49065806857875366,19.07451923076923,horizon_24,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05_2020_log
Timer,1667,0.4962710025885109,20.036057692307693,horizon_24,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05_2020_log
TimesFM,1707,0.518475784360926,20.516826923076923,horizon_24,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05_2020_log
Chronos,1692,0.49260575378018634,20.33653846153846,horizon_24,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05_2021_log
Moirai,1658,0.4974461006870172,19.927884615384617,horizon_24,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05_2021_log
Time-MoE,1546,0.513885431256709,18.58173076923077,horizon_24,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05_2021_log
Timer,1696,0.4922883589005203,20.384615384615383,horizon_24,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05_2021_log
TimesFM,1728,0.5048365138893671,20.76923076923077,horizon_24,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05_2021_log
Chronos,1699,0.47684512164919535,20.420673076923077,horizon_24,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05_2022_log
Moirai,1658,0.47604574393638294,19.927884615384617,horizon_24,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05_2022_log
Time-MoE,1526,0.49495715401861645,18.341346153846153,horizon_24,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05_2022_log
Timer,1690,0.5261629829646127,20.3125,horizon_24,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05_2022_log
TimesFM,1747,0.5243481619496263,20.997596153846153,horizon_24,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05_2022_log
Chronos,1635,0.47199361952710955,19.651442307692307,horizon_24,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05_2023_log
Moirai,1763,0.5107539238929072,21.189903846153847,horizon_24,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05_2023_log
Time-MoE,1529,0.5062908426102585,18.377403846153847,horizon_24,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05_2023_log
Timer,1635,0.4816712478728287,19.651442307692307,horizon_24,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05_2023_log
TimesFM,1758,0.5268373585160953,21.129807692307693,horizon_24,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05_2023_log
Chronos,1759,0.5213466558241163,21.141826923076923,horizon_24,excluding_sp,2024,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05_2024_log
