Sample,Learner,Weight
Sample 0,Timer,0.5911622643470764
Sample 0,Chronos,0.4088377356529236
Sample 1,Time-MoE,0.5096543431282043
Sample 1,Moirai,0.49034568667411804
Sample 2,Time-MoE,0.9295670986175537
Sample 2,Chronos,0.0704328864812851
Sample 3,TimesFM,0.557839035987854
Sample 3,Chronos,0.4421609342098236
Sample 4,Chronos,0.5701025724411011
Sample 4,Moirai,0.4298974275588989
Sample 5,Time-MoE,0.5266188979148865
Sample 5,TimesFM,0.47338107228279114
Sample 6,Moirai,0.7428724765777588
Sample 6,Time-MoE,0.2571275532245636
Sample 7,Chronos,0.6434593200683594
Sample 7,Timer,0.3565406799316406
Sample 8,TimesFM,0.6315818428993225
Sample 8,Timer,0.3684181571006775
Sample 9,Moirai,0.5531217455863953
Sample 9,Chronos,0.4468782842159271
Sample 10,TimesFM,0.6342769265174866
Sample 10,Moirai,0.3657231032848358
Sample 11,Chronos,0.6368797421455383
Sample 11,Moirai,0.36312025785446167
Sample 12,TimesFM,0.5417453646659851
Sample 12,Moirai,0.45825469493865967
Sample 13,Time-MoE,0.5585258603096008
Sample 13,Chronos,0.4414741098880768
Sample 14,Moirai,0.5685351490974426
Sample 14,Chronos,0.4314647912979126
Sample 15,Timer,0.5037090182304382
Sample 15,Time-MoE,0.4962909519672394
Sample 16,Time-MoE,0.5568228960037231
Sample 16,Timer,0.44317710399627686
Sample 17,Moirai,0.6447679996490479
Sample 17,TimesFM,0.3552320599555969
Sample 18,Time-MoE,0.6076526045799255
Sample 18,Moirai,0.3923473656177521
Sample 19,Time-MoE,0.588132381439209
Sample 19,Chronos,0.411867618560791
Sample 20,Timer,0.652136504650116
Sample 20,TimesFM,0.34786349534988403
Sample 21,Time-MoE,0.5040290951728821
Sample 21,Timer,0.49597087502479553
Sample 22,TimesFM,0.6951014399528503
Sample 22,Chronos,0.30489856004714966
Sample 23,Timer,0.8059577345848083
Sample 23,Chronos,0.19404231011867523
Sample 24,Moirai,0.5368548035621643
Sample 24,TimesFM,0.4631451666355133
Sample 25,Moirai,0.5067650675773621
Sample 25,Time-MoE,0.4932349622249603
Sample 26,Time-MoE,0.6092862486839294
Sample 26,Timer,0.39071375131607056
Sample 27,Time-MoE,0.5596137046813965
Sample 27,Timer,0.4403863251209259
Sample 28,Moirai,0.505164384841919
Sample 28,TimesFM,0.49483558535575867
Sample 29,TimesFM,0.8189595937728882
Sample 29,Moirai,0.18104040622711182
Sample 30,Time-MoE,0.5057094097137451
Sample 30,TimesFM,0.4942905604839325
Sample 31,TimesFM,0.6300783157348633
Sample 31,Time-MoE,0.3699216842651367
Sample 0,Chronos,0.6852430701255798
Sample 0,Timer,0.31475692987442017
Sample 1,Timer,0.5505198836326599
Sample 1,Moirai,0.4494801163673401
Sample 2,Timer,0.6825452446937561
Sample 2,Moirai,0.3174547255039215
Sample 3,Chronos,0.5824637413024902
Sample 3,Time-MoE,0.417536199092865
Sample 4,Time-MoE,0.526131808757782
Sample 4,Chronos,0.47386816143989563
Sample 5,Chronos,0.8901773691177368
Sample 5,TimesFM,0.1098225861787796
Sample 6,Moirai,0.5035190582275391
Sample 6,Chronos,0.49648094177246094
Sample 7,Chronos,0.7812497019767761
Sample 7,TimesFM,0.2187502533197403
Sample 8,Timer,0.6640149354934692
Sample 8,TimesFM,0.33598512411117554
Sample 9,TimesFM,0.6721391081809998
Sample 9,Time-MoE,0.32786086201667786
Sample 10,Moirai,0.5213994979858398
Sample 10,TimesFM,0.4786004424095154
Sample 11,Chronos,0.6460598707199097
Sample 11,Timer,0.35394009947776794
Sample 12,Moirai,0.6110892295837402
Sample 12,TimesFM,0.3889107406139374
Sample 13,TimesFM,0.5383757948875427
Sample 13,Moirai,0.4616241455078125
Sample 14,TimesFM,0.7534208297729492
Sample 14,Moirai,0.2465791404247284
Sample 15,Timer,0.631882905960083
Sample 15,Time-MoE,0.3681171238422394
Sample 16,Chronos,0.683861255645752
Sample 16,Timer,0.31613877415657043
Sample 17,TimesFM,0.5792031288146973
Sample 17,Moirai,0.42079684138298035
Sample 18,Time-MoE,0.54301917552948
Sample 18,Timer,0.45698079466819763
Sample 19,Time-MoE,0.5410630702972412
Sample 19,Timer,0.4589369297027588
Sample 20,Moirai,0.6197947263717651
Sample 20,TimesFM,0.3802052438259125
Sample 21,Moirai,0.5861061215400696
Sample 21,Time-MoE,0.4138938784599304
Sample 22,Time-MoE,0.7048398852348328
Sample 22,Moirai,0.29516011476516724
Sample 23,Chronos,0.5395635366439819
Sample 23,Timer,0.46043649315834045
Sample 24,Chronos,0.6508362889289856
Sample 24,Time-MoE,0.3491637110710144
Sample 25,Timer,0.5178042054176331
Sample 25,Chronos,0.48219579458236694
Sample 26,Chronos,0.538815975189209
Sample 26,Moirai,0.4611840546131134
Sample 27,Timer,0.577345073223114
Sample 27,TimesFM,0.4226549565792084
Sample 28,Time-MoE,0.5361046195030212
Sample 28,Timer,0.46389541029930115
Sample 29,Chronos,0.5051184892654419
Sample 29,Time-MoE,0.4948815405368805
Sample 30,Moirai,0.5530466437339783
Sample 30,Timer,0.4469533860683441
Sample 31,Timer,0.5188747644424438
Sample 31,TimesFM,0.48112526535987854
Sample 0,Time-MoE,0.6771982312202454
Sample 0,TimesFM,0.322801798582077
Sample 1,Chronos,0.7084757685661316
Sample 1,Timer,0.291524201631546
Sample 2,Time-MoE,0.5587668418884277
Sample 2,Moirai,0.44123315811157227
Sample 3,Chronos,0.5743318200111389
Sample 3,TimesFM,0.4256681799888611
Sample 4,Timer,0.5747966766357422
Sample 4,Time-MoE,0.4252033531665802
Sample 5,TimesFM,0.6723021268844604
Sample 5,Chronos,0.32769790291786194
Sample 6,Timer,0.574837863445282
Sample 6,Moirai,0.425162136554718
Sample 7,Timer,0.6529505848884583
Sample 7,TimesFM,0.34704944491386414
Sample 8,Time-MoE,0.6194448471069336
Sample 8,TimesFM,0.38055509328842163
Sample 9,TimesFM,0.5526502728462219
Sample 9,Time-MoE,0.4473496675491333
Sample 10,TimesFM,0.8064913153648376
Sample 10,Time-MoE,0.19350868463516235
Sample 11,Chronos,0.516555905342102
Sample 11,Time-MoE,0.4834440350532532
Sample 12,Moirai,0.5612584948539734
Sample 12,Time-MoE,0.4387415051460266
Sample 13,TimesFM,0.6171499490737915
Sample 13,Moirai,0.3828500211238861
Sample 14,Timer,0.6238597631454468
Sample 14,TimesFM,0.3761402666568756
Sample 15,Time-MoE,0.5566339492797852
Sample 15,TimesFM,0.44336605072021484
Sample 16,Time-MoE,0.7673114538192749
Sample 16,Moirai,0.2326885610818863
Sample 17,TimesFM,0.5867963433265686
Sample 17,Time-MoE,0.4132036566734314
