Sample,Learner,Weight
Sample 0,Time-MoE,0.5
Sample 0,Moirai,0.5
Sample 1,Time-MoE,0.5
Sample 1,Moirai,0.5
Sample 2,Time-MoE,0.5
Sample 2,Moirai,0.5
Sample 3,Time-MoE,0.5
Sample 3,Moirai,0.5
Sample 4,Time-MoE,0.5
Sample 4,Moirai,0.5
Sample 5,Time-MoE,0.5
Sample 5,Moirai,0.5
Sample 6,Time-MoE,0.5
Sample 6,Moirai,0.5
Sample 7,Time-MoE,0.5
Sample 7,Moirai,0.5
Sample 8,Time-MoE,0.5
Sample 8,Moirai,0.5
Sample 9,Time-MoE,0.5
Sample 9,Moirai,0.5
Sample 10,Time-MoE,0.5
Sample 10,Moirai,0.5
Sample 11,Time-MoE,0.5
Sample 11,Moirai,0.5
Sample 12,Time-MoE,0.5
Sample 12,Moirai,0.5
Sample 13,Time-MoE,0.5
Sample 13,Moirai,0.5
Sample 14,Time-MoE,0.5
Sample 14,Moirai,0.5
Sample 15,Time-MoE,0.5
Sample 15,Moirai,0.5
Sample 16,Time-MoE,0.5
Sample 16,Moirai,0.5
Sample 17,Time-MoE,0.5
Sample 17,Moirai,0.5
Sample 18,Time-MoE,0.5
Sample 18,Moirai,0.5
Sample 19,Time-MoE,0.5
Sample 19,Moirai,0.5
Sample 20,Time-MoE,0.5
Sample 20,Moirai,0.5
Sample 21,Time-MoE,0.5
Sample 21,Moirai,0.5
Sample 22,Time-MoE,0.5
Sample 22,Moirai,0.5
Sample 23,Time-MoE,0.5
Sample 23,Moirai,0.5
Sample 24,Time-MoE,0.5
Sample 24,Moirai,0.5
Sample 25,Time-MoE,0.5
Sample 25,Moirai,0.5
Sample 26,Time-MoE,0.5
Sample 26,Moirai,0.5
Sample 27,Time-MoE,0.5
Sample 27,Moirai,0.5
Sample 28,Time-MoE,0.5
Sample 28,Moirai,0.5
Sample 29,Time-MoE,0.5
Sample 29,Moirai,0.5
Sample 30,Time-MoE,0.5
Sample 30,Moirai,0.5
Sample 31,Time-MoE,0.5
Sample 31,Moirai,0.5
Sample 0,Time-MoE,0.5002244114875793
Sample 0,TimesFM,0.49977558851242065
Sample 1,Moirai,0.5000708103179932
Sample 1,TimesFM,0.4999292194843292
Sample 2,Timer,0.5
Sample 2,TimesFM,0.5
Sample 3,Moirai,0.5000222325325012
Sample 3,TimesFM,0.49997779726982117
Sample 4,Time-MoE,0.5002440810203552
Sample 4,TimesFM,0.4997559189796448
Sample 5,Moirai,0.5000767111778259
Sample 5,TimesFM,0.49992331862449646
Sample 6,Timer,0.5
Sample 6,TimesFM,0.5
Sample 7,Time-MoE,0.5007380247116089
Sample 7,TimesFM,0.49926191568374634
Sample 8,Moirai,0.5000330209732056
Sample 8,TimesFM,0.49996697902679443
Sample 9,Moirai,0.5000725984573364
Sample 9,TimesFM,0.49992743134498596
Sample 10,Moirai,0.5000048279762268
Sample 10,TimesFM,0.4999951720237732
Sample 11,Timer,0.5
Sample 11,TimesFM,0.5
Sample 12,Timer,0.5
Sample 12,TimesFM,0.5
Sample 13,Moirai,0.5000761151313782
Sample 13,TimesFM,0.4999239146709442
Sample 14,Moirai,0.5000258088111877
Sample 14,TimesFM,0.49997419118881226
Sample 15,Time-MoE,0.5003439784049988
Sample 15,TimesFM,0.4996560513973236
Sample 16,Timer,0.5
Sample 16,TimesFM,0.5
Sample 17,Moirai,0.5000683069229126
Sample 17,TimesFM,0.499931663274765
Sample 18,Timer,0.5
Sample 18,TimesFM,0.5
Sample 19,Moirai,0.5000414252281189
Sample 19,TimesFM,0.4999585747718811
Sample 20,Moirai,0.5000538229942322
Sample 20,TimesFM,0.4999461770057678
Sample 21,Moirai,0.5000695586204529
Sample 21,TimesFM,0.4999304413795471
Sample 22,Timer,0.5
Sample 22,TimesFM,0.5
Sample 23,Time-MoE,0.5011534094810486
Sample 23,TimesFM,0.4988465905189514
Sample 24,Moirai,0.5000397562980652
Sample 24,TimesFM,0.4999602437019348
Sample 25,Moirai,0.5000559091567993
Sample 25,TimesFM,0.4999440610408783
Sample 26,Moirai,0.5000619292259216
Sample 26,TimesFM,0.49993807077407837
Sample 27,Moirai,0.5000571012496948
Sample 27,TimesFM,0.49994292855262756
Sample 28,Time-MoE,0.5008934140205383
Sample 28,TimesFM,0.49910658597946167
Sample 29,Moirai,0.500088632106781
Sample 29,TimesFM,0.4999113380908966
Sample 30,Moirai,0.5000489950180054
