Learner,selections,avg_weight,percentage,horizon,state,year,experiment
Chronos,639,1.0,20.48076923076923,horizon_12,excluding_sp,2020,model_topk_1_norm_std_noise_True_ep_100_lr_1e-05_2020_log
Moirai,621,1.0,19.903846153846153,horizon_12,excluding_sp,2020,model_topk_1_norm_std_noise_True_ep_100_lr_1e-05_2020_log
Time-MoE,471,1.0,15.096153846153847,horizon_12,excluding_sp,2020,model_topk_1_norm_std_noise_True_ep_100_lr_1e-05_2020_log
Timer,730,1.0,23.397435897435898,horizon_12,excluding_sp,2020,model_topk_1_norm_std_noise_True_ep_100_lr_1e-05_2020_log
TimesFM,659,1.0,21.121794871794872,horizon_12,excluding_sp,2020,model_topk_1_norm_std_noise_True_ep_100_lr_1e-05_2020_log
Chronos,672,1.0,21.53846153846154,horizon_12,excluding_sp,2021,model_topk_1_norm_std_noise_True_ep_100_lr_1e-05_2021_log
Moirai,640,1.0,20.512820512820515,horizon_12,excluding_sp,2021,model_topk_1_norm_std_noise_True_ep_100_lr_1e-05_2021_log
Time-MoE,643,1.0,20.608974358974358,horizon_12,excluding_sp,2021,model_topk_1_norm_std_noise_True_ep_100_lr_1e-05_2021_log
Timer,630,1.0,20.192307692307693,horizon_12,excluding_sp,2021,model_topk_1_norm_std_noise_True_ep_100_lr_1e-05_2021_log
TimesFM,535,1.0,17.147435897435898,horizon_12,excluding_sp,2021,model_topk_1_norm_std_noise_True_ep_100_lr_1e-05_2021_log
Chronos,644,1.0,18.212669683257918,horizon_12,excluding_sp,2022,model_topk_1_norm_std_noise_True_ep_100_lr_1e-05_2022_log
Moirai,621,1.0,17.562217194570135,horizon_12,excluding_sp,2022,model_topk_1_norm_std_noise_True_ep_100_lr_1e-05_2022_log
Time-MoE,692,1.0,19.570135746606336,horizon_12,excluding_sp,2022,model_topk_1_norm_std_noise_True_ep_100_lr_1e-05_2022_log
Timer,769,1.0,21.747737556561084,horizon_12,excluding_sp,2022,model_topk_1_norm_std_noise_True_ep_100_lr_1e-05_2022_log
TimesFM,810,1.0,22.907239819004523,horizon_12,excluding_sp,2022,model_topk_1_norm_std_noise_True_ep_100_lr_1e-05_2022_log
Chronos,830,1.0,17.349498327759196,horizon_12,excluding_sp,2023,model_topk_1_norm_std_noise_True_ep_100_lr_1e-05_2023_log
Moirai,1067,1.0,22.30351170568562,horizon_12,excluding_sp,2023,model_topk_1_norm_std_noise_True_ep_100_lr_1e-05_2023_log
Time-MoE,930,1.0,19.43979933110368,horizon_12,excluding_sp,2023,model_topk_1_norm_std_noise_True_ep_100_lr_1e-05_2023_log
Timer,988,1.0,20.652173913043477,horizon_12,excluding_sp,2023,model_topk_1_norm_std_noise_True_ep_100_lr_1e-05_2023_log
TimesFM,969,1.0,20.255016722408026,horizon_12,excluding_sp,2023,model_topk_1_norm_std_noise_True_ep_100_lr_1e-05_2023_log
Chronos,903,1.0,24.118589743589745,horizon_12,excluding_sp,2024,model_topk_1_norm_std_noise_True_ep_100_lr_1e-05_2024_log
Moirai,639,1.0,17.067307692307693,horizon_12,excluding_sp,2024,model_topk_1_norm_std_noise_True_ep_100_lr_1e-05_2024_log
Time-MoE,733,1.0,19.57799145299145,horizon_12,excluding_sp,2024,model_topk_1_norm_std_noise_True_ep_100_lr_1e-05_2024_log
Timer,753,1.0,20.112179487179485,horizon_12,excluding_sp,2024,model_topk_1_norm_std_noise_True_ep_100_lr_1e-05_2024_log
TimesFM,716,1.0,19.123931623931625,horizon_12,excluding_sp,2024,model_topk_1_norm_std_noise_True_ep_100_lr_1e-05_2024_log
Chronos,1349,1.0,21.618589743589745,horizon_24,excluding_sp,2020,model_topk_1_norm_std_noise_True_ep_100_lr_1e-05_2020_log
