Learner,selections,avg_weight,percentage,horizon,state,year,experiment
Chronos,1860,0.5861402852781197,22.35576923076923,horizon_12,excluding_sp,2020,model_topk_2_norm_minmax_noise_False_ep_20_lr_0.001_2020_log
Moirai,1926,0.4897591273570172,23.14903846153846,horizon_12,excluding_sp,2020,model_topk_2_norm_minmax_noise_False_ep_20_lr_0.001_2020_log
Time-MoE,1261,0.43648299355795467,15.15625,horizon_12,excluding_sp,2020,model_topk_2_norm_minmax_noise_False_ep_20_lr_0.001_2020_log
Timer,1382,0.43311990567081365,16.610576923076923,horizon_12,excluding_sp,2020,model_topk_2_norm_minmax_noise_False_ep_20_lr_0.001_2020_log
TimesFM,1891,0.5169361304375528,22.728365384615383,horizon_12,excluding_sp,2020,model_topk_2_norm_minmax_noise_False_ep_20_lr_0.001_2020_log
Chronos,2106,0.5111082870440676,25.3125,horizon_12,excluding_sp,2021,model_topk_2_norm_minmax_noise_False_ep_20_lr_0.001_2021_log
Moirai,1588,0.5388538999393845,19.08653846153846,horizon_12,excluding_sp,2021,model_topk_2_norm_minmax_noise_False_ep_20_lr_0.001_2021_log
Time-MoE,1582,0.5045201811025817,19.014423076923077,horizon_12,excluding_sp,2021,model_topk_2_norm_minmax_noise_False_ep_20_lr_0.001_2021_log
Timer,1412,0.45741391938018794,16.971153846153847,horizon_12,excluding_sp,2021,model_topk_2_norm_minmax_noise_False_ep_20_lr_0.001_2021_log
TimesFM,1632,0.48032265565102444,19.615384615384617,horizon_12,excluding_sp,2021,model_topk_2_norm_minmax_noise_False_ep_20_lr_0.001_2021_log
Chronos,1898,0.4763664961054046,22.8125,horizon_12,excluding_sp,2022,model_topk_2_norm_minmax_noise_False_ep_20_lr_0.001_2022_log
Moirai,1698,0.5492987799928803,20.408653846153847,horizon_12,excluding_sp,2022,model_topk_2_norm_minmax_noise_False_ep_20_lr_0.001_2022_log
Time-MoE,1552,0.4934040710843677,18.653846153846153,horizon_12,excluding_sp,2022,model_topk_2_norm_minmax_noise_False_ep_20_lr_0.001_2022_log
Timer,1387,0.49787755003272843,16.670673076923077,horizon_12,excluding_sp,2022,model_topk_2_norm_minmax_noise_False_ep_20_lr_0.001_2022_log
TimesFM,1785,0.4856178051909479,21.454326923076923,horizon_12,excluding_sp,2022,model_topk_2_norm_minmax_noise_False_ep_20_lr_0.001_2022_log
Chronos,2000,0.5229713975638152,24.03846153846154,horizon_12,excluding_sp,2023,model_topk_2_norm_minmax_noise_False_ep_20_lr_0.001_2023_log
Moirai,1505,0.5358222625778363,18.088942307692307,horizon_12,excluding_sp,2023,model_topk_2_norm_minmax_noise_False_ep_20_lr_0.001_2023_log
Time-MoE,1374,0.4404696352085779,16.514423076923077,horizon_12,excluding_sp,2023,model_topk_2_norm_minmax_noise_False_ep_20_lr_0.001_2023_log
Timer,1723,0.47779936244407506,20.709134615384617,horizon_12,excluding_sp,2023,model_topk_2_norm_minmax_noise_False_ep_20_lr_0.001_2023_log
TimesFM,1718,0.5117526893808623,20.64903846153846,horizon_12,excluding_sp,2023,model_topk_2_norm_minmax_noise_False_ep_20_lr_0.001_2023_log
Chronos,1613,0.4338781455556905,19.38701923076923,horizon_12,excluding_sp,2024,model_topk_2_norm_minmax_noise_False_ep_20_lr_0.001_2024_log
Moirai,1890,0.6632645388207739,22.716346153846153,horizon_12,excluding_sp,2024,model_topk_2_norm_minmax_noise_False_ep_20_lr_0.001_2024_log
Time-MoE,1315,0.4239017106927294,15.805288461538462,horizon_12,excluding_sp,2024,model_topk_2_norm_minmax_noise_False_ep_20_lr_0.001_2024_log
Timer,1467,0.360675333042485,17.63221153846154,horizon_12,excluding_sp,2024,model_topk_2_norm_minmax_noise_False_ep_20_lr_0.001_2024_log
TimesFM,2035,0.5503897333219052,24.459134615384617,horizon_12,excluding_sp,2024,model_topk_2_norm_minmax_noise_False_ep_20_lr_0.001_2024_log
Chronos,2403,0.49750586767160443,28.88221153846154,horizon_24,excluding_sp,2020,model_topk_2_norm_minmax_noise_False_ep_20_lr_0.001_2020_log
