Learner,selections,avg_weight,percentage,horizon,state,year,experiment
Chronos,2096,0.5000661389745829,25.192307692307693,horizon_12,excluding_sp,2020,model_topk_2_norm_minmax_noise_False_ep_20_lr_1e-05_2020_log
Moirai,1597,0.49996967021196276,19.19471153846154,horizon_12,excluding_sp,2020,model_topk_2_norm_minmax_noise_False_ep_20_lr_1e-05_2020_log
Time-MoE,1289,0.5000170798751159,15.492788461538462,horizon_12,excluding_sp,2020,model_topk_2_norm_minmax_noise_False_ep_20_lr_1e-05_2020_log
Timer,1541,0.49994836444981605,18.521634615384617,horizon_12,excluding_sp,2020,model_topk_2_norm_minmax_noise_False_ep_20_lr_1e-05_2020_log
TimesFM,1797,0.4999818473009514,21.598557692307693,horizon_12,excluding_sp,2020,model_topk_2_norm_minmax_noise_False_ep_20_lr_1e-05_2020_log
Chronos,2308,0.5000946601171634,27.740384615384617,horizon_12,excluding_sp,2021,model_topk_2_norm_minmax_noise_False_ep_20_lr_1e-05_2021_log
Moirai,1336,0.4999134483674686,16.057692307692307,horizon_12,excluding_sp,2021,model_topk_2_norm_minmax_noise_False_ep_20_lr_1e-05_2021_log
Time-MoE,1469,0.49993744021861064,17.65625,horizon_12,excluding_sp,2021,model_topk_2_norm_minmax_noise_False_ep_20_lr_1e-05_2021_log
Timer,1313,0.4999229046604784,15.78125,horizon_12,excluding_sp,2021,model_topk_2_norm_minmax_noise_False_ep_20_lr_1e-05_2021_log
TimesFM,1894,0.5000476766822205,22.764423076923077,horizon_12,excluding_sp,2021,model_topk_2_norm_minmax_noise_False_ep_20_lr_1e-05_2021_log
Chronos,1768,0.5000024585904579,21.25,horizon_12,excluding_sp,2022,model_topk_2_norm_minmax_noise_False_ep_20_lr_1e-05_2022_log
Moirai,1698,0.49999221344999484,20.408653846153847,horizon_12,excluding_sp,2022,model_topk_2_norm_minmax_noise_False_ep_20_lr_1e-05_2022_log
Time-MoE,1483,0.4999223559672818,17.82451923076923,horizon_12,excluding_sp,2022,model_topk_2_norm_minmax_noise_False_ep_20_lr_1e-05_2022_log
Timer,1521,0.5000559264582133,18.28125,horizon_12,excluding_sp,2022,model_topk_2_norm_minmax_noise_False_ep_20_lr_1e-05_2022_log
TimesFM,1850,0.5000210662790247,22.235576923076923,horizon_12,excluding_sp,2022,model_topk_2_norm_minmax_noise_False_ep_20_lr_1e-05_2022_log
Chronos,1996,0.5001263369867701,23.990384615384617,horizon_12,excluding_sp,2023,model_topk_2_norm_minmax_noise_False_ep_20_lr_1e-05_2023_log
Moirai,1539,0.4999914596110214,18.497596153846153,horizon_12,excluding_sp,2023,model_topk_2_norm_minmax_noise_False_ep_20_lr_1e-05_2023_log
Time-MoE,1390,0.4999791209431861,16.70673076923077,horizon_12,excluding_sp,2023,model_topk_2_norm_minmax_noise_False_ep_20_lr_1e-05_2023_log
Timer,1604,0.4999474108665067,19.278846153846153,horizon_12,excluding_sp,2023,model_topk_2_norm_minmax_noise_False_ep_20_lr_1e-05_2023_log
TimesFM,1791,0.49992985097407494,21.526442307692307,horizon_12,excluding_sp,2023,model_topk_2_norm_minmax_noise_False_ep_20_lr_1e-05_2023_log
Chronos,1443,0.4997917578729258,17.34375,horizon_12,excluding_sp,2024,model_topk_2_norm_minmax_noise_False_ep_20_lr_1e-05_2024_log
