Learner,selections,avg_weight,percentage,horizon,state,year,experiment
Chronos,5274,0.49345173349927474,23.920537010159652,horizon_12,excluding_sp,2020,model_topk_2_norm_minmax_noise_True_ep_100_lr_0.001_2020_log
Moirai,4689,0.47587620067267367,21.2672351233672,horizon_12,excluding_sp,2020,model_topk_2_norm_minmax_noise_True_ep_100_lr_0.001_2020_log
Time-MoE,3462,0.6436700558335349,15.702104499274311,horizon_12,excluding_sp,2020,model_topk_2_norm_minmax_noise_True_ep_100_lr_0.001_2020_log
Timer,3773,0.4564109877224796,17.11266328011611,horizon_12,excluding_sp,2020,model_topk_2_norm_minmax_noise_True_ep_100_lr_0.001_2020_log
TimesFM,4850,0.4617995167799629,21.99746008708273,horizon_12,excluding_sp,2020,model_topk_2_norm_minmax_noise_True_ep_100_lr_0.001_2020_log
Chronos,9388,0.5131109756620602,22.567307692307693,horizon_12,excluding_sp,2021,model_topk_2_norm_minmax_noise_True_ep_100_lr_0.001_2021_log
Moirai,7799,0.43719237444553377,18.747596153846153,horizon_12,excluding_sp,2021,model_topk_2_norm_minmax_noise_True_ep_100_lr_0.001_2021_log
Time-MoE,6983,0.4921807144259262,16.786057692307693,horizon_12,excluding_sp,2021,model_topk_2_norm_minmax_noise_True_ep_100_lr_0.001_2021_log
Timer,8069,0.41646890069677506,19.396634615384617,horizon_12,excluding_sp,2021,model_topk_2_norm_minmax_noise_True_ep_100_lr_0.001_2021_log
TimesFM,9361,0.6170137094793686,22.502403846153847,horizon_12,excluding_sp,2021,model_topk_2_norm_minmax_noise_True_ep_100_lr_0.001_2021_log
Chronos,9079,0.46805470949603173,21.82451923076923,horizon_12,excluding_sp,2022,model_topk_2_norm_minmax_noise_True_ep_100_lr_0.001_2022_log
Moirai,7914,0.5524456623843632,19.02403846153846,horizon_12,excluding_sp,2022,model_topk_2_norm_minmax_noise_True_ep_100_lr_0.001_2022_log
Time-MoE,7933,0.5133715801986156,19.06971153846154,horizon_12,excluding_sp,2022,model_topk_2_norm_minmax_noise_True_ep_100_lr_0.001_2022_log
Timer,8131,0.46090854639605133,19.545673076923077,horizon_12,excluding_sp,2022,model_topk_2_norm_minmax_noise_True_ep_100_lr_0.001_2022_log
TimesFM,8543,0.5101547673279462,20.536057692307693,horizon_12,excluding_sp,2022,model_topk_2_norm_minmax_noise_True_ep_100_lr_0.001_2022_log
