Learner,selections,avg_weight,percentage,horizon,state,year,experiment
Chronos,1694,0.4933599093280196,20.360576923076923,horizon_12,excluding_sp,2020,model_topk_2_norm_minmax_noise_True_ep_20_lr_1e-05_2020_log
Moirai,1672,0.49539148951457307,20.096153846153847,horizon_12,excluding_sp,2020,model_topk_2_norm_minmax_noise_True_ep_20_lr_1e-05_2020_log
Time-MoE,1555,0.46448977712745454,18.689903846153847,horizon_12,excluding_sp,2020,model_topk_2_norm_minmax_noise_True_ep_20_lr_1e-05_2020_log
Timer,1701,0.546453122863177,20.44471153846154,horizon_12,excluding_sp,2020,model_topk_2_norm_minmax_noise_True_ep_20_lr_1e-05_2020_log
TimesFM,1698,0.4971468661131844,20.408653846153847,horizon_12,excluding_sp,2020,model_topk_2_norm_minmax_noise_True_ep_20_lr_1e-05_2020_log
Chronos,1632,0.500386500650647,19.615384615384617,horizon_12,excluding_sp,2021,model_topk_2_norm_minmax_noise_True_ep_20_lr_1e-05_2021_log
Moirai,1692,0.5176340323018601,20.33653846153846,horizon_12,excluding_sp,2021,model_topk_2_norm_minmax_noise_True_ep_20_lr_1e-05_2021_log
Time-MoE,1705,0.5093208676122151,20.49278846153846,horizon_12,excluding_sp,2021,model_topk_2_norm_minmax_noise_True_ep_20_lr_1e-05_2021_log
Timer,1706,0.5044076481390775,20.504807692307693,horizon_12,excluding_sp,2021,model_topk_2_norm_minmax_noise_True_ep_20_lr_1e-05_2021_log
TimesFM,1585,0.46600688971250026,19.05048076923077,horizon_12,excluding_sp,2021,model_topk_2_norm_minmax_noise_True_ep_20_lr_1e-05_2021_log
Chronos,1117,0.4935709724908123,20.65458579881657,horizon_12,excluding_sp,2022,model_topk_2_norm_minmax_noise_True_ep_20_lr_1e-05_2022_log
Moirai,1037,0.48107523188038065,19.175295857988164,horizon_12,excluding_sp,2022,model_topk_2_norm_minmax_noise_True_ep_20_lr_1e-05_2022_log
Time-MoE,1052,0.5002338407284973,19.452662721893493,horizon_12,excluding_sp,2022,model_topk_2_norm_minmax_noise_True_ep_20_lr_1e-05_2022_log
Timer,1070,0.5102338850776725,19.785502958579883,horizon_12,excluding_sp,2022,model_topk_2_norm_minmax_noise_True_ep_20_lr_1e-05_2022_log
TimesFM,1132,0.5137897090848154,20.931952662721894,horizon_12,excluding_sp,2022,model_topk_2_norm_minmax_noise_True_ep_20_lr_1e-05_2022_log
Chronos,1109,0.48691288517188447,20.506656804733726,horizon_12,excluding_sp,2023,model_topk_2_norm_minmax_noise_True_ep_20_lr_1e-05_2023_log
Moirai,1048,0.5176629833272793,19.37869822485207,horizon_12,excluding_sp,2023,model_topk_2_norm_minmax_noise_True_ep_20_lr_1e-05_2023_log
Time-MoE,1030,0.5026241470309137,19.04585798816568,horizon_12,excluding_sp,2023,model_topk_2_norm_minmax_noise_True_ep_20_lr_1e-05_2023_log
Timer,1125,0.5009426105568806,20.80251479289941,horizon_12,excluding_sp,2023,model_topk_2_norm_minmax_noise_True_ep_20_lr_1e-05_2023_log
TimesFM,1096,0.4929192478880694,20.266272189349113,horizon_12,excluding_sp,2023,model_topk_2_norm_minmax_noise_True_ep_20_lr_1e-05_2023_log
Chronos,1568,0.5385275740694369,20.94017094017094,horizon_12,excluding_sp,2024,model_topk_2_norm_minmax_noise_True_ep_20_lr_1e-05_2024_log
Moirai,1514,0.4770611059572671,20.219017094017094,horizon_12,excluding_sp,2024,model_topk_2_norm_minmax_noise_True_ep_20_lr_1e-05_2024_log
Time-MoE,1432,0.4814723320331362,19.123931623931625,horizon_12,excluding_sp,2024,model_topk_2_norm_minmax_noise_True_ep_20_lr_1e-05_2024_log
Timer,1482,0.5103171618024388,19.791666666666668,horizon_12,excluding_sp,2024,model_topk_2_norm_minmax_noise_True_ep_20_lr_1e-05_2024_log
TimesFM,1492,0.4903216038059054,19.925213675213676,horizon_12,excluding_sp,2024,model_topk_2_norm_minmax_noise_True_ep_20_lr_1e-05_2024_log
Chronos,1173,0.5260763595044258,20.140796703296704,horizon_24,excluding_sp,2020,model_topk_2_norm_minmax_noise_True_ep_20_lr_1e-05_2020_log
Moirai,1208,0.5007990614005321,20.74175824175824,horizon_24,excluding_sp,2020,model_topk_2_norm_minmax_noise_True_ep_20_lr_1e-05_2020_log
Time-MoE,1190,0.5034460493606053,20.432692307692307,horizon_24,excluding_sp,2020,model_topk_2_norm_minmax_noise_True_ep_20_lr_1e-05_2020_log
Timer,1077,0.47443729745070196,18.492445054945055,horizon_24,excluding_sp,2020,model_topk_2_norm_minmax_noise_True_ep_20_lr_1e-05_2020_log
TimesFM,1176,0.4930930232271223,20.192307692307693,horizon_24,excluding_sp,2020,model_topk_2_norm_minmax_noise_True_ep_20_lr_1e-05_2020_log
Chronos,1703,0.5140346822416912,20.46875,horizon_24,excluding_sp,2021,model_topk_2_norm_minmax_noise_True_ep_20_lr_1e-05_2021_log
