horizon,state,year,experiment,num_epochs,min_loss
horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2020_log,94,0.1503894810493175
horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2021_log,100,0.2391431583808018
horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2022_log,58,0.1649141495044414
horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2023_log,100,0.1176679042669443
horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2024_log,70,0.1380138981800813
horizon_24,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2020_log,100,0.1947329411139855
horizon_24,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2021_log,77,0.1580700839941318
horizon_24,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2022_log,70,0.2390543531913023
horizon_24,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2023_log,59,0.2318122925666662
horizon_24,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2024_log,75,0.1492605524567457
horizon_3,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2020_log,57,0.0816863001539157
horizon_3,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2021_log,52,0.0835152549239305
horizon_3,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2022_log,76,0.0592122748494148
horizon_3,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2023_log,70,0.0661339180973859
horizon_3,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2024_log,39,0.0928737091330381
horizon_6,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2020_log,100,0.1124311227064866
horizon_6,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2021_log,71,0.1218762942231618
horizon_6,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2022_log,66,0.080700176839645
horizon_6,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2023_log,57,0.0843564014022166
horizon_6,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_100_lr_0.001_2024_log,38,0.1140995862392278
