Learner,selections,avg_weight,percentage,horizon,state,year,experiment
Chronos,2244,0.5025667261976396,24.51923076923077,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_30_lr_0.0001_2020_log
Moirai,1747,0.4982180677452426,19.088723776223777,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_30_lr_0.0001_2020_log
Time-MoE,1454,0.5012385305709,15.887237762237762,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_30_lr_0.0001_2020_log
Timer,1656,0.49766511513271194,18.094405594405593,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_30_lr_0.0001_2020_log
TimesFM,2051,0.49971674733601334,22.410402097902097,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_30_lr_0.0001_2020_log
Chronos,3354,0.5044075066338143,26.875,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_30_lr_0.0001_2021_log
Moirai,2186,0.49738177184053006,17.516025641025642,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_30_lr_0.0001_2021_log
Time-MoE,2117,0.4961465200586143,16.963141025641026,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_30_lr_0.0001_2021_log
Timer,2113,0.49765493582900644,16.931089743589745,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_30_lr_0.0001_2021_log
TimesFM,2710,0.5014957973987854,21.71474358974359,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_30_lr_0.0001_2021_log
Chronos,3041,0.5019964262554028,24.36698717948718,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_30_lr_0.0001_2022_log
Moirai,2446,0.49958129330726303,19.599358974358974,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_30_lr_0.0001_2022_log
Time-MoE,2089,0.4988770630298019,16.73878205128205,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_30_lr_0.0001_2022_log
Timer,2221,0.4999236818746853,17.796474358974358,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_30_lr_0.0001_2022_log
TimesFM,2683,0.49905640948765145,21.498397435897434,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_30_lr_0.0001_2022_log
Chronos,2353,0.5069576978582147,25.710227272727273,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_30_lr_0.0001_2023_log
Moirai,1660,0.49874785127769033,18.138111888111887,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_30_lr_0.0001_2023_log
