horizon,state,year,experiment,num_epochs,min_loss
horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2020_log,20,0.1655922325757833
horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2021_log,20,0.2624238500228295
horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2022_log,20,0.1851087029163654
horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2023_log,20,0.1359457115714366
horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2024_log,20,0.1445299627689215
horizon_24,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2020_log,20,0.2372575837832231
horizon_24,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2021_log,20,0.1804091036319732
horizon_24,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2022_log,20,0.2531025753571437
horizon_24,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2023_log,20,0.25352970797282
horizon_24,excluding_sp,2024,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2024_log,20,0.1660783113195346
horizon_3,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2020_log,20,0.0895529624361258
horizon_3,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2021_log,20,0.0881342515349388
horizon_3,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2022_log,20,0.0645267258469875
horizon_3,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2023_log,20,0.0758747830986976
horizon_3,excluding_sp,2024,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2024_log,20,0.1000676309833159
horizon_6,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2020_log,20,0.1284678217310171
horizon_6,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2021_log,20,0.1347481763133635
horizon_6,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2022_log,20,0.0899869318191821
horizon_6,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2023_log,20,0.0895452261544191
horizon_6,excluding_sp,2024,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2024_log,20,0.1186575001248946
