Learner,selections,avg_weight,percentage,horizon,state,year,experiment
Chronos,1946,0.4966402012493006,23.389423076923077,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2020_log
Moirai,1851,0.4735531365908461,22.247596153846153,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2020_log
Time-MoE,1261,0.5474998548502822,15.15625,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2020_log
Timer,1365,0.5081082513596822,16.40625,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2020_log
TimesFM,1897,0.4918430301473212,22.80048076923077,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2020_log
Chronos,1873,0.48718333279826365,22.51201923076923,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2021_log
Moirai,1531,0.4701896758310881,18.401442307692307,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2021_log
Time-MoE,1314,0.5291845220647174,15.79326923076923,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2021_log
Timer,1546,0.43321342671104496,18.58173076923077,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2021_log
TimesFM,2056,0.5654420255618133,24.71153846153846,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2021_log
Chronos,1812,0.48481017951216243,21.778846153846153,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2022_log
Moirai,1852,0.4939996567142415,22.259615384615383,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2022_log
Time-MoE,1330,0.5454249845089433,15.985576923076923,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2022_log
Timer,1612,0.47154556833052774,19.375,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2022_log
TimesFM,1714,0.5140547851370072,20.60096153846154,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2022_log
Chronos,1870,0.481844457081534,22.47596153846154,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2023_log
Moirai,1513,0.48346586354564375,18.185096153846153,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2023_log
Time-MoE,1306,0.5088235306543559,15.697115384615385,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2023_log
Timer,1857,0.5340972185800906,22.31971153846154,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2023_log
TimesFM,1774,0.49105126684974654,21.322115384615383,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2023_log
Chronos,1624,0.4647964905633864,19.51923076923077,horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2024_log
Moirai,1916,0.6327381488130213,23.028846153846153,horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2024_log
Time-MoE,1310,0.37779405513854947,15.745192307692308,horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2024_log
Timer,1471,0.43922505269757417,17.68028846153846,horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2024_log
TimesFM,1999,0.5261800595839125,24.026442307692307,horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2024_log
Chronos,1763,0.4693258235275152,21.189903846153847,horizon_24,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2020_log
Moirai,2711,0.6096872372373427,32.58413461538461,horizon_24,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2020_log
Time-MoE,567,0.46919204822184624,6.814903846153846,horizon_24,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2020_log
Timer,1773,0.42912127529150135,21.310096153846153,horizon_24,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2020_log
TimesFM,1506,0.43350103686985425,18.10096153846154,horizon_24,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2020_log
Chronos,1993,0.6912893438146334,23.954326923076923,horizon_24,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2021_log
Moirai,1858,0.4486418043387817,22.33173076923077,horizon_24,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2021_log
Time-MoE,920,0.23359199079836598,11.057692307692308,horizon_24,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2021_log
Timer,1530,0.4596564807256477,18.389423076923077,horizon_24,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2021_log
TimesFM,2019,0.5104035756115628,24.266826923076923,horizon_24,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2021_log
Chronos,1862,0.5090516166264846,22.379807692307693,horizon_24,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_20_lr_0.001_2022_log
