horizon,state,year,experiment,num_epochs,min_loss
horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_50_lr_0.0001_2020_log,9,0.1898671445938257
horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_50_lr_0.0001_2021_log,18,0.270386482660587
horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_50_lr_0.0001_2022_log,12,0.202049529323211
horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_50_lr_0.0001_2023_log,11,0.1497689330807099
horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_50_lr_0.0001_2024_log,11,0.1735059538712868
horizon_24,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_50_lr_0.0001_2020_log,8,0.3741235045286325
horizon_24,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_50_lr_0.0001_2021_log,7,0.2295415630707374
horizon_24,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_50_lr_0.0001_2022_log,6,0.3049884897011977
horizon_24,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_50_lr_0.0001_2023_log,8,0.2877008204276745
horizon_24,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_50_lr_0.0001_2024_log,11,0.2113816646429208
horizon_3,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_50_lr_0.0001_2020_log,20,0.0976149932696269
horizon_3,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_50_lr_0.0001_2021_log,13,0.0990674378207096
horizon_3,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_50_lr_0.0001_2022_log,6,0.0740418239281727
horizon_3,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_50_lr_0.0001_2023_log,12,0.0850101640591254
horizon_3,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_50_lr_0.0001_2024_log,9,0.1250801138006723
horizon_6,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_50_lr_0.0001_2020_log,6,0.1394981323526455
horizon_6,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_50_lr_0.0001_2021_log,7,0.1475640019545188
horizon_6,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_50_lr_0.0001_2022_log,7,0.1063621198901763
horizon_6,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_50_lr_0.0001_2023_log,8,0.1040823356463359
horizon_6,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_50_lr_0.0001_2024_log,10,0.1481670433512101
