Learner,selections,avg_weight,percentage,horizon,state,year,experiment
Chronos,294,1.0,20.192307692307693,horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_80_lr_0.001_2020_log
Moirai,281,1.0,19.29945054945055,horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_80_lr_0.001_2020_log
Time-MoE,285,1.0,19.574175824175825,horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_80_lr_0.001_2020_log
Timer,306,1.0,21.016483516483518,horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_80_lr_0.001_2020_log
TimesFM,290,1.0,19.917582417582416,horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_80_lr_0.001_2020_log
Chronos,252,1.0,20.192307692307693,horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_80_lr_0.001_2021_log
Moirai,258,1.0,20.673076923076923,horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_80_lr_0.001_2021_log
Time-MoE,252,1.0,20.192307692307693,horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_80_lr_0.001_2021_log
Timer,234,1.0,18.75,horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_80_lr_0.001_2021_log
TimesFM,252,1.0,20.192307692307693,horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_80_lr_0.001_2021_log
Chronos,362,1.0,19.337606837606838,horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_80_lr_0.001_2022_log
Moirai,370,1.0,19.764957264957264,horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_80_lr_0.001_2022_log
Time-MoE,379,1.0,20.245726495726494,horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_80_lr_0.001_2022_log
Timer,384,1.0,20.512820512820515,horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_80_lr_0.001_2022_log
TimesFM,377,1.0,20.13888888888889,horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_80_lr_0.001_2022_log
Chronos,461,1.0,20.1486013986014,horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_80_lr_0.001_2023_log
Moirai,455,1.0,19.886363636363637,horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_80_lr_0.001_2023_log
Time-MoE,452,1.0,19.755244755244757,horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_80_lr_0.001_2023_log
Timer,465,1.0,20.323426573426573,horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_80_lr_0.001_2023_log
TimesFM,455,1.0,19.886363636363637,horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_80_lr_0.001_2023_log
Chronos,244,1.0,19.55128205128205,horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_80_lr_0.001_2024_log
Moirai,248,1.0,19.871794871794872,horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_80_lr_0.001_2024_log
Time-MoE,257,1.0,20.59294871794872,horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_80_lr_0.001_2024_log
Timer,242,1.0,19.391025641025642,horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_80_lr_0.001_2024_log
TimesFM,257,1.0,20.59294871794872,horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_80_lr_0.001_2024_log
Chronos,248,1.0,19.871794871794872,horizon_24,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_80_lr_0.001_2020_log
Moirai,255,1.0,20.432692307692307,horizon_24,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_80_lr_0.001_2020_log
Time-MoE,248,1.0,19.871794871794872,horizon_24,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_80_lr_0.001_2020_log
Timer,252,1.0,20.192307692307693,horizon_24,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_80_lr_0.001_2020_log
