Learner,selections,avg_weight,percentage,horizon,state,year,experiment
Chronos,3268,0.5556015919140487,24.549278846153847,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2020_log
Moirai,2628,0.5023633091805483,19.74158653846154,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2020_log
Time-MoE,2054,0.5294532578188234,15.4296875,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2020_log
Timer,2650,0.4464428561876686,19.90685096153846,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2020_log
TimesFM,2712,0.46073475700410244,20.372596153846153,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2020_log
Chronos,1945,0.5403385089724719,22.26419413919414,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2021_log
Moirai,1412,0.43942816021506576,16.163003663003664,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2021_log
Time-MoE,1391,0.5245521561136184,15.922619047619047,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2021_log
Timer,1645,0.45457625420124337,18.830128205128204,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2021_log
TimesFM,2343,0.5203325010826585,26.820054945054945,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2021_log
Chronos,3932,0.4110959024869767,23.053470919324578,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2022_log
Moirai,3895,0.5056587027684715,22.83653846153846,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2022_log
Time-MoE,2620,0.602172536736013,15.361163227016885,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2022_log
Timer,3221,0.47610430583561364,18.88484990619137,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2022_log
TimesFM,3388,0.5403796481188505,19.863977485928704,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2022_log
Chronos,5569,0.6021487021323412,23.485998650472336,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2023_log
Moirai,4640,0.47633665113485063,19.568151147098515,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2023_log
Time-MoE,3943,0.5894089802809583,16.62871120107962,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2023_log
Timer,5348,0.37368400703290877,22.553981106612685,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2023_log
TimesFM,4212,0.46769471610507135,17.763157894736842,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2023_log
Chronos,2760,0.4206847852960166,18.956043956043956,horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2024_log
Moirai,3189,0.6204259104193818,21.90247252747253,horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2024_log
Time-MoE,2458,0.479213738683479,16.88186813186813,horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2024_log
Timer,2769,0.4033680853135238,19.017857142857142,horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2024_log
TimesFM,3384,0.5453717972269726,23.24175824175824,horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2024_log
Chronos,4907,0.54224096705584,22.255986937590713,horizon_24,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2020_log
Moirai,4664,0.5054378848024492,21.153846153846153,horizon_24,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2020_log
Time-MoE,3614,0.4144518489557188,16.391509433962263,horizon_24,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2020_log
Timer,4974,0.4798599828021907,22.559869375907112,horizon_24,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2020_log
TimesFM,3889,0.5454380930688517,17.63878809869376,horizon_24,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2020_log
Chronos,2379,0.796616802653654,19.0625,horizon_24,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2021_log
Moirai,3094,0.5245557335538292,24.791666666666668,horizon_24,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2021_log
Time-MoE,1252,0.32710102193738916,10.032051282051283,horizon_24,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2021_log
Timer,2888,0.45250223501400966,23.141025641025642,horizon_24,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2021_log
TimesFM,2867,0.35072070348432544,22.97275641025641,horizon_24,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2021_log
Chronos,3908,0.5419190142548214,21.847048300536674,horizon_24,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2022_log
Moirai,4452,0.5164037479625543,24.88819320214669,horizon_24,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2022_log
Time-MoE,1979,0.2530120942170321,11.063282647584973,horizon_24,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2022_log
Timer,4197,0.4704489225423159,23.462656529516995,horizon_24,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2022_log
TimesFM,3352,0.6121616793034025,18.73881932021467,horizon_24,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2022_log
Chronos,3145,0.5138677277511936,23.62530048076923,horizon_24,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2023_log
Moirai,2231,0.4494579928050069,16.759314903846153,horizon_24,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2023_log
Time-MoE,2120,0.5287290481639639,15.92548076923077,horizon_24,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2023_log
Timer,2299,0.4106515460623742,17.27013221153846,horizon_24,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2023_log
TimesFM,3517,0.5607482868249117,26.419771634615383,horizon_24,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2023_log
Chronos,1854,0.608518018321955,26.216063348416288,horizon_24,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2024_log
Moirai,1488,0.5618085101527232,21.040723981900452,horizon_24,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2024_log
Time-MoE,1065,0.3697461134585784,15.059389140271493,horizon_24,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2024_log
Timer,1271,0.3809365717432939,17.972285067873305,horizon_24,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2024_log
TimesFM,1394,0.49776652463848087,19.71153846153846,horizon_24,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2024_log
Chronos,3357,0.41252894513641913,18.340253496503497,horizon_3,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2020_log
Moirai,2966,0.34945284438571333,16.20410839160839,horizon_3,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2020_log
Time-MoE,4116,0.5831327720194968,22.486888111888113,horizon_3,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2020_log
Timer,3998,0.591193525085208,21.84222027972028,horizon_3,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2020_log
TimesFM,3867,0.5086364093585118,21.12652972027972,horizon_3,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2020_log
Chronos,1487,0.4530648112067829,19.85844017094017,horizon_3,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2021_log
Moirai,1474,0.6075113361481491,19.68482905982906,horizon_3,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2021_log
Time-MoE,1458,0.48932330847004957,19.471153846153847,horizon_3,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2021_log
Timer,1393,0.41657132526213797,18.60309829059829,horizon_3,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2021_log
TimesFM,1676,0.5257181856894604,22.382478632478634,horizon_3,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2021_log
Chronos,931,0.43465573152989373,18.649839743589745,horizon_3,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2022_log
Moirai,955,0.6188940744788547,19.130608974358974,horizon_3,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2022_log
Time-MoE,1004,0.49491069147519146,20.112179487179485,horizon_3,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2022_log
Timer,1007,0.48888541506501626,20.172275641025642,horizon_3,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2022_log
TimesFM,1095,0.4667522585555299,21.935096153846153,horizon_3,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2022_log
Chronos,2399,0.460440840862502,19.22275641025641,horizon_3,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2023_log
Moirai,2471,0.5753203563004708,19.799679487179485,horizon_3,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2023_log
Time-MoE,2598,0.46132340619600076,20.817307692307693,horizon_3,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2023_log
Timer,2403,0.5244438236639759,19.254807692307693,horizon_3,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2023_log
TimesFM,2609,0.4810383674878186,20.90544871794872,horizon_3,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2023_log
Chronos,2425,0.44453009712675434,24.28886217948718,horizon_3,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2024_log
Moirai,1916,0.7116313092527223,19.190705128205128,horizon_3,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2024_log
Time-MoE,1945,0.40930959824215296,19.481169871794872,horizon_3,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2024_log
Timer,2111,0.5194514651304355,21.143830128205128,horizon_3,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2024_log
TimesFM,1587,0.414530380531,15.895432692307692,horizon_3,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2024_log
Chronos,1452,0.48852730987814175,23.26923076923077,horizon_6,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2020_log
Moirai,997,0.4101216271482296,15.977564102564102,horizon_6,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2020_log
Time-MoE,1372,0.619927326461664,21.987179487179485,horizon_6,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2020_log
Timer,1271,0.552018118551826,20.368589743589745,horizon_6,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2020_log
TimesFM,1148,0.3916478775383236,18.397435897435898,horizon_6,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2020_log
Chronos,4071,0.52775300735481,22.758273703041144,horizon_6,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2021_log
Moirai,3346,0.6663895189367988,18.705277280858677,horizon_6,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2021_log
Time-MoE,3262,0.4056818170205603,18.235688729874777,horizon_6,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2021_log
Timer,3649,0.3989004143998351,20.399150268336314,horizon_6,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2021_log
TimesFM,3560,0.5019259766067948,19.901610017889087,horizon_6,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2021_log
Chronos,1659,0.4350647271317197,23.45871040723982,horizon_6,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2022_log
Moirai,1263,0.5981612934399859,17.8591628959276,horizon_6,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2022_log
Time-MoE,1261,0.5457931669823335,17.830882352941178,horizon_6,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2022_log
Timer,1556,0.5222884076563665,22.002262443438916,horizon_6,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2022_log
TimesFM,1333,0.4184725879337317,18.84898190045249,horizon_6,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2022_log
Chronos,2400,0.43983573145931587,19.23076923076923,horizon_6,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2023_log
Moirai,2764,0.6007029513293384,22.147435897435898,horizon_6,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2023_log
Time-MoE,2283,0.5105713093282097,18.29326923076923,horizon_6,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2023_log
Timer,2256,0.3430537409526841,18.076923076923077,horizon_6,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2023_log
TimesFM,2777,0.5705753501114289,22.251602564102566,horizon_6,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2023_log
Chronos,2553,0.42616475102576445,20.45673076923077,horizon_6,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2024_log
Moirai,2445,0.6992463807600163,19.591346153846153,horizon_6,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2024_log
Time-MoE,2408,0.42307067541822296,19.294871794871796,horizon_6,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2024_log
Timer,2548,0.4779707730261035,20.416666666666668,horizon_6,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2024_log
TimesFM,2526,0.47732394036002934,20.240384615384617,horizon_6,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2024_log
