horizon,state,year,experiment,num_epochs,min_loss
horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_80_lr_1e-05_2020_log,9,0.1763127251313282
horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_80_lr_1e-05_2021_log,17,0.257964918246636
horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_80_lr_1e-05_2022_log,7,0.1915174310023968
horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_80_lr_1e-05_2023_log,11,0.1372643732107602
horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_80_lr_1e-05_2024_log,10,0.1554848677836931
horizon_24,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_80_lr_1e-05_2020_log,21,0.2604461243519416
horizon_24,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_80_lr_1e-05_2021_log,9,0.1845632504958372
horizon_24,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_80_lr_1e-05_2022_log,14,0.2694574537185522
horizon_24,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_80_lr_1e-05_2023_log,22,0.2514627369550558
horizon_24,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_80_lr_1e-05_2024_log,7,0.1849528241616029
horizon_3,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_80_lr_1e-05_2020_log,17,0.0890406014827581
horizon_3,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_80_lr_1e-05_2021_log,22,0.0901746371617684
horizon_3,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_80_lr_1e-05_2022_log,15,0.0661777361081196
horizon_3,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_80_lr_1e-05_2023_log,16,0.0759061976121022
horizon_3,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_80_lr_1e-05_2024_log,33,0.1049842696923476
horizon_6,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_80_lr_1e-05_2020_log,11,0.1301948909576122
horizon_6,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_80_lr_1e-05_2021_log,11,0.1352306850827657
horizon_6,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_80_lr_1e-05_2022_log,13,0.0916331089459932
horizon_6,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_80_lr_1e-05_2023_log,11,0.0920966806320043
horizon_6,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_80_lr_1e-05_2024_log,14,0.1292762057139323
