Sample,Learner,Weight
Sample 0,Time-MoE,0.5
Sample 0,Moirai,0.5
Sample 1,Time-MoE,0.5
Sample 1,Moirai,0.5
Sample 2,Time-MoE,0.5
Sample 2,Moirai,0.5
Sample 3,Time-MoE,0.5
Sample 3,Moirai,0.5
Sample 4,Time-MoE,0.5
Sample 4,Moirai,0.5
Sample 5,Time-MoE,0.5
Sample 5,Moirai,0.5
Sample 6,Time-MoE,0.5
Sample 6,Moirai,0.5
Sample 7,Time-MoE,0.5
Sample 7,Moirai,0.5
Sample 8,Time-MoE,0.5
Sample 8,Moirai,0.5
Sample 9,Time-MoE,0.5
Sample 9,Moirai,0.5
Sample 10,Time-MoE,0.5
Sample 10,Moirai,0.5
Sample 11,Time-MoE,0.5
Sample 11,Moirai,0.5
Sample 12,Time-MoE,0.5
Sample 12,Moirai,0.5
Sample 13,Time-MoE,0.5
Sample 13,Moirai,0.5
Sample 14,Time-MoE,0.5
Sample 14,Moirai,0.5
Sample 15,Time-MoE,0.5
Sample 15,Moirai,0.5
Sample 16,Time-MoE,0.5
Sample 16,Moirai,0.5
Sample 17,Time-MoE,0.5
Sample 17,Moirai,0.5
Sample 18,Time-MoE,0.5
Sample 18,Moirai,0.5
Sample 19,Time-MoE,0.5
Sample 19,Moirai,0.5
Sample 20,Time-MoE,0.5
Sample 20,Moirai,0.5
Sample 21,Time-MoE,0.5
Sample 21,Moirai,0.5
Sample 22,Time-MoE,0.5
Sample 22,Moirai,0.5
Sample 23,Time-MoE,0.5
Sample 23,Moirai,0.5
Sample 24,Time-MoE,0.5
Sample 24,Moirai,0.5
Sample 25,Time-MoE,0.5
Sample 25,Moirai,0.5
Sample 26,Time-MoE,0.5
Sample 26,Moirai,0.5
Sample 27,Time-MoE,0.5
Sample 27,Moirai,0.5
Sample 28,Time-MoE,0.5
Sample 28,Moirai,0.5
Sample 29,Time-MoE,0.5
Sample 29,Moirai,0.5
Sample 30,Time-MoE,0.5
Sample 30,Moirai,0.5
Sample 31,Time-MoE,0.5
Sample 31,Moirai,0.5
Sample 0,Timer,0.5
Sample 0,TimesFM,0.5
Sample 1,Moirai,0.500025749206543
Sample 1,TimesFM,0.49997425079345703
Sample 2,Time-MoE,0.500096321105957
Sample 2,TimesFM,0.49990367889404297
Sample 3,Moirai,0.5000367164611816
Sample 3,TimesFM,0.49996328353881836
Sample 4,Time-MoE,0.500289797782898
Sample 4,TimesFM,0.49971020221710205
Sample 5,Moirai,0.5000467300415039
Sample 5,TimesFM,0.4999532997608185
Sample 6,Timer,0.5
Sample 6,TimesFM,0.5
Sample 7,Time-MoE,0.5008394718170166
Sample 7,TimesFM,0.4991605281829834
Sample 8,Timer,0.5
Sample 8,TimesFM,0.5
Sample 9,Moirai,0.5000457763671875
Sample 9,TimesFM,0.4999542534351349
Sample 10,Timer,0.5
Sample 10,TimesFM,0.5
Sample 11,Timer,0.5
Sample 11,TimesFM,0.5
Sample 12,Timer,0.5
Sample 12,TimesFM,0.5
Sample 13,Moirai,0.5000500679016113
Sample 13,TimesFM,0.49994996190071106
Sample 14,Moirai,0.5000489950180054
Sample 14,TimesFM,0.499951034784317
Sample 15,Time-MoE,0.5004010796546936
Sample 15,TimesFM,0.4995989203453064
Sample 16,Timer,0.5
Sample 16,TimesFM,0.5
Sample 17,Moirai,0.5000410079956055
Sample 17,TimesFM,0.4999590218067169
Sample 18,Time-MoE,0.5001323223114014
Sample 18,TimesFM,0.49986767768859863
Sample 19,Moirai,0.5000324249267578
Sample 19,TimesFM,0.4999675750732422
Sample 20,Moirai,0.5000364780426025
Sample 20,TimesFM,0.49996355175971985
Sample 21,Moirai,0.500035285949707
Sample 21,TimesFM,0.49996474385261536
Sample 22,Timer,0.5
Sample 22,TimesFM,0.5
Sample 23,Time-MoE,0.5012404918670654
Sample 23,TimesFM,0.49875950813293457
Sample 24,Timer,0.5
Sample 24,TimesFM,0.5
Sample 25,Moirai,0.5000624656677246
Sample 25,TimesFM,0.4999375641345978
Sample 26,Timer,0.5
Sample 26,TimesFM,0.5
Sample 27,Moirai,0.5001332759857178
Sample 27,TimesFM,0.4998667240142822
Sample 28,Time-MoE,0.500975489616394
Sample 28,TimesFM,0.49902448058128357
Sample 29,Moirai,0.5000882148742676
Sample 29,TimesFM,0.4999117851257324
Sample 30,Timer,0.5
Sample 30,TimesFM,0.5
Sample 31,Time-MoE,0.5009968280792236
