Sample,Learner,Weight
Sample 0,Timer,0.5281949043273926
Sample 0,Chronos,0.4718050956726074
Sample 1,Chronos,0.5157315135002136
Sample 1,TimesFM,0.48426854610443115
Sample 2,Time-MoE,0.6812912821769714
Sample 2,Chronos,0.31870871782302856
Sample 3,Timer,0.6680303812026978
Sample 3,TimesFM,0.33196958899497986
Sample 4,Chronos,0.6051708459854126
Sample 4,Moirai,0.3948291838169098
Sample 5,Time-MoE,0.6736265420913696
Sample 5,TimesFM,0.32637345790863037
Sample 6,Moirai,0.7235379219055176
Sample 6,Time-MoE,0.2764621078968048
Sample 7,Chronos,0.7424755692481995
Sample 7,Timer,0.25752443075180054
Sample 8,TimesFM,0.7097042798995972
Sample 8,Time-MoE,0.29029572010040283
Sample 9,Moirai,0.6048339605331421
Sample 9,Chronos,0.3951660096645355
Sample 10,TimesFM,0.6154817938804626
Sample 10,Moirai,0.38451820611953735
Sample 11,Chronos,0.5362395644187927
Sample 11,Moirai,0.46376046538352966
Sample 12,Moirai,0.5193562507629395
Sample 12,TimesFM,0.48064371943473816
Sample 13,Time-MoE,0.6190556883811951
Sample 13,Chronos,0.3809443712234497
Sample 14,Chronos,0.5381573438644409
Sample 14,Moirai,0.46184271574020386
Sample 15,Time-MoE,0.5311857461929321
Sample 15,Timer,0.46881425380706787
Sample 16,Time-MoE,0.572078287601471
Sample 16,Timer,0.42792168259620667
Sample 17,Moirai,0.6489853858947754
Sample 17,Timer,0.3510146141052246
Sample 18,Time-MoE,0.6128693222999573
Sample 18,Chronos,0.38713064789772034
Sample 19,Time-MoE,0.5269909501075745
Sample 19,Chronos,0.4730091094970703
Sample 20,TimesFM,0.5454156398773193
Sample 20,Timer,0.4545843303203583
Sample 21,Timer,0.5698442459106445
Sample 21,Time-MoE,0.4301556944847107
Sample 22,Chronos,0.5626111626625061
Sample 22,TimesFM,0.4373888373374939
Sample 23,Timer,0.6376674175262451
Sample 23,Chronos,0.3623325526714325
Sample 24,Moirai,0.6979582905769348
Sample 24,TimesFM,0.3020416796207428
Sample 25,Moirai,0.50096595287323
Sample 25,TimesFM,0.4990340769290924
Sample 26,Time-MoE,0.722298264503479
Sample 26,Timer,0.277701735496521
Sample 27,Time-MoE,0.551051914691925
Sample 27,Timer,0.44894805550575256
Sample 28,TimesFM,0.527481734752655
Sample 28,Moirai,0.47251826524734497
Sample 29,TimesFM,0.7021271586418152
Sample 29,Moirai,0.2978728711605072
Sample 30,Time-MoE,0.5176713466644287
Sample 30,TimesFM,0.4823286533355713
Sample 31,TimesFM,0.6976722478866577
Sample 31,Time-MoE,0.3023277521133423
Sample 0,TimesFM,0.7160552144050598
Sample 0,Moirai,0.2839447855949402
Sample 1,Chronos,0.547348141670227
Sample 1,Moirai,0.45265185832977295
Sample 2,Time-MoE,0.5121476650238037
Sample 2,TimesFM,0.4878523051738739
Sample 3,Moirai,0.5837500691413879
Sample 3,Timer,0.4162499010562897
Sample 4,Chronos,0.8044940233230591
Sample 4,Timer,0.19550596177577972
Sample 5,Timer,0.695831298828125
Sample 5,Time-MoE,0.3041687309741974
Sample 6,Timer,0.7038899064064026
Sample 6,Chronos,0.296110063791275
Sample 7,Moirai,0.5270650386810303
Sample 7,Time-MoE,0.47293493151664734
Sample 8,TimesFM,0.6030994057655334
Sample 8,Time-MoE,0.39690059423446655
Sample 9,Timer,0.8096600770950317
Sample 9,TimesFM,0.19033987820148468
Sample 10,Time-MoE,0.5521380305290222
Sample 10,Chronos,0.44786199927330017
Sample 11,TimesFM,0.5820086598396301
Sample 11,Timer,0.4179913401603699
Sample 12,TimesFM,0.6629582643508911
Sample 12,Chronos,0.3370417356491089
Sample 13,Chronos,0.5164819955825806
Sample 13,TimesFM,0.48351800441741943
Sample 14,Timer,0.6704384684562683
Sample 14,Chronos,0.3295615017414093
Sample 15,TimesFM,0.745020866394043
Sample 15,Timer,0.25497910380363464
Sample 16,Time-MoE,0.5595217943191528
Sample 16,Moirai,0.4404781758785248
Sample 17,TimesFM,0.6803305745124817
Sample 17,Chronos,0.3196693956851959
Sample 18,Chronos,0.5934549570083618
Sample 18,Timer,0.4065450131893158
Sample 19,TimesFM,0.7077329754829407
Sample 19,Timer,0.2922670245170593
Sample 20,Timer,0.7060554027557373
Sample 20,TimesFM,0.2939446270465851
Sample 21,Timer,0.5956757664680481
Sample 21,Time-MoE,0.4043242335319519
Sample 22,Chronos,0.601654052734375
Sample 22,Time-MoE,0.398345947265625
Sample 23,Moirai,0.6597100496292114
Sample 23,Time-MoE,0.3402899205684662
Sample 24,Timer,0.5115581750869751
Sample 24,Time-MoE,0.4884417653083801
Sample 25,Timer,0.6706712245941162
Sample 25,Time-MoE,0.3293287456035614
Sample 26,Time-MoE,0.6090453267097473
Sample 26,TimesFM,0.3909547030925751
Sample 27,Timer,0.7052152752876282
Sample 27,Time-MoE,0.2947847545146942
Sample 28,Moirai,0.7593651413917542
Sample 28,Time-MoE,0.24063485860824585
Sample 29,TimesFM,0.5969327092170715
Sample 29,Chronos,0.4030672609806061
Sample 30,Moirai,0.5461220145225525
Sample 30,Time-MoE,0.45387792587280273
Sample 31,Time-MoE,0.7406159043312073
Sample 31,Timer,0.2593840956687927
Sample 0,Moirai,0.5210420489311218
Sample 0,Time-MoE,0.4789579510688782
Sample 1,Timer,0.5227097272872925
Sample 1,Chronos,0.4772903025150299
Sample 2,Moirai,0.5895087122917175
Sample 2,Chronos,0.41049128770828247
Sample 3,Timer,0.7093862891197205
Sample 3,Time-MoE,0.29061368107795715
Sample 4,Chronos,0.5307745337486267
Sample 4,TimesFM,0.4692254364490509
Sample 5,Moirai,0.6702669262886047
Sample 5,Chronos,0.3297330439090729
Sample 6,Timer,0.5553256273269653
Sample 6,TimesFM,0.4446743428707123
Sample 7,Timer,0.5830003619194031
Sample 7,Time-MoE,0.41699960827827454
Sample 8,Time-MoE,0.5104116797447205
Sample 8,TimesFM,0.48958832025527954
Sample 9,Chronos,0.5370805263519287
Sample 9,TimesFM,0.4629194736480713
Sample 10,TimesFM,0.5382459759712219
Sample 10,Chronos,0.4617539644241333
Sample 11,TimesFM,0.5285128355026245
Sample 11,Moirai,0.4714871644973755
Sample 12,Moirai,0.6589003205299377
Sample 12,Chronos,0.34109970927238464
Sample 13,Time-MoE,0.731802761554718
Sample 13,Chronos,0.26819729804992676
Sample 14,Moirai,0.5214664936065674
Sample 14,Chronos,0.4785335063934326
Sample 15,Time-MoE,0.6225462555885315
Sample 15,TimesFM,0.37745368480682373
Sample 16,Timer,0.5060582160949707
Sample 16,TimesFM,0.4939418137073517
Sample 17,Timer,0.5470853447914124
Sample 17,Time-MoE,0.45291465520858765
Sample 18,TimesFM,0.6250481605529785
Sample 18,Moirai,0.3749517798423767
Sample 19,Chronos,0.5633290410041809
Sample 19,Timer,0.4366709887981415
Sample 20,Moirai,0.540156364440918
Sample 20,TimesFM,0.4598436653614044
Sample 21,Chronos,0.545746386051178
Sample 21,Timer,0.45425355434417725
Sample 22,Chronos,0.571478545665741
Sample 22,Moirai,0.42852142453193665
Sample 23,Moirai,0.5030558705329895
Sample 23,TimesFM,0.4969440698623657
Sample 24,Time-MoE,0.7871983051300049
Sample 24,TimesFM,0.21280167996883392
Sample 25,Time-MoE,0.5985797643661499
Sample 25,Chronos,0.4014202058315277
Sample 26,Chronos,0.5695468783378601
Sample 26,Moirai,0.4304531216621399
Sample 27,TimesFM,0.506539523601532
Sample 27,Chronos,0.49346044659614563
Sample 28,TimesFM,0.5471614003181458
Sample 28,Chronos,0.45283862948417664
Sample 29,Chronos,0.5950981974601746
Sample 29,TimesFM,0.4049018323421478
Sample 30,Chronos,0.5510344505310059
Sample 30,Time-MoE,0.44896557927131653
Sample 31,Time-MoE,0.7118291854858398
Sample 31,TimesFM,0.28817084431648254
Sample 0,Time-MoE,0.5001998543739319
Sample 0,Timer,0.4998001158237457
Sample 1,Chronos,0.524077296257019
Sample 1,Timer,0.47592267394065857
Sample 2,Chronos,0.775315523147583
Sample 2,TimesFM,0.224684476852417
Sample 3,Timer,0.8144156336784363
Sample 3,Chronos,0.1855843961238861
Sample 4,Chronos,0.5302865505218506
Sample 4,Timer,0.469713419675827
Sample 5,TimesFM,0.5509563088417053
Sample 5,Timer,0.44904372096061707
Sample 6,Timer,0.7924414873123169
Sample 6,Moirai,0.20755857229232788
Sample 7,Time-MoE,0.5694886445999146
Sample 7,TimesFM,0.43051135540008545
Sample 8,Timer,0.5025911331176758
Sample 8,Chronos,0.4974088966846466
Sample 9,Timer,0.8840262293815613
Sample 9,Moirai,0.11597377061843872
Sample 10,Timer,0.6799302697181702
Sample 10,TimesFM,0.32006970047950745
Sample 11,TimesFM,0.6051556468009949
Sample 11,Chronos,0.39484432339668274
Sample 12,Chronos,0.5593858957290649
Sample 12,Time-MoE,0.44061413407325745
Sample 13,TimesFM,0.5307397246360779
Sample 13,Timer,0.4692603051662445
Sample 14,TimesFM,0.5672793984413147
Sample 14,Chronos,0.4327205419540405
Sample 15,Time-MoE,0.583225429058075
Sample 15,Moirai,0.41677460074424744
Sample 16,Moirai,0.6063959002494812
Sample 16,Chronos,0.3936040699481964
Sample 17,Timer,0.7680695056915283
Sample 17,Moirai,0.23193049430847168
Sample 18,TimesFM,0.5616323351860046
Sample 18,Timer,0.438367635011673
Sample 19,Timer,0.5454703569412231
Sample 19,Moirai,0.45452964305877686
Sample 20,Time-MoE,0.5660997033119202
Sample 20,Moirai,0.43390029668807983
Sample 21,TimesFM,0.5674984455108643
Sample 21,Chronos,0.43250155448913574
Sample 22,Timer,0.590800940990448
Sample 22,Chronos,0.4091990292072296
Sample 23,Time-MoE,0.6352147459983826
Sample 23,Chronos,0.36478525400161743
Sample 24,TimesFM,0.5534467697143555
Sample 24,Chronos,0.44655320048332214
Sample 25,Timer,0.6928098797798157
Sample 25,Chronos,0.30719009041786194
Sample 26,Time-MoE,0.5628666281700134
Sample 26,Chronos,0.4371333718299866
Sample 27,Chronos,0.5918928980827332
Sample 27,TimesFM,0.40810707211494446
Sample 28,Chronos,0.7128982543945312
Sample 28,Time-MoE,0.28710174560546875
Sample 29,Timer,0.7873802781105042
Sample 29,Chronos,0.21261969208717346
Sample 30,Chronos,0.5777460932731628
Sample 30,Timer,0.42225390672683716
Sample 31,TimesFM,0.6622490286827087
Sample 31,Time-MoE,0.33775100111961365
Sample 0,Moirai,0.6022748947143555
Sample 0,Time-MoE,0.39772504568099976
Sample 1,Chronos,0.5845620632171631
Sample 1,Timer,0.4154379069805145
Sample 2,Moirai,0.5677416920661926
Sample 2,Timer,0.43225836753845215
Sample 3,Timer,0.5619736909866333
Sample 3,Chronos,0.4380262792110443
Sample 4,Timer,0.5463432669639587
Sample 4,Chronos,0.45365670323371887
Sample 5,Chronos,0.5454057455062866
Sample 5,Timer,0.4545942544937134
Sample 6,Chronos,0.5515397787094116
Sample 6,Timer,0.44846025109291077
Sample 7,Time-MoE,0.5151333212852478
Sample 7,Timer,0.4848666489124298
Sample 8,Timer,0.6007121205329895
Sample 8,Chronos,0.3992879390716553
Sample 9,Timer,0.7965614199638367
Sample 9,Chronos,0.20343859493732452
Sample 10,Chronos,0.6807726621627808
Sample 10,Timer,0.31922733783721924
Sample 11,Chronos,0.5682947635650635
Sample 11,Moirai,0.4317052364349365
Sample 12,Moirai,0.6239207983016968
Sample 12,Chronos,0.3760792315006256
Sample 13,Timer,0.7735686898231506
Sample 13,TimesFM,0.22643133997917175
Sample 14,Timer,0.8996289372444153
Sample 14,Moirai,0.1003711000084877
Sample 15,Moirai,0.5606542229652405
Sample 15,Time-MoE,0.4393457770347595
Sample 16,Timer,0.6198230981826782
Sample 16,Chronos,0.3801768720149994
Sample 17,Timer,0.5917305946350098
Sample 17,TimesFM,0.4082694351673126
Sample 18,Chronos,0.60355544090271
Sample 18,Timer,0.39644452929496765
Sample 19,Chronos,0.5823274850845337
Sample 19,Moirai,0.4176725447177887
Sample 20,Chronos,0.5114647150039673
Sample 20,Time-MoE,0.4885352849960327
Sample 21,Timer,0.500093936920166
Sample 21,TimesFM,0.4999060332775116
Sample 22,Chronos,0.5736579895019531
Sample 22,TimesFM,0.4263419508934021
Sample 23,TimesFM,0.6849972605705261
Sample 23,Moirai,0.31500276923179626
Sample 24,TimesFM,0.5679199695587158
Sample 24,Timer,0.4320800304412842
Sample 25,Timer,0.7528270483016968
Sample 25,Moirai,0.2471729815006256
Sample 26,Chronos,0.6307131052017212
Sample 26,Timer,0.3692868649959564
Sample 27,Timer,0.6753263473510742
Sample 27,Chronos,0.32467371225357056
Sample 28,Time-MoE,0.8599396347999573
Sample 28,Chronos,0.14006035029888153
Sample 29,Timer,0.5561182498931885
Sample 29,Moirai,0.4438817501068115
Sample 30,TimesFM,0.706447184085846
Sample 30,Moirai,0.29355284571647644
Sample 31,TimesFM,0.5608618259429932
Sample 31,Time-MoE,0.43913817405700684
Sample 0,Moirai,0.7383944392204285
Sample 0,Chronos,0.2616056203842163
Sample 1,Chronos,0.5080252289772034
Sample 1,Timer,0.49197474122047424
Sample 2,TimesFM,0.6877511143684387
Sample 2,Chronos,0.31224894523620605
Sample 3,Chronos,0.6282498836517334
Sample 3,Timer,0.3717501163482666
