Sample,Learner,Weight
Sample 0,Timer,0.5911622643470764
Sample 0,Chronos,0.4088377356529236
Sample 1,Time-MoE,0.5096543431282043
Sample 1,Moirai,0.49034568667411804
Sample 2,Time-MoE,0.9295670986175537
Sample 2,Chronos,0.0704328864812851
Sample 3,TimesFM,0.557839035987854
Sample 3,Chronos,0.4421609342098236
Sample 4,Chronos,0.5701025724411011
Sample 4,Moirai,0.4298974275588989
Sample 5,Time-MoE,0.5266188979148865
Sample 5,TimesFM,0.47338107228279114
Sample 6,Moirai,0.7428724765777588
Sample 6,Time-MoE,0.2571275532245636
Sample 7,Chronos,0.6434593200683594
Sample 7,Timer,0.35654065012931824
Sample 8,TimesFM,0.6315818428993225
Sample 8,Timer,0.3684181571006775
Sample 9,Moirai,0.5531216859817505
Sample 9,Chronos,0.4468782842159271
Sample 10,TimesFM,0.6342769265174866
Sample 10,Moirai,0.3657231032848358
Sample 11,Chronos,0.6368797421455383
Sample 11,Moirai,0.36312025785446167
Sample 12,TimesFM,0.5417453646659851
Sample 12,Moirai,0.45825469493865967
Sample 13,Time-MoE,0.5585258603096008
Sample 13,Chronos,0.4414741098880768
Sample 14,Moirai,0.5685351490974426
Sample 14,Chronos,0.4314647912979126
Sample 15,Timer,0.5037090182304382
Sample 15,Time-MoE,0.4962909519672394
Sample 16,Time-MoE,0.5568228960037231
Sample 16,Timer,0.44317710399627686
Sample 17,Moirai,0.6447679996490479
Sample 17,TimesFM,0.3552320599555969
Sample 18,Time-MoE,0.6076526045799255
Sample 18,Moirai,0.3923473358154297
Sample 19,Time-MoE,0.588132381439209
Sample 19,Chronos,0.411867618560791
Sample 20,Timer,0.652136504650116
Sample 20,TimesFM,0.34786346554756165
Sample 21,Time-MoE,0.5040290951728821
Sample 21,Timer,0.49597087502479553
Sample 22,TimesFM,0.6951014399528503
Sample 22,Chronos,0.30489856004714966
Sample 23,Timer,0.8059577345848083
Sample 23,Chronos,0.19404231011867523
Sample 24,Moirai,0.5368548035621643
Sample 24,TimesFM,0.4631451666355133
Sample 25,Moirai,0.5067650675773621
Sample 25,Time-MoE,0.4932349622249603
Sample 26,Time-MoE,0.6092862486839294
Sample 26,Timer,0.39071375131607056
Sample 27,Time-MoE,0.5596137046813965
Sample 27,Timer,0.4403863251209259
Sample 28,Moirai,0.505164384841919
Sample 28,TimesFM,0.49483558535575867
Sample 29,TimesFM,0.8189595937728882
Sample 29,Moirai,0.18104040622711182
Sample 30,Time-MoE,0.5057094097137451
Sample 30,TimesFM,0.4942905604839325
Sample 31,TimesFM,0.6300783157348633
Sample 31,Time-MoE,0.3699216842651367
Sample 0,Chronos,0.6852430105209351
Sample 0,Timer,0.31475695967674255
Sample 1,Timer,0.5505192279815674
Sample 1,Moirai,0.4494807720184326
Sample 2,Timer,0.682545006275177
Sample 2,Moirai,0.317454993724823
Sample 3,Chronos,0.5824623107910156
Sample 3,Time-MoE,0.417537659406662
Sample 4,Time-MoE,0.5261319279670715
Sample 4,Chronos,0.47386807203292847
Sample 5,Chronos,0.8901768922805786
Sample 5,TimesFM,0.10982312262058258
Sample 6,Moirai,0.5035179853439331
Sample 6,Chronos,0.4964819550514221
Sample 7,Chronos,0.7812509536743164
Sample 7,TimesFM,0.2187490612268448
Sample 8,Timer,0.6640154123306274
Sample 8,TimesFM,0.3359845280647278
Sample 9,TimesFM,0.6721373796463013
Sample 9,Time-MoE,0.32786262035369873
Sample 10,Moirai,0.5213999152183533
Sample 10,TimesFM,0.47860005497932434
Sample 11,Chronos,0.6460598111152649
Sample 11,Timer,0.3539401888847351
Sample 12,Moirai,0.611088752746582
Sample 12,TimesFM,0.38891124725341797
Sample 13,TimesFM,0.538375973701477
Sample 13,Moirai,0.46162402629852295
Sample 14,TimesFM,0.7534206509590149
Sample 14,Moirai,0.24657940864562988
Sample 15,Timer,0.631882905960083
Sample 15,Time-MoE,0.36811715364456177
Sample 16,Chronos,0.6838598847389221
Sample 16,Timer,0.31614014506340027
Sample 17,TimesFM,0.579203188419342
Sample 17,Moirai,0.42079684138298035
Sample 18,Time-MoE,0.5430185198783875
Sample 18,Timer,0.45698145031929016
Sample 19,Time-MoE,0.5410622358322144
Sample 19,Timer,0.45893776416778564
Sample 20,Moirai,0.6197946071624756
Sample 20,TimesFM,0.380205363035202
Sample 21,Moirai,0.5861098170280457
Sample 21,Time-MoE,0.41389012336730957
Sample 22,Time-MoE,0.7048397064208984
Sample 22,Moirai,0.29516032338142395
Sample 23,Chronos,0.5395709276199341
Sample 23,Timer,0.4604291021823883
Sample 24,Chronos,0.6508366465568542
Sample 24,Time-MoE,0.34916335344314575
Sample 25,Timer,0.5178042650222778
Sample 25,Chronos,0.48219576478004456
Sample 26,Chronos,0.5388146042823792
Sample 26,Moirai,0.4611854553222656
Sample 27,Timer,0.5773451328277588
Sample 27,TimesFM,0.4226548969745636
Sample 28,Time-MoE,0.5361059308052063
Sample 28,Timer,0.4638940989971161
Sample 29,Chronos,0.5051178932189941
Sample 29,Time-MoE,0.49488213658332825
Sample 30,Moirai,0.5530460476875305
Sample 30,Timer,0.4469539225101471
Sample 31,Timer,0.5188745260238647
Sample 31,TimesFM,0.48112544417381287
Sample 0,Time-MoE,0.6771962642669678
Sample 0,TimesFM,0.3228037655353546
Sample 1,Chronos,0.7084764838218689
Sample 1,Timer,0.2915235459804535
Sample 2,Time-MoE,0.5587661266326904
Sample 2,Moirai,0.44123390316963196
Sample 3,Chronos,0.5743308663368225
Sample 3,TimesFM,0.4256690740585327
Sample 4,Timer,0.5747932195663452
Sample 4,Time-MoE,0.4252068102359772
Sample 5,TimesFM,0.6723039746284485
Sample 5,Chronos,0.3276960551738739
Sample 6,Timer,0.5748382806777954
Sample 6,Moirai,0.425161749124527
Sample 7,Timer,0.6529510021209717
Sample 7,TimesFM,0.34704896807670593
Sample 8,Time-MoE,0.6194467544555664
Sample 8,TimesFM,0.3805532455444336
Sample 9,TimesFM,0.5526488423347473
Sample 9,Time-MoE,0.4473511576652527
Sample 10,TimesFM,0.8064905405044556
Sample 10,Time-MoE,0.19350942969322205
Sample 11,Chronos,0.5165577530860901
Sample 11,Time-MoE,0.4834422469139099
Sample 12,Moirai,0.5612574815750122
Sample 12,Time-MoE,0.4387424886226654
Sample 13,TimesFM,0.6171496510505676
Sample 13,Moirai,0.38285037875175476
Sample 14,Timer,0.6238592267036438
Sample 14,TimesFM,0.3761407434940338
Sample 15,Time-MoE,0.5566354990005493
Sample 15,TimesFM,0.4433644711971283
Sample 16,Time-MoE,0.7673113346099854
Sample 16,Moirai,0.23268872499465942
Sample 17,TimesFM,0.5867970585823059
