Learner,selections,avg_weight,percentage,horizon,state,year,experiment
Chronos,856,1.0,19.5970695970696,horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2020_log
Moirai,893,1.0,20.444139194139193,horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2020_log
Time-MoE,861,1.0,19.71153846153846,horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2020_log
Timer,894,1.0,20.467032967032967,horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2020_log
TimesFM,864,1.0,19.78021978021978,horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2020_log
Chronos,270,1.0,18.543956043956044,horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2021_log
Moirai,352,1.0,24.175824175824175,horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2021_log
Time-MoE,256,1.0,17.582417582417584,horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2021_log
Timer,307,1.0,21.085164835164836,horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2021_log
TimesFM,271,1.0,18.61263736263736,horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2021_log
Chronos,689,1.0,19.485294117647058,horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2022_log
Moirai,726,1.0,20.531674208144796,horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2022_log
Time-MoE,680,1.0,19.23076923076923,horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2022_log
Timer,713,1.0,20.164027149321267,horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2022_log
TimesFM,728,1.0,20.58823529411765,horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2022_log
Chronos,407,1.0,19.567307692307693,horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2023_log
Moirai,468,1.0,22.5,horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2023_log
Time-MoE,402,1.0,19.326923076923077,horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2023_log
Timer,410,1.0,19.71153846153846,horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2023_log
TimesFM,393,1.0,18.89423076923077,horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2023_log
Chronos,277,1.0,19.024725274725274,horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2024_log
Moirai,365,1.0,25.068681318681318,horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2024_log
Time-MoE,258,1.0,17.71978021978022,horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2024_log
Timer,265,1.0,18.20054945054945,horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2024_log
TimesFM,291,1.0,19.986263736263737,horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2024_log
Chronos,386,1.0,20.61965811965812,horizon_24,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2020_log
Moirai,380,1.0,20.299145299145298,horizon_24,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2020_log
Time-MoE,355,1.0,18.963675213675213,horizon_24,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2020_log
Timer,360,1.0,19.23076923076923,horizon_24,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2020_log
TimesFM,391,1.0,20.886752136752136,horizon_24,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2020_log
Chronos,523,1.0,20.953525641025642,horizon_24,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2021_log
Moirai,474,1.0,18.990384615384617,horizon_24,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2021_log
Time-MoE,527,1.0,21.11378205128205,horizon_24,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2021_log
Timer,491,1.0,19.671474358974358,horizon_24,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2021_log
TimesFM,481,1.0,19.270833333333332,horizon_24,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2021_log
Chronos,404,1.0,21.581196581196583,horizon_24,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2022_log
Moirai,401,1.0,21.42094017094017,horizon_24,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2022_log
Time-MoE,351,1.0,18.75,horizon_24,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2022_log
Timer,347,1.0,18.536324786324787,horizon_24,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2022_log
TimesFM,369,1.0,19.71153846153846,horizon_24,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2022_log
Chronos,270,1.0,18.543956043956044,horizon_24,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2023_log
Moirai,352,1.0,24.175824175824175,horizon_24,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2023_log
Time-MoE,256,1.0,17.582417582417584,horizon_24,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2023_log
Timer,307,1.0,21.085164835164836,horizon_24,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2023_log
TimesFM,271,1.0,18.61263736263736,horizon_24,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2023_log
Chronos,407,1.0,19.567307692307693,horizon_24,excluding_sp,2024,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2024_log
Moirai,468,1.0,22.5,horizon_24,excluding_sp,2024,model_topk_1_norm_minmax_noise_False_ep_50_lr_0.0001_2024_log
