Learner,selections,avg_weight,percentage,horizon,state,year,experiment
Chronos,398,1.0,19.134615384615383,horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_80_lr_1e-05_2020_log
Moirai,505,1.0,24.278846153846153,horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_80_lr_1e-05_2020_log
Time-MoE,393,1.0,18.89423076923077,horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_80_lr_1e-05_2020_log
Timer,394,1.0,18.942307692307693,horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_80_lr_1e-05_2020_log
TimesFM,390,1.0,18.75,horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_80_lr_1e-05_2020_log
Chronos,268,1.0,18.406593406593405,horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_80_lr_1e-05_2021_log
Moirai,385,1.0,26.442307692307693,horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_80_lr_1e-05_2021_log
Time-MoE,261,1.0,17.925824175824175,horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_80_lr_1e-05_2021_log
Timer,280,1.0,19.23076923076923,horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_80_lr_1e-05_2021_log
TimesFM,262,1.0,17.994505494505493,horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_80_lr_1e-05_2021_log
Chronos,417,1.0,20.048076923076923,horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_80_lr_1e-05_2022_log
Moirai,538,1.0,25.865384615384617,horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_80_lr_1e-05_2022_log
Time-MoE,361,1.0,17.35576923076923,horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_80_lr_1e-05_2022_log
Timer,376,1.0,18.076923076923077,horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_80_lr_1e-05_2022_log
TimesFM,388,1.0,18.653846153846153,horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_80_lr_1e-05_2022_log
Chronos,386,1.0,18.557692307692307,horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_80_lr_1e-05_2023_log
Moirai,552,1.0,26.53846153846154,horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_80_lr_1e-05_2023_log
Time-MoE,351,1.0,16.875,horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_80_lr_1e-05_2023_log
Timer,379,1.0,18.221153846153847,horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_80_lr_1e-05_2023_log
TimesFM,412,1.0,19.807692307692307,horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_80_lr_1e-05_2023_log
Chronos,290,1.0,19.917582417582416,horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_False_ep_80_lr_1e-05_2024_log
Moirai,400,1.0,27.47252747252747,horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_False_ep_80_lr_1e-05_2024_log
Time-MoE,249,1.0,17.10164835164835,horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_False_ep_80_lr_1e-05_2024_log
Timer,256,1.0,17.582417582417584,horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_False_ep_80_lr_1e-05_2024_log
TimesFM,261,1.0,17.925824175824175,horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_False_ep_80_lr_1e-05_2024_log
Chronos,309,1.0,21.22252747252747,horizon_24,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_80_lr_1e-05_2020_log
Moirai,297,1.0,20.39835164835165,horizon_24,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_80_lr_1e-05_2020_log
Time-MoE,264,1.0,18.13186813186813,horizon_24,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_80_lr_1e-05_2020_log
Timer,284,1.0,19.505494505494507,horizon_24,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_80_lr_1e-05_2020_log
TimesFM,302,1.0,20.74175824175824,horizon_24,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_80_lr_1e-05_2020_log
Chronos,309,1.0,21.22252747252747,horizon_24,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_80_lr_1e-05_2021_log
Moirai,284,1.0,19.505494505494507,horizon_24,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_80_lr_1e-05_2021_log
Time-MoE,281,1.0,19.29945054945055,horizon_24,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_80_lr_1e-05_2021_log
Timer,300,1.0,20.604395604395606,horizon_24,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_80_lr_1e-05_2021_log
TimesFM,282,1.0,19.36813186813187,horizon_24,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_80_lr_1e-05_2021_log
