horizon,state,year,experiment,num_epochs,min_loss
horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_20_lr_1e-05_2020_log,7,0.1898311886649865
horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_20_lr_1e-05_2021_log,11,0.2817853849667769
horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_20_lr_1e-05_2022_log,13,0.2052298612319506
horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_20_lr_1e-05_2023_log,9,0.1565489493883573
horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_20_lr_1e-05_2024_log,6,0.1846212756175261
horizon_24,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_20_lr_1e-05_2020_log,11,0.3580572123710925
horizon_24,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_20_lr_1e-05_2021_log,7,0.2322297371350802
horizon_24,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_20_lr_1e-05_2022_log,10,0.3022526617233569
horizon_24,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_20_lr_1e-05_2023_log,11,0.2920320056951963
horizon_24,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_20_lr_1e-05_2024_log,9,0.2267843782901764
horizon_3,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_20_lr_1e-05_2020_log,6,0.1020279412086193
horizon_3,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_20_lr_1e-05_2021_log,9,0.10025672098765
horizon_3,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_20_lr_1e-05_2022_log,7,0.0736523539974139
horizon_3,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_20_lr_1e-05_2023_log,7,0.0858137432772379
horizon_3,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_20_lr_1e-05_2024_log,11,0.122269859107641
horizon_6,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_20_lr_1e-05_2020_log,7,0.1412810133053706
horizon_6,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_20_lr_1e-05_2021_log,11,0.1482182517647743
horizon_6,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_20_lr_1e-05_2022_log,10,0.1014953800118886
horizon_6,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_20_lr_1e-05_2023_log,6,0.1070129773937738
horizon_6,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_20_lr_1e-05_2024_log,8,0.1473451336989036
