Learner,selections,avg_weight,percentage,horizon,state,year,experiment
Chronos,1320,0.48500906658838644,24.40828402366864,horizon_12,excluding_sp,2020,model_topk_2_norm_minmax_noise_True_ep_50_lr_0.001_2020_log
Moirai,1047,0.4582455862151617,19.360207100591715,horizon_12,excluding_sp,2020,model_topk_2_norm_minmax_noise_True_ep_50_lr_0.001_2020_log
Time-MoE,842,0.5580928429071913,15.569526627218934,horizon_12,excluding_sp,2020,model_topk_2_norm_minmax_noise_True_ep_50_lr_0.001_2020_log
Timer,1031,0.508532720505035,19.064349112426036,horizon_12,excluding_sp,2020,model_topk_2_norm_minmax_noise_True_ep_50_lr_0.001_2020_log
TimesFM,1168,0.504960185109019,21.597633136094675,horizon_12,excluding_sp,2020,model_topk_2_norm_minmax_noise_True_ep_50_lr_0.001_2020_log
Chronos,2881,0.5034862131797455,23.084935897435898,horizon_12,excluding_sp,2021,model_topk_2_norm_minmax_noise_True_ep_50_lr_0.001_2021_log
Moirai,2083,0.4228997543372909,16.690705128205128,horizon_12,excluding_sp,2021,model_topk_2_norm_minmax_noise_True_ep_50_lr_0.001_2021_log
Time-MoE,1874,0.5852778388556041,15.01602564102564,horizon_12,excluding_sp,2021,model_topk_2_norm_minmax_noise_True_ep_50_lr_0.001_2021_log
Timer,2565,0.44330860740681255,20.552884615384617,horizon_12,excluding_sp,2021,model_topk_2_norm_minmax_noise_True_ep_50_lr_0.001_2021_log
TimesFM,3077,0.5442504973196494,24.65544871794872,horizon_12,excluding_sp,2021,model_topk_2_norm_minmax_noise_True_ep_50_lr_0.001_2021_log
Chronos,1206,0.44283358947834184,18.118990384615383,horizon_12,excluding_sp,2022,model_topk_2_norm_minmax_noise_True_ep_50_lr_0.001_2022_log
Moirai,1557,0.5010847305859856,23.392427884615383,horizon_12,excluding_sp,2022,model_topk_2_norm_minmax_noise_True_ep_50_lr_0.001_2022_log
Time-MoE,1053,0.5512913179071752,15.8203125,horizon_12,excluding_sp,2022,model_topk_2_norm_minmax_noise_True_ep_50_lr_0.001_2022_log
Timer,1344,0.45498105109852205,20.192307692307693,horizon_12,excluding_sp,2022,model_topk_2_norm_minmax_noise_True_ep_50_lr_0.001_2022_log
TimesFM,1496,0.5492977784177099,22.47596153846154,horizon_12,excluding_sp,2022,model_topk_2_norm_minmax_noise_True_ep_50_lr_0.001_2022_log
Chronos,2293,0.5749202539654497,22.048076923076923,horizon_12,excluding_sp,2023,model_topk_2_norm_minmax_noise_True_ep_50_lr_0.001_2023_log
Moirai,2007,0.5021517921984381,19.298076923076923,horizon_12,excluding_sp,2023,model_topk_2_norm_minmax_noise_True_ep_50_lr_0.001_2023_log
Time-MoE,1682,0.47855752744566865,16.173076923076923,horizon_12,excluding_sp,2023,model_topk_2_norm_minmax_noise_True_ep_50_lr_0.001_2023_log
Timer,2237,0.45584504484254357,21.509615384615383,horizon_12,excluding_sp,2023,model_topk_2_norm_minmax_noise_True_ep_50_lr_0.001_2023_log
