horizon,state,year,experiment,num_epochs,min_loss
horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2020_log,32,0.1584076743859511
horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2021_log,21,0.253343804524495
horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2022_log,41,0.1722236046424279
horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2023_log,57,0.1240708776391469
horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2024_log,35,0.1418230367394594
horizon_24,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2020_log,53,0.2152982147840353
horizon_24,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2021_log,30,0.1695059423263256
horizon_24,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2022_log,43,0.2454646951877153
horizon_24,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2023_log,32,0.2411776930093765
horizon_24,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2024_log,17,0.1600824628884975
horizon_3,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2020_log,44,0.0840292441157194
horizon_3,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2021_log,18,0.0848442055284977
horizon_3,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2022_log,12,0.0647444896973096
horizon_3,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2023_log,30,0.0698340088129043
horizon_3,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2024_log,24,0.0959226128000479
horizon_6,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2020_log,15,0.1256567354385669
horizon_6,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2021_log,43,0.1257997074952492
horizon_6,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2022_log,17,0.0860118802923422
horizon_6,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2023_log,30,0.0853839212885269
horizon_6,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_80_lr_0.001_2024_log,30,0.1153898353760059
