Learner,selections,avg_weight,percentage,horizon,state,year,experiment
Chronos,1217,0.4841904287795087,19.503205128205128,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2020_log
Moirai,1292,0.5057457889842544,20.705128205128204,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2020_log
Time-MoE,1103,0.48659669507230724,17.67628205128205,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2020_log
Timer,1295,0.5132427787832542,20.753205128205128,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2020_log
TimesFM,1333,0.5070901237433778,21.362179487179485,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2020_log
Chronos,1490,0.473603592813015,19.898504273504273,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2021_log
Moirai,1485,0.5155167589735503,19.83173076923077,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2021_log
Time-MoE,1437,0.5054769232018839,19.190705128205128,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2021_log
Timer,1459,0.47587946166856965,19.48450854700855,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2021_log
TimesFM,1617,0.5269695651903518,21.59455128205128,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2021_log
Chronos,922,0.5327912777916826,20.1486013986014,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2022_log
Moirai,919,0.4541047938468018,20.083041958041957,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2022_log
Time-MoE,885,0.506994885968118,19.340034965034967,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2022_log
Timer,891,0.4953825431410746,19.471153846153847,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2022_log
TimesFM,959,0.5102896933697312,20.957167832167833,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2022_log
Chronos,484,0.5140412945015556,19.391025641025642,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2023_log
Moirai,494,0.4758866997699627,19.791666666666668,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2023_log
Time-MoE,509,0.5001825154969407,20.392628205128204,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2023_log
Timer,506,0.4900502129476297,20.272435897435898,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2023_log
TimesFM,503,0.519995380704019,20.15224358974359,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2023_log
Chronos,504,0.502086500748105,20.192307692307693,horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2024_log
Moirai,488,0.48907285757729263,19.55128205128205,horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2024_log
Time-MoE,511,0.5370066064736148,20.47275641025641,horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2024_log
Timer,487,0.47862372935980985,19.51121794871795,horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2024_log
TimesFM,506,0.49166149496590433,20.272435897435898,horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2024_log
Chronos,509,0.5016995571802547,20.392628205128204,horizon_24,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2020_log
Moirai,494,0.4887243816817579,19.791666666666668,horizon_24,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2020_log
Time-MoE,500,0.49163547378778455,20.03205128205128,horizon_24,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2020_log
Timer,512,0.5007204516296042,20.512820512820515,horizon_24,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2020_log
TimesFM,481,0.5177099238500278,19.270833333333332,horizon_24,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2020_log
Chronos,1023,0.49626051241264313,20.49278846153846,horizon_24,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2021_log
Moirai,971,0.5006519444785574,19.451121794871796,horizon_24,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2021_log
Time-MoE,950,0.5105040285697109,19.03044871794872,horizon_24,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2021_log
Timer,1013,0.4881693193907799,20.29246794871795,horizon_24,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2021_log
TimesFM,1035,0.5050223308052993,20.733173076923077,horizon_24,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2021_log
Chronos,564,0.481547993208209,19.36813186813187,horizon_24,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2022_log
Moirai,563,0.47525932987883923,19.333791208791208,horizon_24,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2022_log
Time-MoE,579,0.48728463631477176,19.88324175824176,horizon_24,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2022_log
Timer,595,0.524534946226147,20.432692307692307,horizon_24,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2022_log
TimesFM,611,0.5279866311967422,20.982142857142858,horizon_24,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2022_log
Chronos,1229,0.47083243847111556,19.69551282051282,horizon_24,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2023_log
Moirai,1317,0.5095621221299278,21.10576923076923,horizon_24,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2023_log
Time-MoE,1190,0.5048291727399625,19.07051282051282,horizon_24,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2023_log
Timer,1192,0.4857056384512392,19.102564102564102,horizon_24,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2023_log
TimesFM,1312,0.5263306246672916,21.025641025641026,horizon_24,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2023_log
Chronos,542,0.50791270052155,21.71474358974359,horizon_24,excluding_sp,2024,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2024_log
Moirai,480,0.4788619233838593,19.23076923076923,horizon_24,excluding_sp,2024,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2024_log
Time-MoE,509,0.49100988055259165,20.392628205128204,horizon_24,excluding_sp,2024,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2024_log
Timer,468,0.49298336275686055,18.75,horizon_24,excluding_sp,2024,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2024_log
TimesFM,497,0.5276003009011928,19.911858974358974,horizon_24,excluding_sp,2024,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2024_log
Chronos,925,0.5233749740107639,20.21416083916084,horizon_3,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2020_log
Moirai,877,0.49962571106995524,19.16520979020979,horizon_3,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2020_log
Time-MoE,915,0.5278562889073064,19.99562937062937,horizon_3,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2020_log
Timer,934,0.45873819360194423,20.41083916083916,horizon_3,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2020_log
TimesFM,925,0.49108802632705584,20.21416083916084,horizon_3,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2020_log
Chronos,1339,0.5098351108757438,20.1171875,horizon_3,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2021_log
Moirai,1338,0.4949333676984826,20.10216346153846,horizon_3,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2021_log
Time-MoE,1352,0.5235886713021474,20.3125,horizon_3,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2021_log
Timer,1273,0.4754758964600707,19.12560096153846,horizon_3,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2021_log
TimesFM,1354,0.4947837798758527,20.342548076923077,horizon_3,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2021_log
Chronos,738,0.5153959667951191,19.71153846153846,horizon_3,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2022_log
Moirai,735,0.4970727197825909,19.631410256410255,horizon_3,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2022_log
Time-MoE,748,0.5073955852418819,19.978632478632477,horizon_3,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2022_log
Timer,748,0.4815038611245825,19.978632478632477,horizon_3,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2022_log
TimesFM,775,0.4988290851154635,20.699786324786324,horizon_3,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2022_log
Chronos,908,0.494967579152353,19.842657342657343,horizon_3,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2023_log
Moirai,968,0.5190223365067697,21.153846153846153,horizon_3,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2023_log
Time-MoE,895,0.5077773881441388,19.558566433566433,horizon_3,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2023_log
Timer,857,0.4734663902809072,18.728146853146853,horizon_3,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2023_log
TimesFM,948,0.5020404578449857,20.716783216783217,horizon_3,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2023_log
Chronos,485,0.4940727685683781,19.431089743589745,horizon_3,excluding_sp,2024,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2024_log
Moirai,510,0.5233423633464411,20.432692307692307,horizon_3,excluding_sp,2024,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2024_log
Time-MoE,484,0.4985001358272862,19.391025641025642,horizon_3,excluding_sp,2024,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2024_log
Timer,490,0.4958563149583583,19.631410256410255,horizon_3,excluding_sp,2024,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2024_log
TimesFM,527,0.48809571971363996,21.11378205128205,horizon_3,excluding_sp,2024,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2024_log
Chronos,709,0.542893538448555,21.30408653846154,horizon_6,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2020_log
Moirai,670,0.49139150101691487,20.13221153846154,horizon_6,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2020_log
Time-MoE,674,0.4761945172282107,20.252403846153847,horizon_6,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2020_log
Timer,606,0.46928023353139114,18.209134615384617,horizon_6,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2020_log
TimesFM,669,0.5149734694349214,20.10216346153846,horizon_6,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2020_log
Chronos,906,0.5127724187066224,19.79895104895105,horizon_6,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2021_log
Moirai,916,0.4791138910131293,20.017482517482517,horizon_6,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2021_log
Time-MoE,923,0.4960962160352218,20.170454545454547,horizon_6,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2021_log
Timer,932,0.49191002337893575,20.367132867132867,horizon_6,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2021_log
TimesFM,899,0.5208041335915001,19.64597902097902,horizon_6,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2021_log
Chronos,801,0.5132600658860397,19.254807692307693,horizon_6,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2022_log
Moirai,803,0.5030377169289298,19.302884615384617,horizon_6,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2022_log
Time-MoE,838,0.5095160063711798,20.14423076923077,horizon_6,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2022_log
Timer,838,0.4803997545296366,20.14423076923077,horizon_6,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2022_log
TimesFM,880,0.4947613560213623,21.153846153846153,horizon_6,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2022_log
Chronos,508,0.5063466282788752,20.352564102564102,horizon_6,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2023_log
Moirai,488,0.4859413958963801,19.55128205128205,horizon_6,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2023_log
Time-MoE,504,0.5376160407645835,20.192307692307693,horizon_6,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_50_lr_1e-05_2023_log
