Learner,selections,avg_weight,percentage,horizon,state,year,experiment
Chronos,861,0.4811438560468533,22.996794871794872,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_80_lr_0.0001_2020_log
Moirai,720,0.5025206357758079,19.23076923076923,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_80_lr_0.0001_2020_log
Time-MoE,571,0.5058614169027258,15.251068376068377,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_80_lr_0.0001_2020_log
Timer,798,0.5155628699071724,21.314102564102566,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_80_lr_0.0001_2020_log
TimesFM,794,0.4983050894902395,21.207264957264957,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_80_lr_0.0001_2020_log
Chronos,1411,0.4783277799376015,24.227335164835164,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_80_lr_0.0001_2021_log
Moirai,1045,0.5072042154495796,17.942994505494507,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_80_lr_0.0001_2021_log
Time-MoE,926,0.5214123486925407,15.899725274725276,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_80_lr_0.0001_2021_log
Timer,1158,0.4687620642126919,19.88324175824176,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_80_lr_0.0001_2021_log
TimesFM,1284,0.5306828581057838,22.046703296703296,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_80_lr_0.0001_2021_log
Chronos,1166,0.5239603377632657,21.560650887573964,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_80_lr_0.0001_2022_log
Moirai,1097,0.47297810777383387,20.284763313609467,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_80_lr_0.0001_2022_log
Time-MoE,843,0.5186757221486539,15.58801775147929,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_80_lr_0.0001_2022_log
Timer,1213,0.4846618622694985,22.42973372781065,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_80_lr_0.0001_2022_log
TimesFM,1089,0.5041935630775544,20.136834319526628,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_80_lr_0.0001_2022_log
Chronos,522,0.5100383262160695,20.91346153846154,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_80_lr_0.0001_2023_log
