Sample,Learner,Weight
Sample 0,Time-MoE,0.5
Sample 0,Moirai,0.5
Sample 1,Time-MoE,0.5
Sample 1,Moirai,0.5
Sample 2,Time-MoE,0.5
Sample 2,Moirai,0.5
Sample 3,Time-MoE,0.5
Sample 3,Moirai,0.5
Sample 4,Time-MoE,0.5
Sample 4,Moirai,0.5
Sample 5,Time-MoE,0.5
Sample 5,Moirai,0.5
Sample 6,Time-MoE,0.5
Sample 6,Moirai,0.5
Sample 7,Time-MoE,0.5
Sample 7,Moirai,0.5
Sample 8,Time-MoE,0.5
Sample 8,Moirai,0.5
Sample 9,Time-MoE,0.5
Sample 9,Moirai,0.5
Sample 10,Time-MoE,0.5
Sample 10,Moirai,0.5
Sample 11,Time-MoE,0.5
Sample 11,Moirai,0.5
Sample 12,Time-MoE,0.5
Sample 12,Moirai,0.5
Sample 13,Time-MoE,0.5
Sample 13,Moirai,0.5
Sample 14,Time-MoE,0.5
Sample 14,Moirai,0.5
Sample 15,Time-MoE,0.5
Sample 15,Moirai,0.5
Sample 16,Time-MoE,0.5
Sample 16,Moirai,0.5
Sample 17,Time-MoE,0.5
Sample 17,Moirai,0.5
Sample 18,Time-MoE,0.5
Sample 18,Moirai,0.5
Sample 19,Time-MoE,0.5
Sample 19,Moirai,0.5
Sample 20,Time-MoE,0.5
Sample 20,Moirai,0.5
Sample 21,Time-MoE,0.5
Sample 21,Moirai,0.5
Sample 22,Time-MoE,0.5
Sample 22,Moirai,0.5
Sample 23,Time-MoE,0.5
Sample 23,Moirai,0.5
Sample 24,Time-MoE,0.5
Sample 24,Moirai,0.5
Sample 25,Time-MoE,0.5
Sample 25,Moirai,0.5
Sample 26,Time-MoE,0.5
Sample 26,Moirai,0.5
Sample 27,Time-MoE,0.5
Sample 27,Moirai,0.5
Sample 28,Time-MoE,0.5
Sample 28,Moirai,0.5
Sample 29,Time-MoE,0.5
Sample 29,Moirai,0.5
Sample 30,Time-MoE,0.5
Sample 30,Moirai,0.5
Sample 31,Time-MoE,0.5
Sample 31,Moirai,0.5
Sample 0,Time-MoE,0.5041065812110901
Sample 0,TimesFM,0.49589335918426514
Sample 1,Moirai,0.5007939338684082
Sample 1,TimesFM,0.4992060661315918
Sample 2,Timer,0.5
Sample 2,TimesFM,0.5
Sample 3,Moirai,0.500145673751831
Sample 3,TimesFM,0.49985432624816895
Sample 4,Time-MoE,0.5008589625358582
Sample 4,TimesFM,0.49914103746414185
Sample 5,Moirai,0.5010900497436523
Sample 5,TimesFM,0.49890995025634766
Sample 6,Timer,0.5
Sample 6,TimesFM,0.5
Sample 7,Time-MoE,0.5058214068412781
Sample 7,TimesFM,0.4941786229610443
Sample 8,Timer,0.5
Sample 8,TimesFM,0.5
Sample 9,Moirai,0.500887393951416
Sample 9,TimesFM,0.499112606048584
Sample 10,Moirai,0.5000369548797607
Sample 10,TimesFM,0.49996307492256165
Sample 11,Timer,0.5
Sample 11,TimesFM,0.5
Sample 12,Timer,0.5
Sample 12,TimesFM,0.5
Sample 13,Moirai,0.500927209854126
Sample 13,TimesFM,0.499072790145874
Sample 14,Moirai,0.5003228187561035
Sample 14,TimesFM,0.4996771812438965
Sample 15,Time-MoE,0.5029252171516418
Sample 15,TimesFM,0.4970747232437134
Sample 16,Timer,0.5
Sample 16,TimesFM,0.5
Sample 17,Moirai,0.5007846355438232
Sample 17,TimesFM,0.49921536445617676
Sample 18,Timer,0.5
Sample 18,TimesFM,0.5
Sample 19,Moirai,0.5003180503845215
Sample 19,TimesFM,0.4996819496154785
Sample 20,Moirai,0.500948429107666
Sample 20,TimesFM,0.499051570892334
Sample 21,Moirai,0.5008525848388672
Sample 21,TimesFM,0.4991474151611328
Sample 22,Timer,0.5
Sample 22,TimesFM,0.5
Sample 23,Time-MoE,0.508017897605896
Sample 23,TimesFM,0.4919821321964264
Sample 24,Timer,0.5
Sample 24,TimesFM,0.5
Sample 25,Moirai,0.5007376670837402
Sample 25,TimesFM,0.49926236271858215
Sample 26,Moirai,0.5006191730499268
Sample 26,TimesFM,0.49938079714775085
Sample 27,Moirai,0.5011382102966309
Sample 27,TimesFM,0.49886178970336914
Sample 28,Time-MoE,0.5061068534851074
Sample 28,TimesFM,0.4938931167125702
Sample 29,Moirai,0.5011129379272461
Sample 29,TimesFM,0.4988870620727539
Sample 30,Moirai,0.5005435943603516
Sample 30,TimesFM,0.49945640563964844
