Sample,Learner,Weight
Sample 0,Timer,0.5237796902656555
Sample 0,Chronos,0.47622033953666687
Sample 1,TimesFM,0.5453031063079834
Sample 1,Time-MoE,0.4546968936920166
Sample 2,Time-MoE,0.7472454905509949
Sample 2,Chronos,0.25275444984436035
Sample 3,Chronos,0.510777473449707
Sample 3,Moirai,0.4892224967479706
Sample 4,Chronos,0.647963285446167
Sample 4,TimesFM,0.352036714553833
Sample 5,Time-MoE,0.7401131391525269
Sample 5,TimesFM,0.25988686084747314
Sample 6,Moirai,0.7852820158004761
Sample 6,Timer,0.21471799910068512
Sample 7,Chronos,0.5374118685722351
Sample 7,Timer,0.4625881612300873
Sample 8,TimesFM,0.7001991271972656
Sample 8,Time-MoE,0.29980090260505676
Sample 9,Moirai,0.5999664664268494
Sample 9,Chronos,0.40003353357315063
Sample 10,TimesFM,0.7221206426620483
Sample 10,Moirai,0.27787941694259644
Sample 11,Chronos,0.6761047840118408
Sample 11,Moirai,0.3238951861858368
Sample 12,Moirai,0.5061287879943848
Sample 12,TimesFM,0.4938712418079376
Sample 13,Time-MoE,0.6477453708648682
Sample 13,Chronos,0.35225459933280945
Sample 14,Chronos,0.51151043176651
Sample 14,Moirai,0.48848962783813477
Sample 15,Time-MoE,0.500687301158905
Sample 15,Timer,0.49931269884109497
Sample 16,Time-MoE,0.6205393075942993
Sample 16,Timer,0.37946072220802307
Sample 17,Moirai,0.7443689703941345
Sample 17,TimesFM,0.25563105940818787
Sample 18,Time-MoE,0.6900687217712402
Sample 18,Timer,0.30993127822875977
Sample 19,Time-MoE,0.5780846476554871
Sample 19,Timer,0.4219153821468353
Sample 20,Timer,0.7155240774154663
Sample 20,TimesFM,0.2844759225845337
Sample 21,Time-MoE,0.5071139931678772
Sample 21,Timer,0.492885947227478
Sample 22,TimesFM,0.5560225248336792
Sample 22,Chronos,0.4439774751663208
Sample 23,Timer,0.6872377991676331
Sample 23,Chronos,0.31276223063468933
Sample 24,Moirai,0.5764876008033752
Sample 24,TimesFM,0.42351236939430237
Sample 25,TimesFM,0.5026029348373413
Sample 25,Moirai,0.4973970353603363
Sample 26,Time-MoE,0.8316154479980469
Sample 26,Timer,0.16838452219963074
Sample 27,Time-MoE,0.5610662698745728
