Sample,Learner,Weight
Sample 0,Timer,0.5489686727523804
Sample 0,Chronos,0.45103132724761963
Sample 1,Chronos,0.5306065678596497
Sample 1,Moirai,0.46939343214035034
Sample 2,Time-MoE,0.6874572038650513
Sample 2,Chronos,0.31254279613494873
Sample 3,Timer,0.6567452549934387
Sample 3,TimesFM,0.3432547152042389
Sample 4,Chronos,0.584149956703186
Sample 4,Moirai,0.4158500134944916
Sample 5,Time-MoE,0.659339427947998
Sample 5,TimesFM,0.34066057205200195
Sample 6,Moirai,0.7647461891174316
Sample 6,Time-MoE,0.23525379598140717
Sample 7,Chronos,0.8608629107475281
Sample 7,Timer,0.1391371190547943
Sample 8,TimesFM,0.6633921265602112
Sample 8,Time-MoE,0.33660784363746643
Sample 9,Moirai,0.5889200568199158
Sample 9,Chronos,0.41107994318008423
Sample 10,TimesFM,0.5630934238433838
Sample 10,Moirai,0.43690651655197144
Sample 11,Chronos,0.5581187009811401
Sample 11,Moirai,0.44188129901885986
Sample 12,TimesFM,0.5717801451683044
Sample 12,Moirai,0.42821982502937317
Sample 13,Time-MoE,0.6629946827888489
Sample 13,Chronos,0.3370053172111511
Sample 14,Moirai,0.5096556544303894
Sample 14,Chronos,0.490344375371933
Sample 15,Time-MoE,0.5742900967597961
Sample 15,Timer,0.42570990324020386
Sample 16,Time-MoE,0.6867625117301941
Sample 16,Timer,0.31323742866516113
Sample 17,Moirai,0.5891190767288208
Sample 17,Timer,0.4108809530735016
Sample 18,Time-MoE,0.547386646270752
Sample 18,Chronos,0.45261338353157043
Sample 19,Time-MoE,0.5262381434440613
Sample 19,Chronos,0.47376179695129395
Sample 20,Timer,0.647430419921875
Sample 20,TimesFM,0.3525695502758026
Sample 21,Timer,0.5153342485427856
Sample 21,Time-MoE,0.48466575145721436
Sample 22,TimesFM,0.7941509485244751
Sample 22,Chronos,0.20584902167320251
Sample 23,Timer,0.6446473598480225
Sample 23,Chronos,0.3553526699542999
Sample 24,Moirai,0.6606581807136536
Sample 24,TimesFM,0.33934178948402405
Sample 25,Moirai,0.5285669565200806
Sample 25,Time-MoE,0.47143301367759705
Sample 26,Time-MoE,0.5641276836395264
Sample 26,Timer,0.43587228655815125
Sample 27,Time-MoE,0.5967645049095154
Sample 27,Timer,0.403235524892807
Sample 28,TimesFM,0.5144572854042053
Sample 28,Moirai,0.48554274439811707
Sample 29,TimesFM,0.8719303011894226
Sample 29,Moirai,0.12806972861289978
Sample 30,Time-MoE,0.5149862766265869
Sample 30,TimesFM,0.4850137233734131
Sample 31,Time-MoE,0.5332590341567993
Sample 31,TimesFM,0.46674102544784546
Sample 0,Timer,0.6393978595733643
Sample 0,Moirai,0.36060214042663574
Sample 1,Time-MoE,0.5963361263275146
Sample 1,Moirai,0.40366387367248535
Sample 2,TimesFM,0.5188566446304321
Sample 2,Chronos,0.48114335536956787
Sample 3,Chronos,0.5044745206832886
Sample 3,TimesFM,0.4955255091190338
Sample 4,Chronos,0.6969078779220581
Sample 4,Timer,0.3030920624732971
Sample 5,Chronos,0.5859086513519287
Sample 5,Timer,0.4140913188457489
Sample 6,Time-MoE,0.62796550989151
Sample 6,Timer,0.37203449010849
Sample 7,Chronos,0.6724072098731995
Sample 7,Time-MoE,0.3275928497314453
Sample 8,Timer,0.6329794526100159
Sample 8,Moirai,0.36702051758766174
Sample 9,TimesFM,0.5192671418190002
Sample 9,Chronos,0.48073285818099976
Sample 10,Moirai,0.6724605560302734
Sample 10,Chronos,0.32753947377204895
Sample 11,Moirai,0.6378276944160461
Sample 11,TimesFM,0.3621722459793091
Sample 12,Time-MoE,0.5274032950401306
Sample 12,Moirai,0.4725967347621918
Sample 13,TimesFM,0.7451156973838806
Sample 13,Chronos,0.2548843324184418
Sample 14,TimesFM,0.7076413035392761
Sample 14,Moirai,0.2923586666584015
Sample 15,Moirai,0.6069032549858093
Sample 15,TimesFM,0.39309677481651306
Sample 16,Moirai,0.6651991009712219
Sample 16,Chronos,0.33480092883110046
Sample 17,Timer,0.5164858102798462
Sample 17,Moirai,0.4835141599178314
Sample 18,Moirai,0.6303343772888184
Sample 18,TimesFM,0.36966562271118164
Sample 19,Chronos,0.6250818371772766
Sample 19,Time-MoE,0.374918133020401
Sample 20,Moirai,0.5448775887489319
Sample 20,TimesFM,0.4551224410533905
Sample 21,Chronos,0.5797330141067505
Sample 21,TimesFM,0.4202669858932495
Sample 22,Time-MoE,0.7348666787147522
Sample 22,TimesFM,0.2651333212852478
Sample 23,Moirai,0.5937889814376831
Sample 23,Timer,0.4062110483646393
Sample 24,Time-MoE,0.7661315202713013
Sample 24,TimesFM,0.23386847972869873
Sample 25,TimesFM,0.593533992767334
Sample 25,Timer,0.4064660668373108
Sample 26,Timer,0.5768359303474426
Sample 26,Chronos,0.423164039850235
Sample 27,Chronos,0.6454132199287415
Sample 27,Moirai,0.35458678007125854
Sample 28,Time-MoE,0.574346125125885
Sample 28,TimesFM,0.4256538450717926
Sample 29,Time-MoE,0.6042113900184631
Sample 29,Timer,0.39578860998153687
Sample 30,Timer,0.5457049608230591
Sample 30,Moirai,0.4542950987815857
Sample 31,TimesFM,0.5245983600616455
Sample 31,Chronos,0.4754016697406769
Sample 0,Time-MoE,0.5265107154846191
Sample 0,Chronos,0.47348931431770325
Sample 1,Timer,0.7589459419250488
Sample 1,Chronos,0.24105405807495117
Sample 2,Chronos,0.5177794098854065
Sample 2,Moirai,0.4822205901145935
Sample 3,Timer,0.5737988948822021
Sample 3,Chronos,0.42620110511779785
Sample 4,TimesFM,0.5388419032096863
Sample 4,Time-MoE,0.4611581265926361
Sample 5,TimesFM,0.6344759464263916
Sample 5,Time-MoE,0.3655241131782532
Sample 6,Moirai,0.5083202719688416
Sample 6,Timer,0.49167969822883606
Sample 7,Time-MoE,0.5464559197425842
Sample 7,Moirai,0.453544020652771
Sample 8,Chronos,0.682302713394165
Sample 8,Moirai,0.31769731640815735
Sample 9,TimesFM,0.5140329003334045
Sample 9,Timer,0.48596712946891785
Sample 10,Time-MoE,0.5200231075286865
Sample 10,Timer,0.4799768626689911
Sample 11,Moirai,0.6136419177055359
Sample 11,Timer,0.3863581120967865
Sample 12,Moirai,0.6914277672767639
Sample 12,Time-MoE,0.3085721731185913
Sample 13,Moirai,0.6807747483253479
Sample 13,Time-MoE,0.3192252516746521
Sample 14,Moirai,0.559982419013977
Sample 14,Chronos,0.44001761078834534
Sample 15,Time-MoE,0.5991179943084717
Sample 15,Moirai,0.4008820056915283
Sample 16,Chronos,0.5496206283569336
Sample 16,Moirai,0.450379341840744
Sample 17,TimesFM,0.707335352897644
Sample 17,Time-MoE,0.29266470670700073
Sample 18,Chronos,0.6210227608680725
Sample 18,Timer,0.3789772093296051
Sample 19,Chronos,0.5230681300163269
Sample 19,Moirai,0.4769318699836731
Sample 20,Time-MoE,0.6148421168327332
Sample 20,TimesFM,0.38515785336494446
Sample 21,Timer,0.9494194388389587
Sample 21,Time-MoE,0.05058056861162186
Sample 22,Time-MoE,0.5169041156768799
Sample 22,Moirai,0.4830959141254425
Sample 23,Moirai,0.6011810302734375
Sample 23,Timer,0.3988189995288849
Sample 24,Time-MoE,0.7118414640426636
Sample 24,Chronos,0.2881585359573364
Sample 25,Timer,0.7607847452163696
Sample 25,Chronos,0.23921523988246918
Sample 26,TimesFM,0.7898789048194885
Sample 26,Time-MoE,0.21012109518051147
Sample 27,Moirai,0.5159249901771545
Sample 27,Chronos,0.48407500982284546
Sample 28,Moirai,0.756342351436615
Sample 28,Time-MoE,0.2436576634645462
Sample 29,Time-MoE,0.6386613845825195
Sample 29,Chronos,0.36133864521980286
Sample 30,Timer,0.6632074117660522
Sample 30,Moirai,0.33679255843162537
Sample 31,TimesFM,0.6009283661842346
Sample 31,Moirai,0.39907166361808777
Sample 0,Time-MoE,0.8707674741744995
