Ranking,Experimento,Score_Medio_MyMoE,Horizonte,Max_Epocas,Max_Ultima_Loss,Max_Ano,Min_Epocas,Min_Ultima_Loss,Min_Ano,Media_Epocas,Prob_MyMoE_vs_Time-MoE,Prob_MyMoE_vs_Timer,Prob_MyMoE_vs_TimesFM,Prob_MyMoE_vs_Morai,Prob_MyMoE_vs_Chronos
1,model_topk_2_norm_minmax_noise_True_ep_50_lr_0.001,0.48609363834567726,horizon_12,32,0.1414246272582274,2024,13,0.1628519434195298,2020,23.2,0.44848139646357776,0.5773511362193188,0.32017831079898046,0.7442162259097718,0.340241122336738
1,model_topk_2_norm_minmax_noise_True_ep_50_lr_0.001,0.48609363834567726,horizon_24,34,0.2219141033979562,2020,14,0.172325085562009,2024,25.6,0.44848139646357776,0.5773511362193188,0.32017831079898046,0.7442162259097718,0.340241122336738
1,model_topk_2_norm_minmax_noise_True_ep_50_lr_0.001,0.48609363834567726,horizon_3,36,0.0631214569394405,2022,17,0.09719074345552,2024,26.2,0.44848139646357776,0.5773511362193188,0.32017831079898046,0.7442162259097718,0.340241122336738
1,model_topk_2_norm_minmax_noise_True_ep_50_lr_0.001,0.48609363834567726,horizon_6,21,0.1265131561801983,2020,10,0.1355515494942665,2021,17.6,0.44848139646357776,0.5773511362193188,0.32017831079898046,0.7442162259097718,0.340241122336738
2,model_topk_2_norm_minmax_noise_True_ep_20_lr_0.001,0.48367339762528616,horizon_12,20,0.2576479590856112,2021,13,0.1628519434195298,2020,17.8,0.42882479452136796,0.5649645357263288,0.3096655802117097,0.7645893990872075,0.35032267857981686
2,model_topk_2_norm_minmax_noise_True_ep_20_lr_0.001,0.48367339762528616,horizon_24,20,0.2329808221413539,2020,14,0.172325085562009,2024,18.8,0.42882479452136796,0.5649645357263288,0.3096655802117097,0.7645893990872075,0.35032267857981686
2,model_topk_2_norm_minmax_noise_True_ep_20_lr_0.001,0.48367339762528616,horizon_3,20,0.0865914924786641,2020,17,0.09719074345552,2024,19.4,0.42882479452136796,0.5649645357263288,0.3096655802117097,0.7645893990872075,0.35032267857981686
2,model_topk_2_norm_minmax_noise_True_ep_20_lr_0.001,0.48367339762528616,horizon_6,20,0.1265131561801983,2020,10,0.1355515494942665,2021,17.4,0.42882479452136796,0.5649645357263288,0.3096655802117097,0.7645893990872075,0.35032267857981686
3,model_topk_2_norm_minmax_noise_True_ep_20_lr_0.0001,0.4781437537121177,horizon_12,20,0.152572472508137,2024,6,0.1430627485880485,2023,12.4,0.4482037653022765,0.5764160067181405,0.31080082951805127,0.754142329793183,0.3011558372289373
3,model_topk_2_norm_minmax_noise_True_ep_20_lr_0.0001,0.4781437537121177,horizon_24,20,0.2551093651698186,2020,8,0.2025014930046521,2021,14.8,0.4482037653022765,0.5764160067181405,0.31080082951805127,0.754142329793183,0.3011558372289373
3,model_topk_2_norm_minmax_noise_True_ep_20_lr_0.0001,0.4781437537121177,horizon_3,20,0.0922714408773642,2020,12,0.0829070198994416,2023,18.0,0.4482037653022765,0.5764160067181405,0.31080082951805127,0.754142329793183,0.3011558372289373
3,model_topk_2_norm_minmax_noise_True_ep_20_lr_0.0001,0.4781437537121177,horizon_6,20,0.1269087946185698,2024,7,0.1001458076330331,2022,12.4,0.4482037653022765,0.5764160067181405,0.31080082951805127,0.754142329793183,0.3011558372289373
4,model_topk_2_norm_minmax_noise_True_ep_20_lr_1e-05,0.47770904733554265,horizon_12,18,0.2734882350151355,2021,6,0.1449249856747113,2023,11.2,0.46732841205954917,0.537000133965733,0.3200645176875093,0.7244015567155304,0.339750616249391
4,model_topk_2_norm_minmax_noise_True_ep_20_lr_1e-05,0.47770904733554265,horizon_24,15,0.2741145331125993,2023,6,0.3241682946681976,2020,9.2,0.46732841205954917,0.537000133965733,0.3200645176875093,0.7244015567155304,0.339750616249391
4,model_topk_2_norm_minmax_noise_True_ep_20_lr_1e-05,0.47770904733554265,horizon_3,16,0.0984582602977752,2021,6,0.1244470052994214,2024,10.6,0.46732841205954917,0.537000133965733,0.3200645176875093,0.7244015567155304,0.339750616249391
4,model_topk_2_norm_minmax_noise_True_ep_20_lr_1e-05,0.47770904733554265,horizon_6,11,0.1464239381826841,2021,6,0.1026829733298375,2023,8.6,0.46732841205954917,0.537000133965733,0.3200645176875093,0.7244015567155304,0.339750616249391
5,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05,0.476119301787168,horizon_12,18,0.2734882350151355,2021,6,0.1449249856747113,2023,11.2,0.46952763937144765,0.5366021315417817,0.329828597987736,0.7248438037817642,0.3197943362531104
5,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05,0.476119301787168,horizon_24,15,0.2741145331125993,2023,6,0.3241682946681976,2020,9.2,0.46952763937144765,0.5366021315417817,0.329828597987736,0.7248438037817642,0.3197943362531104
5,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05,0.476119301787168,horizon_3,16,0.0984582602977752,2021,6,0.1244470052994214,2024,10.6,0.46952763937144765,0.5366021315417817,0.329828597987736,0.7248438037817642,0.3197943362531104
5,model_topk_2_norm_std_noise_True_ep_20_lr_1e-05,0.476119301787168,horizon_6,11,0.1464239381826841,2021,6,0.1026829733298375,2023,8.6,0.46952763937144765,0.5366021315417817,0.329828597987736,0.7248438037817642,0.3197943362531104
