Ranking,Experimento,Score_Medio_MyMoE,Horizonte,Max_Epocas,Max_Ultima_Loss,Max_Ano,Min_Epocas,Min_Ultima_Loss,Min_Ano,Media_Epocas,Prob_MyMoE_vs_Time-MoE,Prob_MyMoE_vs_Timer,Prob_MyMoE_vs_TimesFM,Prob_MyMoE_vs_Morai,Prob_MyMoE_vs_Chronos
1,model_topk_1_norm_minmax_noise_True_ep_80_lr_0.001,0.41101392575709117,horizon_12,11,0.1543204899017627,2023,6,0.2845071072761829,2021,7.8,0.3799766227735005,0.41852235035041446,0.2709795926021204,0.6849702911352753,0.30062077192414516
1,model_topk_1_norm_minmax_noise_True_ep_80_lr_0.001,0.41101392575709117,horizon_24,12,0.2216807580911196,2024,6,0.3391765562387613,2020,7.8,0.3799766227735005,0.41852235035041446,0.2709795926021204,0.6849702911352753,0.30062077192414516
1,model_topk_1_norm_minmax_noise_True_ep_80_lr_0.001,0.41101392575709117,horizon_3,12,0.0979227114182252,2020,6,0.1023975639389111,2021,9.4,0.3799766227735005,0.41852235035041446,0.2709795926021204,0.6849702911352753,0.30062077192414516
1,model_topk_1_norm_minmax_noise_True_ep_80_lr_0.001,0.41101392575709117,horizon_6,11,0.1420119427717649,2021,6,0.1035821764514996,2022,8.0,0.3799766227735005,0.41852235035041446,0.2709795926021204,0.6849702911352753,0.30062077192414516
2,model_topk_1_norm_std_noise_False_ep_20_lr_0.0001,0.4108082213831096,horizon_12,20,0.1843690602825238,2020,7,0.2704896032810211,2021,12.2,0.4075707058425678,0.42873142381563684,0.2510183019975428,0.6850392900415299,0.2816813852182703
2,model_topk_1_norm_std_noise_False_ep_20_lr_0.0001,0.4108082213831096,horizon_24,12,0.2084437952591822,2021,7,0.2727100138480847,2023,9.4,0.4075707058425678,0.42873142381563684,0.2510183019975428,0.6850392900415299,0.2816813852182703
2,model_topk_1_norm_std_noise_False_ep_20_lr_0.0001,0.4108082213831096,horizon_3,12,0.1239947229623794,2024,7,0.0977636816409917,2021,8.6,0.4075707058425678,0.42873142381563684,0.2510183019975428,0.6850392900415299,0.2816813852182703
2,model_topk_1_norm_std_noise_False_ep_20_lr_0.0001,0.4108082213831096,horizon_6,18,0.1518974166650038,2024,7,0.1497856848514997,2021,10.6,0.4075707058425678,0.42873142381563684,0.2510183019975428,0.6850392900415299,0.2816813852182703
3,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.001,0.40325446273262006,horizon_12,11,0.1543204899017627,2023,6,0.2845071072761829,2021,7.8,0.35878016956161934,0.419312282156108,0.28151476074698123,0.6855292591312102,0.27113584206718155
3,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.001,0.40325446273262006,horizon_24,12,0.2216807580911196,2024,6,0.3391765562387613,2020,7.8,0.35878016956161934,0.419312282156108,0.28151476074698123,0.6855292591312102,0.27113584206718155
