horizon,state,year,experiment,num_epochs,min_loss
horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_20_lr_0.001_2020_log,13,0.1902279865283232
horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_20_lr_0.001_2021_log,15,0.2699527855102832
horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_20_lr_0.001_2022_log,20,0.1978519879854642
horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_20_lr_0.001_2023_log,16,0.1464586017223504
horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_False_ep_20_lr_0.001_2024_log,20,0.1674264084834318
horizon_24,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_20_lr_0.001_2020_log,13,0.2957563767066368
horizon_24,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_20_lr_0.001_2021_log,14,0.2078205862870583
horizon_24,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_20_lr_0.001_2022_log,20,0.2945899275633005
horizon_24,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_20_lr_0.001_2023_log,20,0.2729427791558779
horizon_24,excluding_sp,2024,model_topk_1_norm_minmax_noise_False_ep_20_lr_0.001_2024_log,16,0.2145767681873761
horizon_3,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_20_lr_0.001_2020_log,15,0.0946965406720454
horizon_3,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_20_lr_0.001_2021_log,20,0.0973407981487421
horizon_3,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_20_lr_0.001_2022_log,20,0.0732633614769348
horizon_3,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_20_lr_0.001_2023_log,20,0.0869186274134195
horizon_3,excluding_sp,2024,model_topk_1_norm_minmax_noise_False_ep_20_lr_0.001_2024_log,20,0.1220396046455089
horizon_6,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_20_lr_0.001_2020_log,15,0.1366490377829625
horizon_6,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_20_lr_0.001_2021_log,16,0.1472307420693911
horizon_6,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_20_lr_0.001_2022_log,13,0.0958617747976229
horizon_6,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_20_lr_0.001_2023_log,20,0.0999288828327105
horizon_6,excluding_sp,2024,model_topk_1_norm_minmax_noise_False_ep_20_lr_0.001_2024_log,20,0.1508800536394119
