Learner,selections,avg_weight,percentage,horizon,state,year,experiment
Chronos,508,1.0,20.352564102564102,horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_100_lr_0.001_2020_log
Moirai,486,1.0,19.471153846153847,horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_100_lr_0.001_2020_log
Time-MoE,509,1.0,20.392628205128204,horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_100_lr_0.001_2020_log
Timer,512,1.0,20.512820512820515,horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_100_lr_0.001_2020_log
TimesFM,481,1.0,19.270833333333332,horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_100_lr_0.001_2020_log
Chronos,1195,1.0,19.81100795755968,horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_100_lr_0.001_2021_log
Moirai,1228,1.0,20.358090185676392,horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_100_lr_0.001_2021_log
Time-MoE,1202,1.0,19.927055702917773,horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_100_lr_0.001_2021_log
Timer,1207,1.0,20.00994694960212,horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_100_lr_0.001_2021_log
TimesFM,1200,1.0,19.893899204244033,horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_100_lr_0.001_2021_log
Chronos,574,1.0,19.71153846153846,horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_100_lr_0.001_2022_log
Moirai,581,1.0,19.951923076923077,horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_100_lr_0.001_2022_log
Time-MoE,583,1.0,20.020604395604394,horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_100_lr_0.001_2022_log
Timer,594,1.0,20.39835164835165,horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_100_lr_0.001_2022_log
TimesFM,580,1.0,19.917582417582416,horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_100_lr_0.001_2022_log
Chronos,674,1.0,20.252403846153847,horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_100_lr_0.001_2023_log
Moirai,668,1.0,20.072115384615383,horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_100_lr_0.001_2023_log
Time-MoE,667,1.0,20.042067307692307,horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_100_lr_0.001_2023_log
Timer,663,1.0,19.921875,horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_100_lr_0.001_2023_log
TimesFM,656,1.0,19.71153846153846,horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_100_lr_0.001_2023_log
Chronos,444,1.0,19.405594405594407,horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_100_lr_0.001_2024_log
Moirai,457,1.0,19.973776223776223,horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_100_lr_0.001_2024_log
Time-MoE,475,1.0,20.76048951048951,horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_100_lr_0.001_2024_log
Timer,453,1.0,19.79895104895105,horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_100_lr_0.001_2024_log
TimesFM,459,1.0,20.06118881118881,horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_100_lr_0.001_2024_log
Chronos,466,1.0,20.367132867132867,horizon_24,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_100_lr_0.001_2020_log
Moirai,455,1.0,19.886363636363637,horizon_24,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_100_lr_0.001_2020_log
