Learner,selections,avg_weight,percentage,horizon,state,year,experiment
Chronos,456,1.0,18.26923076923077,horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2020_log
Moirai,515,1.0,20.63301282051282,horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2020_log
Time-MoE,458,1.0,18.349358974358974,horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2020_log
Timer,559,1.0,22.395833333333332,horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2020_log
TimesFM,508,1.0,20.352564102564102,horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2020_log
Chronos,909,1.0,17.48076923076923,horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2021_log
Moirai,1100,1.0,21.153846153846153,horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2021_log
Time-MoE,1074,1.0,20.653846153846153,horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2021_log
Timer,968,1.0,18.615384615384617,horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2021_log
TimesFM,1149,1.0,22.096153846153847,horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2021_log
Chronos,830,1.0,22.168803418803417,horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2022_log
Moirai,660,1.0,17.628205128205128,horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2022_log
Time-MoE,711,1.0,18.990384615384617,horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2022_log
Timer,754,1.0,20.13888888888889,horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2022_log
TimesFM,789,1.0,21.07371794871795,horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2022_log
Chronos,636,1.0,21.84065934065934,horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2023_log
Moirai,511,1.0,17.548076923076923,horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2023_log
Time-MoE,593,1.0,20.36401098901099,horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2023_log
Timer,547,1.0,18.78434065934066,horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2023_log
TimesFM,625,1.0,21.462912087912088,horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2023_log
Chronos,900,1.0,21.634615384615383,horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2024_log
Moirai,788,1.0,18.942307692307693,horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2024_log
Time-MoE,946,1.0,22.740384615384617,horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2024_log
Timer,748,1.0,17.98076923076923,horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2024_log
TimesFM,778,1.0,18.701923076923077,horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2024_log
Chronos,654,1.0,19.651442307692307,horizon_24,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2020_log
Moirai,645,1.0,19.381009615384617,horizon_24,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2020_log
Time-MoE,640,1.0,19.23076923076923,horizon_24,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2020_log
Timer,657,1.0,19.74158653846154,horizon_24,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2020_log
TimesFM,732,1.0,21.995192307692307,horizon_24,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2020_log
Chronos,505,1.0,20.232371794871796,horizon_24,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2021_log
Moirai,506,1.0,20.272435897435898,horizon_24,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2021_log
Time-MoE,520,1.0,20.833333333333332,horizon_24,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2021_log
Timer,460,1.0,18.42948717948718,horizon_24,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2021_log
TimesFM,505,1.0,20.232371794871796,horizon_24,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2021_log
Chronos,588,1.0,18.846153846153847,horizon_24,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2022_log
Moirai,536,1.0,17.17948717948718,horizon_24,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2022_log
Time-MoE,641,1.0,20.544871794871796,horizon_24,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2022_log
Timer,652,1.0,20.897435897435898,horizon_24,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2022_log
TimesFM,703,1.0,22.53205128205128,horizon_24,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2022_log
Chronos,909,1.0,17.48076923076923,horizon_24,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2023_log
Moirai,1100,1.0,21.153846153846153,horizon_24,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2023_log
Time-MoE,1074,1.0,20.653846153846153,horizon_24,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2023_log
Timer,968,1.0,18.615384615384617,horizon_24,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2023_log
TimesFM,1149,1.0,22.096153846153847,horizon_24,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2023_log
Chronos,1106,1.0,21.26923076923077,horizon_24,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2024_log
Moirai,967,1.0,18.596153846153847,horizon_24,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2024_log
Time-MoE,1040,1.0,20.0,horizon_24,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2024_log
Timer,1005,1.0,19.326923076923077,horizon_24,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2024_log
TimesFM,1082,1.0,20.807692307692307,horizon_24,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2024_log
Chronos,1240,1.0,20.55702917771883,horizon_3,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2020_log
Moirai,1193,1.0,19.77785145888594,horizon_3,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2020_log
Time-MoE,1334,1.0,22.115384615384617,horizon_3,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2020_log
Timer,1072,1.0,17.77188328912467,horizon_3,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2020_log
TimesFM,1193,1.0,19.77785145888594,horizon_3,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2020_log
Chronos,900,1.0,21.634615384615383,horizon_3,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2021_log
Moirai,788,1.0,18.942307692307693,horizon_3,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2021_log
Time-MoE,946,1.0,22.740384615384617,horizon_3,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2021_log
Timer,748,1.0,17.98076923076923,horizon_3,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2021_log
TimesFM,778,1.0,18.701923076923077,horizon_3,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2021_log
Chronos,985,1.0,23.677884615384617,horizon_3,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2022_log
Moirai,796,1.0,19.134615384615383,horizon_3,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2022_log
Time-MoE,860,1.0,20.673076923076923,horizon_3,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2022_log
Timer,703,1.0,16.89903846153846,horizon_3,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2022_log
TimesFM,816,1.0,19.615384615384617,horizon_3,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2022_log
Chronos,464,1.0,18.58974358974359,horizon_3,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2023_log
Moirai,552,1.0,22.115384615384617,horizon_3,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2023_log
Time-MoE,547,1.0,21.915064102564102,horizon_3,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2023_log
Timer,459,1.0,18.389423076923077,horizon_3,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2023_log
TimesFM,474,1.0,18.990384615384617,horizon_3,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2023_log
Chronos,625,1.0,18.780048076923077,horizon_3,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2024_log
Moirai,738,1.0,22.17548076923077,horizon_3,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2024_log
Time-MoE,627,1.0,18.84014423076923,horizon_3,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2024_log
Timer,688,1.0,20.673076923076923,horizon_3,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2024_log
TimesFM,650,1.0,19.53125,horizon_3,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2024_log
Chronos,565,1.0,22.63621794871795,horizon_6,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2020_log
Moirai,495,1.0,19.83173076923077,horizon_6,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2020_log
Time-MoE,479,1.0,19.190705128205128,horizon_6,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2020_log
Timer,421,1.0,16.86698717948718,horizon_6,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2020_log
TimesFM,536,1.0,21.474358974358974,horizon_6,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2020_log
Chronos,1140,1.0,21.079881656804734,horizon_6,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2021_log
Moirai,1013,1.0,18.731508875739646,horizon_6,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2021_log
Time-MoE,1080,1.0,19.97041420118343,horizon_6,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2021_log
Timer,1050,1.0,19.41568047337278,horizon_6,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2021_log
TimesFM,1125,1.0,20.80251479289941,horizon_6,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2021_log
Chronos,642,1.0,20.576923076923077,horizon_6,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2022_log
Moirai,661,1.0,21.185897435897434,horizon_6,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_30_lr_1e-05_2022_log
