Learner,selections,avg_weight,percentage,horizon,state,year,experiment
Chronos,565,1.0,19.40247252747253,horizon_12,excluding_sp,2020,model_topk_1_norm_std_noise_True_ep_30_lr_0.0001_2020_log
Moirai,579,1.0,19.88324175824176,horizon_12,excluding_sp,2020,model_topk_1_norm_std_noise_True_ep_30_lr_0.0001_2020_log
Time-MoE,583,1.0,20.020604395604394,horizon_12,excluding_sp,2020,model_topk_1_norm_std_noise_True_ep_30_lr_0.0001_2020_log
Timer,600,1.0,20.604395604395606,horizon_12,excluding_sp,2020,model_topk_1_norm_std_noise_True_ep_30_lr_0.0001_2020_log
TimesFM,585,1.0,20.089285714285715,horizon_12,excluding_sp,2020,model_topk_1_norm_std_noise_True_ep_30_lr_0.0001_2020_log
Chronos,940,1.0,19.648829431438127,horizon_12,excluding_sp,2021,model_topk_1_norm_std_noise_True_ep_30_lr_0.0001_2021_log
Moirai,973,1.0,20.338628762541806,horizon_12,excluding_sp,2021,model_topk_1_norm_std_noise_True_ep_30_lr_0.0001_2021_log
Time-MoE,970,1.0,20.275919732441473,horizon_12,excluding_sp,2021,model_topk_1_norm_std_noise_True_ep_30_lr_0.0001_2021_log
Timer,940,1.0,19.648829431438127,horizon_12,excluding_sp,2021,model_topk_1_norm_std_noise_True_ep_30_lr_0.0001_2021_log
TimesFM,961,1.0,20.087792642140467,horizon_12,excluding_sp,2021,model_topk_1_norm_std_noise_True_ep_30_lr_0.0001_2021_log
Chronos,713,1.0,20.164027149321267,horizon_12,excluding_sp,2022,model_topk_1_norm_std_noise_True_ep_30_lr_0.0001_2022_log
Moirai,685,1.0,19.372171945701357,horizon_12,excluding_sp,2022,model_topk_1_norm_std_noise_True_ep_30_lr_0.0001_2022_log
Time-MoE,719,1.0,20.33371040723982,horizon_12,excluding_sp,2022,model_topk_1_norm_std_noise_True_ep_30_lr_0.0001_2022_log
Timer,734,1.0,20.757918552036198,horizon_12,excluding_sp,2022,model_topk_1_norm_std_noise_True_ep_30_lr_0.0001_2022_log
TimesFM,685,1.0,19.372171945701357,horizon_12,excluding_sp,2022,model_topk_1_norm_std_noise_True_ep_30_lr_0.0001_2022_log
Chronos,684,1.0,20.552884615384617,horizon_12,excluding_sp,2023,model_topk_1_norm_std_noise_True_ep_30_lr_0.0001_2023_log
Moirai,644,1.0,19.35096153846154,horizon_12,excluding_sp,2023,model_topk_1_norm_std_noise_True_ep_30_lr_0.0001_2023_log
Time-MoE,654,1.0,19.651442307692307,horizon_12,excluding_sp,2023,model_topk_1_norm_std_noise_True_ep_30_lr_0.0001_2023_log
Timer,676,1.0,20.3125,horizon_12,excluding_sp,2023,model_topk_1_norm_std_noise_True_ep_30_lr_0.0001_2023_log
TimesFM,670,1.0,20.13221153846154,horizon_12,excluding_sp,2023,model_topk_1_norm_std_noise_True_ep_30_lr_0.0001_2023_log
