Learner,selections,avg_weight,percentage,horizon,state,year,experiment
Chronos,3834,0.5056243776559954,30.721153846153847,horizon_12,excluding_sp,2020,model_topk_2_norm_minmax_noise_False_ep_30_lr_1e-05_2020_log
Moirai,2592,0.4973411208340599,20.76923076923077,horizon_12,excluding_sp,2020,model_topk_2_norm_minmax_noise_False_ep_30_lr_1e-05_2020_log
Time-MoE,1473,0.4954199388734516,11.802884615384615,horizon_12,excluding_sp,2020,model_topk_2_norm_minmax_noise_False_ep_30_lr_1e-05_2020_log
Timer,2232,0.494173040927311,17.884615384615383,horizon_12,excluding_sp,2020,model_topk_2_norm_minmax_noise_False_ep_30_lr_1e-05_2020_log
TimesFM,2349,0.502162685491725,18.822115384615383,horizon_12,excluding_sp,2020,model_topk_2_norm_minmax_noise_False_ep_30_lr_1e-05_2020_log
Chronos,3136,0.5002696259156325,25.128205128205128,horizon_12,excluding_sp,2021,model_topk_2_norm_minmax_noise_False_ep_30_lr_1e-05_2021_log
Moirai,2076,0.497246351329922,16.634615384615383,horizon_12,excluding_sp,2021,model_topk_2_norm_minmax_noise_False_ep_30_lr_1e-05_2021_log
Time-MoE,1767,0.49885161643522097,14.158653846153847,horizon_12,excluding_sp,2021,model_topk_2_norm_minmax_noise_False_ep_30_lr_1e-05_2021_log
Timer,2129,0.4969413277687406,17.059294871794872,horizon_12,excluding_sp,2021,model_topk_2_norm_minmax_noise_False_ep_30_lr_1e-05_2021_log
TimesFM,3372,0.5039775020410865,27.01923076923077,horizon_12,excluding_sp,2021,model_topk_2_norm_minmax_noise_False_ep_30_lr_1e-05_2021_log
Chronos,3143,0.5013668997591937,25.184294871794872,horizon_12,excluding_sp,2022,model_topk_2_norm_minmax_noise_False_ep_30_lr_1e-05_2022_log
Moirai,2750,0.49940953872420574,22.03525641025641,horizon_12,excluding_sp,2022,model_topk_2_norm_minmax_noise_False_ep_30_lr_1e-05_2022_log
Time-MoE,2000,0.49949463015794754,16.025641025641026,horizon_12,excluding_sp,2022,model_topk_2_norm_minmax_noise_False_ep_30_lr_1e-05_2022_log
Timer,2206,0.4977014238793312,17.67628205128205,horizon_12,excluding_sp,2022,model_topk_2_norm_minmax_noise_False_ep_30_lr_1e-05_2022_log
TimesFM,2381,0.5014317533089703,19.078525641025642,horizon_12,excluding_sp,2022,model_topk_2_norm_minmax_noise_False_ep_30_lr_1e-05_2022_log
Chronos,2282,0.5075486730474009,30.47542735042735,horizon_12,excluding_sp,2023,model_topk_2_norm_minmax_noise_False_ep_30_lr_1e-05_2023_log
Moirai,1527,0.49824735803313713,20.392628205128204,horizon_12,excluding_sp,2023,model_topk_2_norm_minmax_noise_False_ep_30_lr_1e-05_2023_log
Time-MoE,1012,0.4978208669678496,13.514957264957266,horizon_12,excluding_sp,2023,model_topk_2_norm_minmax_noise_False_ep_30_lr_1e-05_2023_log
Timer,1291,0.4946309014589264,17.240918803418804,horizon_12,excluding_sp,2023,model_topk_2_norm_minmax_noise_False_ep_30_lr_1e-05_2023_log
TimesFM,1376,0.49606613292856966,18.376068376068375,horizon_12,excluding_sp,2023,model_topk_2_norm_minmax_noise_False_ep_30_lr_1e-05_2023_log
Chronos,2519,0.492890310280377,20.184294871794872,horizon_12,excluding_sp,2024,model_topk_2_norm_minmax_noise_False_ep_30_lr_1e-05_2024_log
Moirai,3195,0.5224427748547287,25.60096153846154,horizon_12,excluding_sp,2024,model_topk_2_norm_minmax_noise_False_ep_30_lr_1e-05_2024_log
Time-MoE,1823,0.482258208230898,14.607371794871796,horizon_12,excluding_sp,2024,model_topk_2_norm_minmax_noise_False_ep_30_lr_1e-05_2024_log
Timer,1858,0.49208539345805946,14.887820512820513,horizon_12,excluding_sp,2024,model_topk_2_norm_minmax_noise_False_ep_30_lr_1e-05_2024_log
TimesFM,3085,0.4978130527794651,24.71955128205128,horizon_12,excluding_sp,2024,model_topk_2_norm_minmax_noise_False_ep_30_lr_1e-05_2024_log
Chronos,1686,0.49751813349138374,17.62123745819398,horizon_24,excluding_sp,2020,model_topk_2_norm_minmax_noise_False_ep_30_lr_1e-05_2020_log
Moirai,3237,0.5077092984796565,33.83152173913044,horizon_24,excluding_sp,2020,model_topk_2_norm_minmax_noise_False_ep_30_lr_1e-05_2020_log
Time-MoE,1126,0.4967277356246437,11.768394648829432,horizon_24,excluding_sp,2020,model_topk_2_norm_minmax_noise_False_ep_30_lr_1e-05_2020_log
Timer,1939,0.49214256306233145,20.265468227424748,horizon_24,excluding_sp,2020,model_topk_2_norm_minmax_noise_False_ep_30_lr_1e-05_2020_log
TimesFM,1580,0.4988288408970531,16.513377926421406,horizon_24,excluding_sp,2020,model_topk_2_norm_minmax_noise_False_ep_30_lr_1e-05_2020_log
