horizon,state,year,experiment,num_epochs,min_loss
horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_20_lr_0.0001_2020_log,20,0.175537160382821
horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_20_lr_0.0001_2021_log,20,0.2568108003873091
horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_20_lr_0.0001_2022_log,20,0.1814633344228451
horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_20_lr_0.0001_2023_log,20,0.1341022992363343
horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_20_lr_0.0001_2024_log,20,0.1456813812255859
horizon_24,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_20_lr_0.0001_2020_log,20,0.256557081754391
horizon_24,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_20_lr_0.0001_2021_log,20,0.1817609002956977
horizon_24,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_20_lr_0.0001_2022_log,20,0.2633232268003317
horizon_24,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_20_lr_0.0001_2023_log,20,0.2550856620073318
horizon_24,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_20_lr_0.0001_2024_log,20,0.1743163214280055
horizon_3,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_20_lr_0.0001_2020_log,17,0.0894726818570723
horizon_3,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_20_lr_0.0001_2021_log,20,0.0892971490438167
horizon_3,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_20_lr_0.0001_2022_log,20,0.0655678854538844
horizon_3,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_20_lr_0.0001_2023_log,20,0.0746580560046892
horizon_3,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_20_lr_0.0001_2024_log,20,0.1003617713084587
horizon_6,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_20_lr_0.0001_2020_log,20,0.12822353381377
horizon_6,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_20_lr_0.0001_2021_log,20,0.1324213708822544
horizon_6,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_20_lr_0.0001_2022_log,20,0.0901709840847895
horizon_6,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_20_lr_0.0001_2023_log,20,0.08914254204585
horizon_6,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_20_lr_0.0001_2024_log,20,0.1212354090351324
