Learner,selections,avg_weight,percentage,horizon,state,year,experiment
Chronos,5881,0.5461745449037622,28.27403846153846,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_50_lr_0.0001_2020_log
Moirai,4209,0.4697154838920178,20.235576923076923,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_50_lr_0.0001_2020_log
Time-MoE,2872,0.4561816027445049,13.807692307692308,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_50_lr_0.0001_2020_log
Timer,3756,0.4523995521461494,18.057692307692307,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_50_lr_0.0001_2020_log
TimesFM,4082,0.539330903825837,19.625,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_50_lr_0.0001_2020_log
Chronos,3899,0.5190066809790598,23.431490384615383,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_50_lr_0.0001_2021_log
Moirai,2733,0.4707848119879659,16.424278846153847,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_50_lr_0.0001_2021_log
Time-MoE,2443,0.4781114809395005,14.681490384615385,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_50_lr_0.0001_2021_log
Timer,3013,0.4666666588908289,18.106971153846153,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_50_lr_0.0001_2021_log
TimesFM,4552,0.5350714120260965,27.35576923076923,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_50_lr_0.0001_2021_log
Chronos,5108,0.5065658664186438,24.557692307692307,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_50_lr_0.0001_2022_log
Moirai,4445,0.5083080413438069,21.370192307692307,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_50_lr_0.0001_2022_log
Time-MoE,3680,0.5001721190126693,17.692307692307693,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_50_lr_0.0001_2022_log
Timer,3708,0.47847509035738156,17.826923076923077,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_50_lr_0.0001_2022_log
TimesFM,3859,0.5022579119686761,18.552884615384617,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_50_lr_0.0001_2022_log
Chronos,4048,0.5559583906113748,27.802197802197803,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_50_lr_0.0001_2023_log
Moirai,2882,0.5027365530327241,19.793956043956044,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_50_lr_0.0001_2023_log
Time-MoE,2235,0.48164346112767586,15.350274725274724,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_50_lr_0.0001_2023_log
Timer,2726,0.4582366523874742,18.72252747252747,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_50_lr_0.0001_2023_log
TimesFM,2669,0.47020136196767853,18.331043956043956,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_50_lr_0.0001_2023_log
Chronos,3032,0.44563107649699873,19.698544698544698,horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_50_lr_0.0001_2024_log
Moirai,3784,0.6256356492764602,24.584199584199585,horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_50_lr_0.0001_2024_log
