horizon,state,year,experiment,num_epochs,min_loss
horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_30_lr_0.0001_2020_log,14,0.1772906602575228
horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_30_lr_0.0001_2021_log,19,0.2635405155328604
horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_30_lr_0.0001_2022_log,30,0.1895275929799446
horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_30_lr_0.0001_2023_log,27,0.1380557131308775
horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_True_ep_30_lr_0.0001_2024_log,30,0.1513386838711225
horizon_24,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_30_lr_0.0001_2020_log,30,0.2420347791451674
horizon_24,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_30_lr_0.0001_2021_log,30,0.1886904423053448
horizon_24,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_30_lr_0.0001_2022_log,30,0.2676478727505757
horizon_24,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_30_lr_0.0001_2023_log,30,0.2643976073998671
horizon_24,excluding_sp,2024,model_topk_2_norm_std_noise_True_ep_30_lr_0.0001_2024_log,30,0.1804351852490351
horizon_3,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_30_lr_0.0001_2020_log,29,0.0922714368655131
horizon_3,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_30_lr_0.0001_2021_log,30,0.0921032354235649
horizon_3,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_30_lr_0.0001_2022_log,29,0.0692565166033231
horizon_3,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_30_lr_0.0001_2023_log,29,0.0776722869620873
horizon_3,excluding_sp,2024,model_topk_2_norm_std_noise_True_ep_30_lr_0.0001_2024_log,30,0.1036003782198979
horizon_6,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_30_lr_0.0001_2020_log,14,0.135979875922203
horizon_6,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_30_lr_0.0001_2021_log,30,0.1377585398463102
horizon_6,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_30_lr_0.0001_2022_log,24,0.0943175880954815
horizon_6,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_30_lr_0.0001_2023_log,30,0.0919770472324811
horizon_6,excluding_sp,2024,model_topk_2_norm_std_noise_True_ep_30_lr_0.0001_2024_log,30,0.1259961099578784
