Sample,Learner,Weight
Sample 0,Timer,0.5401283502578735
Sample 0,Chronos,0.4598716199398041
Sample 1,TimesFM,0.5026125311851501
Sample 1,Timer,0.49738743901252747
Sample 2,Time-MoE,0.6489318013191223
Sample 2,Chronos,0.3510682284832001
Sample 3,Chronos,0.5180484056472778
Sample 3,Moirai,0.48195159435272217
Sample 4,Chronos,0.5869649648666382
Sample 4,Timer,0.4130350351333618
Sample 5,Time-MoE,0.7912901043891907
Sample 5,TimesFM,0.2087099254131317
Sample 6,Moirai,0.6678285002708435
Sample 6,Timer,0.3321714997291565
Sample 7,Chronos,0.5285800695419312
Sample 7,Timer,0.47141990065574646
Sample 8,TimesFM,0.6586592793464661
Sample 8,Timer,0.3413407802581787
Sample 9,Moirai,0.5654500126838684
Sample 9,Chronos,0.4345499873161316
Sample 10,TimesFM,0.6310622692108154
Sample 10,Moirai,0.36893773078918457
Sample 11,Chronos,0.6250246167182922
Sample 11,Moirai,0.37497538328170776
Sample 12,TimesFM,0.5159552693367004
Sample 12,Moirai,0.48404473066329956
Sample 13,Time-MoE,0.6911600232124329
Sample 13,Chronos,0.30883994698524475
Sample 14,Chronos,0.5717833042144775
Sample 14,Moirai,0.4282166361808777
Sample 15,Timer,0.5067903995513916
Sample 15,Time-MoE,0.4932096004486084
Sample 16,Time-MoE,0.5404978394508362
Sample 16,Timer,0.45950213074684143
Sample 17,Moirai,0.7074674963951111
Sample 17,TimesFM,0.2925325036048889
Sample 18,Time-MoE,0.5317217707633972
Sample 18,Moirai,0.4682782292366028
Sample 19,Time-MoE,0.5539010167121887
Sample 19,Timer,0.4460989534854889
Sample 20,Timer,0.60279381275177
Sample 20,TimesFM,0.39720621705055237
Sample 21,Time-MoE,0.6038839221000671
Sample 21,Moirai,0.39611610770225525
Sample 22,TimesFM,0.5145708322525024
Sample 22,Chronos,0.48542919754981995
Sample 23,Timer,0.66535484790802
Sample 23,Chronos,0.33464518189430237
Sample 24,Moirai,0.7104019522666931
Sample 24,TimesFM,0.2895980477333069
Sample 25,TimesFM,0.5022825598716736
Sample 25,Moirai,0.49771741032600403
Sample 26,Time-MoE,0.8114873170852661
Sample 26,Timer,0.1885126829147339
Sample 27,Time-MoE,0.5463586449623108
Sample 27,Timer,0.4536413550376892
Sample 28,TimesFM,0.5301998853683472
Sample 28,Moirai,0.46980011463165283
Sample 29,TimesFM,0.6378185153007507
Sample 29,Moirai,0.36218154430389404
Sample 30,Time-MoE,0.5229071378707886
Sample 30,TimesFM,0.4770928919315338
Sample 31,TimesFM,0.5000083446502686
Sample 31,Timer,0.49999168515205383
Sample 0,Moirai,0.621979296207428
Sample 0,Chronos,0.378020703792572
Sample 1,Moirai,0.6367995738983154
Sample 1,Timer,0.3632003664970398
Sample 2,Timer,0.5388946533203125
Sample 2,Moirai,0.4611052870750427
Sample 3,Chronos,0.5624793767929077
Sample 3,Time-MoE,0.4375205934047699
Sample 4,Time-MoE,0.5916136503219604
Sample 4,Chronos,0.40838637948036194
Sample 5,Chronos,0.9116196036338806
Sample 5,TimesFM,0.0883803591132164
Sample 6,Chronos,0.5006706714630127
Sample 6,Moirai,0.4993293583393097
Sample 7,Chronos,0.663590669631958
Sample 7,TimesFM,0.3364093601703644
Sample 8,Timer,0.611005425453186
Sample 8,TimesFM,0.3889945447444916
Sample 9,Time-MoE,0.5777098536491394
Sample 9,TimesFM,0.4222901165485382
Sample 10,Moirai,0.5261915922164917
Sample 10,TimesFM,0.4738084673881531
Sample 11,Chronos,0.515914797782898
Sample 11,Time-MoE,0.48408520221710205
Sample 12,Moirai,0.575217068195343
Sample 12,Time-MoE,0.42478296160697937
Sample 13,Moirai,0.5340512990951538
Sample 13,TimesFM,0.4659486413002014
Sample 14,TimesFM,0.6821475028991699
Sample 14,Moirai,0.3178524672985077
Sample 15,Timer,0.7013031244277954
Sample 15,Time-MoE,0.2986968755722046
Sample 16,Chronos,0.5605453848838806
Sample 16,Timer,0.439454585313797
Sample 17,Moirai,0.5833580493927002
Sample 17,TimesFM,0.4166419208049774
Sample 18,Time-MoE,0.5988789796829224
Sample 18,Timer,0.40112102031707764
Sample 19,Time-MoE,0.6382875442504883
Sample 19,Timer,0.3617124557495117
Sample 20,Moirai,0.6623439192771912
Sample 20,TimesFM,0.3376561105251312
Sample 21,Moirai,0.6385570764541626
Sample 21,Time-MoE,0.361442893743515
Sample 22,Time-MoE,0.6957571506500244
Sample 22,Moirai,0.304242879152298
Sample 23,Chronos,0.6212965250015259
Sample 23,Timer,0.37870344519615173
Sample 24,Time-MoE,0.5578314661979675
Sample 24,Chronos,0.4421685039997101
Sample 25,Chronos,0.7263421416282654
Sample 25,Timer,0.27365782856941223
Sample 26,Chronos,0.5258657932281494
Sample 26,Moirai,0.4741341769695282
Sample 27,Timer,0.5727140307426453
Sample 27,TimesFM,0.4272859990596771
Sample 28,Time-MoE,0.5118902325630188
Sample 28,Timer,0.488109827041626
Sample 29,Time-MoE,0.7101267576217651
Sample 29,Chronos,0.28987324237823486
Sample 30,Moirai,0.5380148887634277
Sample 30,Timer,0.46198511123657227
Sample 31,Timer,0.5051524043083191
Sample 31,TimesFM,0.4948476552963257
Sample 0,Time-MoE,0.562861979007721
Sample 0,Chronos,0.43713802099227905
Sample 1,Chronos,0.6544895768165588
Sample 1,Timer,0.34551042318344116
Sample 2,Chronos,0.5186940431594849
Sample 2,Moirai,0.48130595684051514
Sample 3,Timer,0.5448594689369202
Sample 3,Chronos,0.4551405906677246
Sample 4,TimesFM,0.588603138923645
Sample 4,Time-MoE,0.41139689087867737
Sample 5,Time-MoE,0.5262428522109985
Sample 5,TimesFM,0.47375717759132385
Sample 6,Moirai,0.5441813468933105
Sample 6,Timer,0.45581865310668945
Sample 7,Moirai,0.5473431944847107
Sample 7,Time-MoE,0.4526568353176117
Sample 8,Chronos,0.6064128875732422
Sample 8,Moirai,0.3935870826244354
Sample 9,TimesFM,0.5019761323928833
Sample 9,Timer,0.4980239272117615
