horizon,state,year,experiment,num_epochs,min_loss
horizon_12,excluding_sp,2020,model_topk_1_norm_std_noise_False_ep_80_lr_1e-05_2020_log,10,0.1856117374621904
horizon_12,excluding_sp,2021,model_topk_1_norm_std_noise_False_ep_80_lr_1e-05_2021_log,7,0.2711017819551321
horizon_12,excluding_sp,2022,model_topk_1_norm_std_noise_False_ep_80_lr_1e-05_2022_log,10,0.2122652782843663
horizon_12,excluding_sp,2023,model_topk_1_norm_std_noise_False_ep_80_lr_1e-05_2023_log,10,0.151756811600465
horizon_12,excluding_sp,2024,model_topk_1_norm_std_noise_False_ep_80_lr_1e-05_2024_log,7,0.176224078123386
horizon_24,excluding_sp,2020,model_topk_1_norm_std_noise_False_ep_80_lr_1e-05_2020_log,7,0.2895936965942383
horizon_24,excluding_sp,2021,model_topk_1_norm_std_noise_False_ep_80_lr_1e-05_2021_log,7,0.2096111189860564
horizon_24,excluding_sp,2022,model_topk_1_norm_std_noise_False_ep_80_lr_1e-05_2022_log,7,0.2932991328147741
horizon_24,excluding_sp,2023,model_topk_1_norm_std_noise_False_ep_80_lr_1e-05_2023_log,7,0.2743172714343437
horizon_24,excluding_sp,2024,model_topk_1_norm_std_noise_False_ep_80_lr_1e-05_2024_log,7,0.2122491025007688
horizon_3,excluding_sp,2020,model_topk_1_norm_std_noise_False_ep_80_lr_1e-05_2020_log,11,0.0982903563059293
horizon_3,excluding_sp,2021,model_topk_1_norm_std_noise_False_ep_80_lr_1e-05_2021_log,7,0.0969574141960877
horizon_3,excluding_sp,2022,model_topk_1_norm_std_noise_False_ep_80_lr_1e-05_2022_log,7,0.0725741208745883
horizon_3,excluding_sp,2023,model_topk_1_norm_std_noise_False_ep_80_lr_1e-05_2023_log,15,0.0864600596519617
horizon_3,excluding_sp,2024,model_topk_1_norm_std_noise_False_ep_80_lr_1e-05_2024_log,16,0.120131437595074
horizon_6,excluding_sp,2020,model_topk_1_norm_std_noise_False_ep_80_lr_1e-05_2020_log,8,0.1423522050564105
horizon_6,excluding_sp,2021,model_topk_1_norm_std_noise_False_ep_80_lr_1e-05_2021_log,15,0.1473362548993184
horizon_6,excluding_sp,2022,model_topk_1_norm_std_noise_False_ep_80_lr_1e-05_2022_log,9,0.0965023608161853
horizon_6,excluding_sp,2023,model_topk_1_norm_std_noise_False_ep_80_lr_1e-05_2023_log,7,0.1009140639350964
horizon_6,excluding_sp,2024,model_topk_1_norm_std_noise_False_ep_80_lr_1e-05_2024_log,15,0.1541032516039334
