Learner,selections,avg_weight,percentage,horizon,state,year,experiment
Chronos,275,1.0,18.88736263736264,horizon_12,excluding_sp,2020,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2020_log
Moirai,304,1.0,20.87912087912088,horizon_12,excluding_sp,2020,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2020_log
Time-MoE,254,1.0,17.445054945054945,horizon_12,excluding_sp,2020,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2020_log
Timer,329,1.0,22.596153846153847,horizon_12,excluding_sp,2020,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2020_log
TimesFM,294,1.0,20.192307692307693,horizon_12,excluding_sp,2020,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2020_log
Chronos,379,1.0,16.564685314685313,horizon_12,excluding_sp,2021,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2021_log
Moirai,488,1.0,21.32867132867133,horizon_12,excluding_sp,2021,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2021_log
Time-MoE,484,1.0,21.153846153846153,horizon_12,excluding_sp,2021,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2021_log
Timer,411,1.0,17.963286713286713,horizon_12,excluding_sp,2021,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2021_log
TimesFM,526,1.0,22.98951048951049,horizon_12,excluding_sp,2021,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2021_log
Chronos,609,1.0,22.522189349112427,horizon_12,excluding_sp,2022,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2022_log
Moirai,486,1.0,17.973372781065088,horizon_12,excluding_sp,2022,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2022_log
Time-MoE,503,1.0,18.60207100591716,horizon_12,excluding_sp,2022,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2022_log
Timer,524,1.0,19.37869822485207,horizon_12,excluding_sp,2022,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2022_log
TimesFM,582,1.0,21.523668639053255,horizon_12,excluding_sp,2022,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2022_log
Chronos,418,1.0,22.32905982905983,horizon_12,excluding_sp,2023,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2023_log
Moirai,322,1.0,17.200854700854702,horizon_12,excluding_sp,2023,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2023_log
Time-MoE,374,1.0,19.978632478632477,horizon_12,excluding_sp,2023,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2023_log
Timer,352,1.0,18.803418803418804,horizon_12,excluding_sp,2023,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2023_log
TimesFM,406,1.0,21.688034188034187,horizon_12,excluding_sp,2023,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2023_log
Chronos,280,1.0,22.435897435897434,horizon_12,excluding_sp,2024,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2024_log
Moirai,239,1.0,19.150641025641026,horizon_12,excluding_sp,2024,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2024_log
Time-MoE,281,1.0,22.516025641025642,horizon_12,excluding_sp,2024,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2024_log
Timer,217,1.0,17.387820512820515,horizon_12,excluding_sp,2024,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2024_log
TimesFM,231,1.0,18.509615384615383,horizon_12,excluding_sp,2024,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2024_log
Chronos,461,1.0,20.1486013986014,horizon_24,excluding_sp,2020,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2020_log
Moirai,426,1.0,18.61888111888112,horizon_24,excluding_sp,2020,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2020_log
Time-MoE,441,1.0,19.274475524475523,horizon_24,excluding_sp,2020,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2020_log
Timer,455,1.0,19.886363636363637,horizon_24,excluding_sp,2020,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2020_log
TimesFM,505,1.0,22.071678321678323,horizon_24,excluding_sp,2020,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2020_log
Chronos,301,1.0,20.673076923076923,horizon_24,excluding_sp,2021,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2021_log
Moirai,286,1.0,19.642857142857142,horizon_24,excluding_sp,2021,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2021_log
Time-MoE,312,1.0,21.428571428571427,horizon_24,excluding_sp,2021,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2021_log
Timer,264,1.0,18.13186813186813,horizon_24,excluding_sp,2021,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2021_log
TimesFM,293,1.0,20.123626373626372,horizon_24,excluding_sp,2021,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2021_log
Chronos,378,1.0,18.173076923076923,horizon_24,excluding_sp,2022,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2022_log
Moirai,349,1.0,16.778846153846153,horizon_24,excluding_sp,2022,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2022_log
Time-MoE,437,1.0,21.009615384615383,horizon_24,excluding_sp,2022,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2022_log
Timer,447,1.0,21.490384615384617,horizon_24,excluding_sp,2022,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2022_log
TimesFM,469,1.0,22.548076923076923,horizon_24,excluding_sp,2022,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2022_log
Chronos,379,1.0,16.564685314685313,horizon_24,excluding_sp,2023,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2023_log
Moirai,488,1.0,21.32867132867133,horizon_24,excluding_sp,2023,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2023_log
Time-MoE,484,1.0,21.153846153846153,horizon_24,excluding_sp,2023,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2023_log
Timer,411,1.0,17.963286713286713,horizon_24,excluding_sp,2023,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2023_log
TimesFM,526,1.0,22.98951048951049,horizon_24,excluding_sp,2023,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2023_log
Chronos,418,1.0,22.32905982905983,horizon_24,excluding_sp,2024,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2024_log
Moirai,322,1.0,17.200854700854702,horizon_24,excluding_sp,2024,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2024_log
Time-MoE,374,1.0,19.978632478632477,horizon_24,excluding_sp,2024,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2024_log
Timer,352,1.0,18.803418803418804,horizon_24,excluding_sp,2024,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2024_log
TimesFM,406,1.0,21.688034188034187,horizon_24,excluding_sp,2024,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2024_log
Chronos,258,1.0,20.673076923076923,horizon_3,excluding_sp,2020,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2020_log
Moirai,250,1.0,20.03205128205128,horizon_3,excluding_sp,2020,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2020_log
Time-MoE,294,1.0,23.557692307692307,horizon_3,excluding_sp,2020,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2020_log
Timer,193,1.0,15.46474358974359,horizon_3,excluding_sp,2020,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2020_log
TimesFM,253,1.0,20.272435897435898,horizon_3,excluding_sp,2020,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2020_log
Chronos,425,1.0,22.70299145299145,horizon_3,excluding_sp,2021,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2021_log
Moirai,355,1.0,18.963675213675213,horizon_3,excluding_sp,2021,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2021_log
Time-MoE,417,1.0,22.275641025641026,horizon_3,excluding_sp,2021,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2021_log
Timer,321,1.0,17.147435897435898,horizon_3,excluding_sp,2021,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2021_log
TimesFM,354,1.0,18.91025641025641,horizon_3,excluding_sp,2021,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2021_log
Chronos,344,1.0,23.626373626373628,horizon_3,excluding_sp,2022,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2022_log
Moirai,290,1.0,19.917582417582416,horizon_3,excluding_sp,2022,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2022_log
Time-MoE,307,1.0,21.085164835164836,horizon_3,excluding_sp,2022,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2022_log
Timer,244,1.0,16.75824175824176,horizon_3,excluding_sp,2022,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2022_log
TimesFM,271,1.0,18.61263736263736,horizon_3,excluding_sp,2022,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2022_log
Chronos,291,1.0,19.986263736263737,horizon_3,excluding_sp,2023,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2023_log
Moirai,313,1.0,21.497252747252748,horizon_3,excluding_sp,2023,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2023_log
Time-MoE,311,1.0,21.35989010989011,horizon_3,excluding_sp,2023,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2023_log
Timer,262,1.0,17.994505494505493,horizon_3,excluding_sp,2023,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2023_log
TimesFM,279,1.0,19.162087912087912,horizon_3,excluding_sp,2023,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2023_log
Chronos,443,1.0,19.361888111888113,horizon_3,excluding_sp,2024,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2024_log
Moirai,499,1.0,21.80944055944056,horizon_3,excluding_sp,2024,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2024_log
Time-MoE,434,1.0,18.96853146853147,horizon_3,excluding_sp,2024,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2024_log
Timer,477,1.0,20.847902097902097,horizon_3,excluding_sp,2024,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2024_log
TimesFM,435,1.0,19.012237762237763,horizon_3,excluding_sp,2024,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2024_log
Chronos,334,1.0,22.939560439560438,horizon_6,excluding_sp,2020,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2020_log
Moirai,276,1.0,18.956043956043956,horizon_6,excluding_sp,2020,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2020_log
Time-MoE,305,1.0,20.947802197802197,horizon_6,excluding_sp,2020,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2020_log
Timer,234,1.0,16.071428571428573,horizon_6,excluding_sp,2020,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2020_log
TimesFM,307,1.0,21.085164835164836,horizon_6,excluding_sp,2020,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2020_log
Chronos,504,1.0,22.027972027972027,horizon_6,excluding_sp,2021,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2021_log
Moirai,411,1.0,17.963286713286713,horizon_6,excluding_sp,2021,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2021_log
Time-MoE,453,1.0,19.79895104895105,horizon_6,excluding_sp,2021,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2021_log
Timer,431,1.0,18.837412587412587,horizon_6,excluding_sp,2021,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2021_log
TimesFM,489,1.0,21.372377622377623,horizon_6,excluding_sp,2021,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2021_log
Chronos,435,1.0,20.91346153846154,horizon_6,excluding_sp,2022,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2022_log
Moirai,424,1.0,20.384615384615383,horizon_6,excluding_sp,2022,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2022_log
Time-MoE,444,1.0,21.346153846153847,horizon_6,excluding_sp,2022,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2022_log
Timer,373,1.0,17.932692307692307,horizon_6,excluding_sp,2022,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2022_log
TimesFM,404,1.0,19.423076923076923,horizon_6,excluding_sp,2022,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2022_log
Chronos,280,1.0,22.435897435897434,horizon_6,excluding_sp,2023,model_topk_1_norm_std_noise_True_ep_20_lr_1e-05_2023_log
