Learner,selections,avg_weight,percentage,horizon,state,year,experiment
Chronos,1202,0.5009373419247134,32.10470085470085,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_50_lr_1e-05_2020_log
Moirai,832,0.49972028869132584,22.22222222222222,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_50_lr_1e-05_2020_log
Time-MoE,410,0.4993881857976681,10.9508547008547,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_50_lr_1e-05_2020_log
Timer,620,0.4988747382836957,16.55982905982906,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_50_lr_1e-05_2020_log
TimesFM,680,0.5000802098828203,18.162393162393162,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_50_lr_1e-05_2020_log
Chronos,1798,0.500531308178907,25.42420814479638,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_50_lr_1e-05_2021_log
Moirai,1157,0.4988362979765276,16.360294117647058,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_50_lr_1e-05_2021_log
Time-MoE,1065,0.49996066910560144,15.059389140271493,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_50_lr_1e-05_2021_log
Timer,1189,0.49845472121058243,16.812782805429865,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_50_lr_1e-05_2021_log
TimesFM,1863,0.5012186457089564,26.343325791855204,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_50_lr_1e-05_2021_log
Chronos,714,0.4999179565856437,24.51923076923077,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_50_lr_1e-05_2022_log
Moirai,731,0.5001178339796418,25.103021978021978,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_50_lr_1e-05_2022_log
Time-MoE,450,0.49991644077830844,15.453296703296703,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_50_lr_1e-05_2022_log
Timer,466,0.4996128515879995,16.002747252747252,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_50_lr_1e-05_2022_log
TimesFM,551,0.5003456556645582,18.921703296703296,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_50_lr_1e-05_2022_log
Chronos,1414,0.5062491353785638,30.90034965034965,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_50_lr_1e-05_2023_log
Moirai,933,0.4975855892558062,20.388986013986013,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_50_lr_1e-05_2023_log
Time-MoE,625,0.49845060868263247,13.658216783216783,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_50_lr_1e-05_2023_log
Timer,775,0.49594869736702213,16.93618881118881,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_50_lr_1e-05_2023_log
TimesFM,829,0.49701386711709605,18.11625874125874,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_50_lr_1e-05_2023_log
Chronos,850,0.4977010130531648,20.432692307692307,horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_50_lr_1e-05_2024_log
Moirai,1098,0.5061350387736531,26.39423076923077,horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_50_lr_1e-05_2024_log
Time-MoE,569,0.49552895665587776,13.677884615384615,horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_50_lr_1e-05_2024_log
