horizon,state,year,experiment,num_epochs,min_loss
horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2020_log,14,0.1768162021270165
horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2021_log,15,0.2575236444289868
horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2022_log,34,0.1788257417770532
horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2023_log,8,0.1385014664668303
horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2024_log,16,0.1477608680725097
horizon_24,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2020_log,17,0.2565570542445549
horizon_24,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2021_log,11,0.1821504292579797
horizon_24,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2022_log,39,0.2544098060864668
horizon_24,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2023_log,16,0.2576505450101999
horizon_24,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2024_log,17,0.1767218938240638
horizon_3,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2020_log,12,0.0894726812839508
horizon_3,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2021_log,27,0.0886725301925952
horizon_3,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2022_log,28,0.0655285117144768
horizon_3,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2023_log,31,0.0739244729853593
horizon_3,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2024_log,14,0.1014063931428469
horizon_6,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2020_log,16,0.1283883784825985
horizon_6,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2021_log,19,0.132421375467227
horizon_6,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2022_log,13,0.0902155144856526
horizon_6,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2023_log,19,0.089220204605506
horizon_6,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2024_log,29,0.1199792142097766
