Learner,selections,avg_weight,percentage,horizon,state,year,experiment
Chronos,1774,0.51309471405211,30.460164835164836,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2020_log
Moirai,1280,0.4931268747895956,21.978021978021978,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2020_log
Time-MoE,696,0.4848507518997823,11.95054945054945,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2020_log
Timer,954,0.48379287470436694,16.380494505494507,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2020_log
TimesFM,1120,0.5103330811219556,19.23076923076923,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2020_log
Chronos,1522,0.507012828303386,24.391025641025642,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2021_log
Moirai,1020,0.48977443885569477,16.346153846153847,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2021_log
Time-MoE,967,0.49781015379722265,15.496794871794872,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2021_log
Timer,1070,0.48713186324756835,17.147435897435898,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2021_log
TimesFM,1661,0.50941784427799,26.618589743589745,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2021_log
Chronos,3516,0.507581068488925,24.858597285067873,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2022_log
Moirai,3024,0.5012548090052352,21.380090497737555,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2022_log
Time-MoE,2312,0.4969436979262887,16.346153846153847,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2022_log
Timer,2653,0.4843783163929992,18.757070135746606,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2022_log
TimesFM,2639,0.5068438482266477,18.658088235294116,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2022_log
Chronos,999,0.5386420600824766,30.018028846153847,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2023_log
Moirai,656,0.4878976961098066,19.71153846153846,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2023_log
Time-MoE,486,0.4922727838219929,14.603365384615385,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2023_log
Timer,559,0.472293296045822,16.796875,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2023_log
TimesFM,628,0.48181396248234304,18.870192307692307,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2023_log
Chronos,1321,0.467825564249143,19.846754807692307,horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2024_log
Moirai,1711,0.5822027567567217,25.706129807692307,horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2024_log
Time-MoE,956,0.44026069292432346,14.36298076923077,horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2024_log
Timer,1031,0.463991272916329,15.489783653846153,horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2024_log
TimesFM,1637,0.49761105008837503,24.59435096153846,horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2024_log
Chronos,1127,0.4823955895103177,15.936085972850679,horizon_24,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2020_log
Moirai,2343,0.5450579684054399,33.130656108597286,horizon_24,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2020_log
Time-MoE,843,0.48098027034445023,11.92024886877828,horizon_24,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2020_log
Timer,1531,0.4570567377597814,21.648755656108598,horizon_24,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2020_log
TimesFM,1228,0.49678267009483484,17.36425339366516,horizon_24,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2020_log
Chronos,930,0.555583393381488,20.323426573426573,horizon_24,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2021_log
Moirai,1300,0.5036631925060199,28.40909090909091,horizon_24,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001_2021_log
