Sample,Learner,Weight
Sample 0,Time-MoE,0.5
Sample 0,Moirai,0.5
Sample 1,Time-MoE,0.5
Sample 1,Moirai,0.5
Sample 2,Time-MoE,0.5
Sample 2,Moirai,0.5
Sample 3,Time-MoE,0.5
Sample 3,Moirai,0.5
Sample 4,Time-MoE,0.5
Sample 4,Moirai,0.5
Sample 5,Time-MoE,0.5
Sample 5,Moirai,0.5
Sample 6,Time-MoE,0.5
Sample 6,Moirai,0.5
Sample 7,Time-MoE,0.5
Sample 7,Moirai,0.5
Sample 8,Time-MoE,0.5
Sample 8,Moirai,0.5
Sample 9,Time-MoE,0.5
Sample 9,Moirai,0.5
Sample 10,Time-MoE,0.5
Sample 10,Moirai,0.5
Sample 11,Time-MoE,0.5
Sample 11,Moirai,0.5
Sample 12,Time-MoE,0.5
Sample 12,Moirai,0.5
Sample 13,Time-MoE,0.5
Sample 13,Moirai,0.5
Sample 14,Time-MoE,0.5
Sample 14,Moirai,0.5
Sample 15,Time-MoE,0.5
Sample 15,Moirai,0.5
Sample 16,Time-MoE,0.5
Sample 16,Moirai,0.5
Sample 17,Time-MoE,0.5
Sample 17,Moirai,0.5
Sample 18,Time-MoE,0.5
Sample 18,Moirai,0.5
Sample 19,Time-MoE,0.5
Sample 19,Moirai,0.5
Sample 20,Time-MoE,0.5
Sample 20,Moirai,0.5
Sample 21,Time-MoE,0.5
Sample 21,Moirai,0.5
Sample 22,Time-MoE,0.5
Sample 22,Moirai,0.5
Sample 23,Time-MoE,0.5
Sample 23,Moirai,0.5
Sample 24,Time-MoE,0.5
Sample 24,Moirai,0.5
Sample 25,Time-MoE,0.5
Sample 25,Moirai,0.5
Sample 26,Time-MoE,0.5
Sample 26,Moirai,0.5
Sample 27,Time-MoE,0.5
Sample 27,Moirai,0.5
Sample 28,Time-MoE,0.5
Sample 28,Moirai,0.5
Sample 29,Time-MoE,0.5
Sample 29,Moirai,0.5
Sample 30,Time-MoE,0.5
Sample 30,Moirai,0.5
Sample 31,Time-MoE,0.5
Sample 31,Moirai,0.5
Sample 0,Timer,0.5
Sample 0,TimesFM,0.5
Sample 1,Moirai,0.5001034736633301
Sample 1,TimesFM,0.4998965263366699
Sample 2,Time-MoE,0.5002133846282959
Sample 2,TimesFM,0.4997866153717041
Sample 3,Moirai,0.5001063346862793
Sample 3,TimesFM,0.4998936653137207
Sample 4,Time-MoE,0.5003378391265869
Sample 4,TimesFM,0.4996621310710907
Sample 5,Moirai,0.5000934600830078
Sample 5,TimesFM,0.4999065399169922
Sample 6,Timer,0.5
Sample 6,TimesFM,0.5
Sample 7,Time-MoE,0.5009369850158691
Sample 7,TimesFM,0.49906301498413086
Sample 8,Timer,0.5
Sample 8,TimesFM,0.5
Sample 9,Moirai,0.500117301940918
Sample 9,TimesFM,0.49988269805908203
Sample 10,Moirai,0.5000525712966919
Sample 10,TimesFM,0.4999474585056305
Sample 11,Timer,0.5
Sample 11,TimesFM,0.5
Sample 12,Timer,0.5
Sample 12,TimesFM,0.5
Sample 13,Moirai,0.5001187324523926
Sample 13,TimesFM,0.4998812675476074
Sample 14,Moirai,0.5000190734863281
Sample 14,TimesFM,0.4999809265136719
Sample 15,Time-MoE,0.5004366636276245
Sample 15,TimesFM,0.4995633363723755
Sample 16,Timer,0.5
Sample 16,TimesFM,0.5
Sample 17,Moirai,0.5001130104064941
Sample 17,TimesFM,0.49988698959350586
Sample 18,Time-MoE,0.5002138614654541
Sample 18,TimesFM,0.4997861385345459
Sample 19,Moirai,0.5001153349876404
Sample 19,TimesFM,0.49988460540771484
Sample 20,Moirai,0.5000729560852051
Sample 20,TimesFM,0.4999270737171173
Sample 21,Moirai,0.5001006126403809
Sample 21,TimesFM,0.49989938735961914
Sample 22,Timer,0.5
Sample 22,TimesFM,0.5
Sample 23,Time-MoE,0.5014493465423584
Sample 23,TimesFM,0.4985506236553192
Sample 24,Moirai,0.5000295639038086
Sample 24,TimesFM,0.4999704658985138
Sample 25,Moirai,0.500098705291748
Sample 25,TimesFM,0.49990129470825195
Sample 26,Moirai,0.5000389218330383
Sample 26,TimesFM,0.49996110796928406
Sample 27,Moirai,0.5001168251037598
Sample 27,TimesFM,0.49988317489624023
Sample 28,Time-MoE,0.5011382102966309
Sample 28,TimesFM,0.49886178970336914
Sample 29,Moirai,0.5001301765441895
Sample 29,TimesFM,0.49986982345581055
Sample 30,Moirai,0.5000048875808716
