Sample,Learner,Weight
Sample 0,Timer,0.5281949043273926
Sample 0,Chronos,0.4718050956726074
Sample 1,Chronos,0.5157315135002136
Sample 1,TimesFM,0.48426854610443115
Sample 2,Time-MoE,0.6812912821769714
Sample 2,Chronos,0.31870871782302856
Sample 3,Timer,0.6680303812026978
Sample 3,TimesFM,0.33196958899497986
Sample 4,Chronos,0.6051708459854126
Sample 4,Moirai,0.3948291838169098
Sample 5,Time-MoE,0.6736265420913696
Sample 5,TimesFM,0.32637345790863037
Sample 6,Moirai,0.7235379219055176
Sample 6,Time-MoE,0.2764621078968048
Sample 7,Chronos,0.7424755692481995
Sample 7,Timer,0.25752443075180054
Sample 8,TimesFM,0.7097042798995972
Sample 8,Time-MoE,0.29029572010040283
Sample 9,Moirai,0.6048339605331421
Sample 9,Chronos,0.3951660096645355
Sample 10,TimesFM,0.6154817938804626
Sample 10,Moirai,0.38451820611953735
Sample 11,Chronos,0.5362395644187927
Sample 11,Moirai,0.46376046538352966
Sample 12,Moirai,0.5193562507629395
Sample 12,TimesFM,0.48064371943473816
Sample 13,Time-MoE,0.6190556883811951
Sample 13,Chronos,0.3809443712234497
Sample 14,Chronos,0.5381573438644409
Sample 14,Moirai,0.46184271574020386
Sample 15,Time-MoE,0.5311857461929321
Sample 15,Timer,0.46881425380706787
Sample 16,Time-MoE,0.572078287601471
Sample 16,Timer,0.42792168259620667
Sample 17,Moirai,0.6489853858947754
Sample 17,Timer,0.3510146141052246
Sample 18,Time-MoE,0.6128693222999573
Sample 18,Chronos,0.38713064789772034
Sample 19,Time-MoE,0.5269909501075745
Sample 19,Chronos,0.4730091094970703
Sample 20,TimesFM,0.5454156398773193
Sample 20,Timer,0.4545843303203583
Sample 21,Timer,0.5698442459106445
Sample 21,Time-MoE,0.4301556944847107
Sample 22,Chronos,0.5626111626625061
Sample 22,TimesFM,0.4373888373374939
Sample 23,Timer,0.6376674175262451
Sample 23,Chronos,0.3623325526714325
Sample 24,Moirai,0.6979582905769348
Sample 24,TimesFM,0.3020416796207428
Sample 25,Moirai,0.50096595287323
Sample 25,TimesFM,0.4990340769290924
Sample 26,Time-MoE,0.722298264503479
Sample 26,Timer,0.277701735496521
Sample 27,Time-MoE,0.551051914691925
Sample 27,Timer,0.44894805550575256
Sample 28,TimesFM,0.527481734752655
Sample 28,Moirai,0.47251826524734497
Sample 29,TimesFM,0.7021271586418152
Sample 29,Moirai,0.2978728711605072
Sample 30,Time-MoE,0.5176713466644287
Sample 30,TimesFM,0.4823286533355713
Sample 31,TimesFM,0.6976722478866577
Sample 31,Time-MoE,0.3023277521133423
Sample 0,TimesFM,0.7187544107437134
Sample 0,Moirai,0.28124555945396423
Sample 1,Moirai,0.5270300507545471
Sample 1,Chronos,0.4729699492454529
Sample 2,Time-MoE,0.5073757171630859
Sample 2,TimesFM,0.4926242530345917
Sample 3,Moirai,0.5634177327156067
Sample 3,TimesFM,0.4365822970867157
Sample 4,Chronos,0.8008098602294922
Sample 4,Timer,0.199190154671669
Sample 5,Timer,0.5792926549911499
Sample 5,Time-MoE,0.4207073748111725
Sample 6,Timer,0.6538605093955994
Sample 6,TimesFM,0.346139520406723
Sample 7,Moirai,0.5846723914146423
Sample 7,Time-MoE,0.41532766819000244
Sample 8,TimesFM,0.625683605670929
Sample 8,Time-MoE,0.37431636452674866
Sample 9,Timer,0.738041877746582
Sample 9,TimesFM,0.26195818185806274
Sample 10,Time-MoE,0.6222586631774902
Sample 10,Chronos,0.37774133682250977
Sample 11,TimesFM,0.60062575340271
Sample 11,Timer,0.3993742763996124
Sample 12,TimesFM,0.6792144179344177
Sample 12,Chronos,0.3207855820655823
Sample 13,TimesFM,0.5113738179206848
Sample 13,Time-MoE,0.4886262118816376
Sample 14,Timer,0.6529257297515869
Sample 14,Chronos,0.34707432985305786
Sample 15,TimesFM,0.712077796459198
Sample 15,Timer,0.287922203540802
Sample 16,Time-MoE,0.5349721908569336
Sample 16,Moirai,0.4650278389453888
Sample 17,TimesFM,0.6960124373435974
Sample 17,Time-MoE,0.3039875030517578
Sample 18,Chronos,0.5995143055915833
Sample 18,Timer,0.40048572421073914
Sample 19,TimesFM,0.7487314343452454
Sample 19,Time-MoE,0.251268595457077
Sample 20,Timer,0.6462307572364807
Sample 20,TimesFM,0.3537692129611969
Sample 21,Time-MoE,0.5285777449607849
Sample 21,Timer,0.4714222252368927
Sample 22,Chronos,0.5399293303489685
Sample 22,Time-MoE,0.4600706994533539
Sample 23,Moirai,0.693469762802124
Sample 23,Time-MoE,0.30653029680252075
Sample 24,Time-MoE,0.5768327713012695
Sample 24,Timer,0.42316725850105286
Sample 25,Timer,0.5600667595863342
Sample 25,Time-MoE,0.43993330001831055
Sample 26,Time-MoE,0.6307352185249329
Sample 26,TimesFM,0.36926475167274475
Sample 27,Timer,0.5992467999458313
Sample 27,Time-MoE,0.4007531404495239
Sample 28,Moirai,0.7844411134719849
Sample 28,Time-MoE,0.21555891633033752
Sample 29,TimesFM,0.5805842280387878
Sample 29,Time-MoE,0.41941577196121216
Sample 30,Moirai,0.5013487935066223
Sample 30,Time-MoE,0.4986511766910553
Sample 31,Time-MoE,0.661263108253479
Sample 31,Timer,0.3387369215488434
Sample 0,Moirai,0.5023723840713501
Sample 0,Timer,0.4976276159286499
Sample 1,TimesFM,0.5286412239074707
Sample 1,Chronos,0.4713587760925293
Sample 2,Moirai,0.5941219329833984
Sample 2,Chronos,0.40587806701660156
Sample 3,Time-MoE,0.5069707632064819
Sample 3,Timer,0.49302926659584045
Sample 4,Chronos,0.5446011424064636
Sample 4,TimesFM,0.45539888739585876
Sample 5,Moirai,0.6377031803131104
Sample 5,Time-MoE,0.36229681968688965
Sample 6,Timer,0.5027271509170532
Sample 6,TimesFM,0.4972728490829468
Sample 7,Timer,0.6548929810523987
Sample 7,Time-MoE,0.34510698914527893
Sample 8,TimesFM,0.5870752334594727
Sample 8,Time-MoE,0.41292479634284973
Sample 9,TimesFM,0.5826364159584045
Sample 9,Chronos,0.41736361384391785
Sample 10,TimesFM,0.6397813558578491
Sample 10,Chronos,0.3602186143398285
Sample 11,TimesFM,0.5504270195960999
Sample 11,Moirai,0.44957298040390015
Sample 12,Moirai,0.5966318845748901
Sample 12,Timer,0.40336811542510986
Sample 13,Time-MoE,0.802010715007782
Sample 13,TimesFM,0.19798928499221802
Sample 14,Moirai,0.582611620426178
Sample 14,TimesFM,0.41738834977149963
Sample 15,Time-MoE,0.5767945647239685
Sample 15,TimesFM,0.4232054650783539
Sample 16,TimesFM,0.6744306683540344
Sample 16,Moirai,0.3255693316459656
Sample 17,Time-MoE,0.6592111587524414
Sample 17,TimesFM,0.3407888114452362
Sample 18,TimesFM,0.6014822125434875
Sample 18,Moirai,0.39851775765419006
Sample 19,Chronos,0.5810977816581726
Sample 19,Timer,0.4189022183418274
Sample 20,Moirai,0.5468676686286926
Sample 20,TimesFM,0.4531323313713074
Sample 21,Time-MoE,0.543216347694397
Sample 21,Moirai,0.456783652305603
Sample 22,Moirai,0.5350573658943176
Sample 22,Chronos,0.46494266390800476
Sample 23,Timer,0.5097940564155579
Sample 23,Moirai,0.49020591378211975
Sample 24,Time-MoE,0.7047130465507507
Sample 24,Timer,0.29528695344924927
Sample 25,Time-MoE,0.750862717628479
Sample 25,Moirai,0.2491372525691986
Sample 26,Chronos,0.5318034291267395
Sample 26,Moirai,0.4681965708732605
Sample 27,Time-MoE,0.5057712197303772
Sample 27,TimesFM,0.4942288100719452
Sample 28,Chronos,0.5526196956634521
Sample 28,Moirai,0.44738033413887024
Sample 29,Chronos,0.5027657747268677
Sample 29,TimesFM,0.49723416566848755
Sample 30,Time-MoE,0.6275765299797058
Sample 30,Chronos,0.3724234402179718
Sample 31,Time-MoE,0.630227267742157
Sample 31,Chronos,0.369772732257843
Sample 0,Moirai,0.5116106271743774
Sample 0,Time-MoE,0.48838937282562256
Sample 1,Time-MoE,0.5018847584724426
Sample 1,Timer,0.49811527132987976
Sample 2,Timer,0.5635165572166443
Sample 2,Chronos,0.4364834725856781
Sample 3,Timer,0.5529172420501709
Sample 3,Chronos,0.4470827281475067
Sample 4,Timer,0.7437593340873718
Sample 4,Moirai,0.2562406659126282
Sample 5,TimesFM,0.6553621888160706
Sample 5,Chronos,0.34463781118392944
Sample 6,Chronos,0.5239275097846985
Sample 6,Moirai,0.4760724902153015
Sample 7,Moirai,0.8712326884269714
Sample 7,Chronos,0.12876737117767334
Sample 8,Chronos,0.5486354827880859
Sample 8,Moirai,0.45136451721191406
Sample 9,Timer,0.84783935546875
Sample 9,Time-MoE,0.15216064453125
Sample 10,Timer,0.769729733467102
Sample 10,Time-MoE,0.23027026653289795
Sample 11,TimesFM,0.6495782732963562
Sample 11,Time-MoE,0.3504216969013214
Sample 12,Timer,0.5276483297348022
Sample 12,TimesFM,0.47235164046287537
Sample 13,Chronos,0.627339780330658
Sample 13,Timer,0.3726602792739868
Sample 14,Timer,0.6728222370147705
Sample 14,Moirai,0.3271777629852295
Sample 15,Chronos,0.7028716206550598
Sample 15,TimesFM,0.2971284091472626
Sample 16,Time-MoE,0.6476473212242126
Sample 16,Chronos,0.35235270857810974
Sample 17,Timer,0.540445864200592
Sample 17,TimesFM,0.45955419540405273
Sample 18,Time-MoE,0.8052722215652466
Sample 18,Timer,0.19472777843475342
Sample 19,Timer,0.7902348041534424
Sample 19,Time-MoE,0.20976515114307404
Sample 20,Chronos,0.585939347743988
Sample 20,TimesFM,0.4140605926513672
Sample 21,TimesFM,0.5408317446708679
Sample 21,Chronos,0.4591682255268097
Sample 22,Time-MoE,0.6178513169288635
Sample 22,Chronos,0.3821486532688141
Sample 23,Time-MoE,0.7611963152885437
Sample 23,Timer,0.2388036847114563
Sample 24,Time-MoE,0.6274412870407104
Sample 24,Timer,0.37255874276161194
Sample 25,Moirai,0.5614769458770752
Sample 25,Chronos,0.4385231137275696
Sample 26,Moirai,0.6906886696815491
Sample 26,Chronos,0.3093113303184509
Sample 27,Timer,0.6326161623001099
Sample 27,Moirai,0.36738380789756775
Sample 28,TimesFM,0.5286823511123657
Sample 28,Timer,0.47131767868995667
Sample 29,TimesFM,0.6448990106582642
Sample 29,Timer,0.35510092973709106
Sample 30,Time-MoE,0.5809054970741272
Sample 30,Chronos,0.4190945029258728
Sample 31,Time-MoE,0.5016996264457703
Sample 31,Timer,0.4983004033565521
Sample 0,Moirai,0.6917558908462524
Sample 0,Chronos,0.30824413895606995
Sample 1,Time-MoE,0.5822451710700989
Sample 1,Moirai,0.4177548289299011
Sample 2,Moirai,0.7567035555839539
Sample 2,Chronos,0.2432965189218521
Sample 3,TimesFM,0.6627630591392517
Sample 3,Timer,0.3372369110584259
Sample 4,Timer,0.5215262770652771
Sample 4,Time-MoE,0.4784737229347229
Sample 5,Timer,0.6837822794914246
Sample 5,Chronos,0.3162177801132202
Sample 6,TimesFM,0.5879694819450378
Sample 6,Moirai,0.41203048825263977
Sample 7,Time-MoE,0.5986411571502686
Sample 7,Chronos,0.40135884284973145
Sample 8,Moirai,0.5477596521377563
Sample 8,Timer,0.4522404074668884
Sample 9,Moirai,0.571503758430481
Sample 9,TimesFM,0.42849624156951904
Sample 10,Time-MoE,0.7756217122077942
Sample 10,Moirai,0.22437827289104462
Sample 11,TimesFM,0.5321784019470215
Sample 11,Chronos,0.4678215980529785
Sample 12,Timer,0.5290804505348206
Sample 12,Moirai,0.47091954946517944
Sample 13,Moirai,0.5683675408363342
Sample 13,Chronos,0.43163245916366577
Sample 14,Chronos,0.6524219512939453
Sample 14,TimesFM,0.3475780785083771
Sample 15,Chronos,0.5328150391578674
Sample 15,Timer,0.46718499064445496
Sample 16,Time-MoE,0.5293284058570862
Sample 16,Moirai,0.4706715941429138
Sample 17,TimesFM,0.5954832434654236
Sample 17,Chronos,0.40451672673225403
Sample 18,Chronos,0.5715870261192322
Sample 18,Time-MoE,0.42841294407844543
Sample 19,Chronos,0.5899786353111267
Sample 19,Moirai,0.4100213348865509
Sample 20,Moirai,0.5590597987174988
Sample 20,TimesFM,0.4409402012825012
Sample 21,Chronos,0.5732744932174683
Sample 21,Time-MoE,0.42672550678253174
Sample 22,Chronos,0.6543886661529541
Sample 22,Moirai,0.3456113040447235
Sample 23,Timer,0.5545530915260315
Sample 23,TimesFM,0.4454469382762909
Sample 24,Chronos,0.5296312570571899
Sample 24,TimesFM,0.47036871314048767
Sample 25,Chronos,0.5512253046035767
Sample 25,Time-MoE,0.4487747550010681
Sample 26,Time-MoE,0.5165422558784485
Sample 26,TimesFM,0.4834577739238739
Sample 27,Timer,0.5765383839607239
Sample 27,TimesFM,0.4234616160392761
Sample 28,TimesFM,0.8389763236045837
Sample 28,Chronos,0.16102369129657745
Sample 29,Chronos,0.5748059749603271
Sample 29,Moirai,0.42519399523735046
Sample 30,Timer,0.5161834955215454
Sample 30,Time-MoE,0.483816534280777
Sample 31,Chronos,0.5006492137908936
Sample 31,Moirai,0.49935081601142883
Sample 0,Timer,0.6107175946235657
Sample 0,TimesFM,0.3892824351787567
Sample 1,Timer,0.5045537352561951
Sample 1,Moirai,0.4954463243484497
Sample 2,Moirai,0.5993753671646118
Sample 2,Chronos,0.40062469244003296
Sample 3,Chronos,0.5312492251396179
