Sample,Learner,Weight
Sample 0,Timer,0.5277017951011658
Sample 0,Chronos,0.4722982347011566
Sample 1,Chronos,0.5239420533180237
Sample 1,TimesFM,0.4760579764842987
Sample 2,Time-MoE,0.6014996767044067
Sample 2,Chronos,0.39850032329559326
Sample 3,TimesFM,0.6163871884346008
Sample 3,Timer,0.3836127817630768
Sample 4,Chronos,0.5887342095375061
Sample 4,TimesFM,0.4112658202648163
Sample 5,Time-MoE,0.6437154412269592
Sample 5,TimesFM,0.35628455877304077
Sample 6,Moirai,0.779090940952301
Sample 6,Timer,0.2209090143442154
Sample 7,Chronos,0.7189919948577881
Sample 7,Timer,0.2810080647468567
Sample 8,TimesFM,0.7542223930358887
Sample 8,Timer,0.24577754735946655
Sample 9,Moirai,0.6121278405189514
Sample 9,Chronos,0.3878721594810486
Sample 10,TimesFM,0.5843714475631714
Sample 10,Moirai,0.41562849283218384
Sample 11,Chronos,0.5176301598548889
Sample 11,Moirai,0.4823698103427887
Sample 12,Moirai,0.504484236240387
Sample 12,TimesFM,0.49551576375961304
Sample 13,Time-MoE,0.6382793188095093
Sample 13,Chronos,0.36172062158584595
Sample 14,Moirai,0.559794008731842
Sample 14,Chronos,0.44020602107048035
Sample 15,Time-MoE,0.5062585473060608
Sample 15,Timer,0.4937414526939392
Sample 16,Time-MoE,0.5460020303726196
Sample 16,Timer,0.453997939825058
Sample 17,Moirai,0.6641265749931335
Sample 17,TimesFM,0.33587345480918884
Sample 18,Time-MoE,0.7705026268959045
Sample 18,Moirai,0.22949737310409546
Sample 19,Time-MoE,0.5376759767532349
Sample 19,Chronos,0.46232396364212036
Sample 20,TimesFM,0.515834391117096
Sample 20,Timer,0.48416560888290405
Sample 21,Time-MoE,0.5808780789375305
Sample 21,Timer,0.4191218912601471
Sample 22,TimesFM,0.6678882837295532
Sample 22,Chronos,0.3321116864681244
Sample 23,Timer,0.8150278329849243
Sample 23,Chronos,0.18497218191623688
Sample 24,Moirai,0.6300496459007263
Sample 24,TimesFM,0.36995041370391846
Sample 25,Moirai,0.5140976309776306
Sample 25,TimesFM,0.4859023988246918
Sample 26,Time-MoE,0.5883804559707642
Sample 26,Timer,0.41161954402923584
Sample 27,Time-MoE,0.5651453137397766
Sample 27,Timer,0.4348546862602234
Sample 28,Moirai,0.5102291107177734
Sample 28,TimesFM,0.48977091908454895
Sample 29,TimesFM,0.72944575548172
Sample 29,Moirai,0.27055421471595764
Sample 30,Time-MoE,0.5069726705551147
Sample 30,TimesFM,0.49302735924720764
Sample 31,TimesFM,0.5183914303779602
Sample 31,Time-MoE,0.4816085696220398
Sample 0,TimesFM,0.8585131764411926
Sample 0,Moirai,0.1414867639541626
Sample 1,Moirai,0.5019302368164062
Sample 1,Chronos,0.49806976318359375
Sample 2,Time-MoE,0.7908455729484558
Sample 2,TimesFM,0.20915448665618896
Sample 3,Moirai,0.5262995958328247
Sample 3,TimesFM,0.4737004041671753
Sample 4,Chronos,0.8773231506347656
Sample 4,Time-MoE,0.12267681211233139
Sample 5,Timer,0.5176457762718201
Sample 5,Time-MoE,0.48235419392585754
Sample 6,Timer,0.530595600605011
Sample 6,TimesFM,0.4694043695926666
Sample 7,Moirai,0.5881451368331909
Sample 7,Chronos,0.41185489296913147
Sample 8,TimesFM,0.7907519936561584
Sample 8,Time-MoE,0.20924802124500275
Sample 9,Timer,0.5343190431594849
Sample 9,TimesFM,0.46568095684051514
Sample 10,Time-MoE,0.6030869483947754
Sample 10,Chronos,0.396913081407547
Sample 11,TimesFM,0.615835964679718
Sample 11,Timer,0.384164035320282
Sample 12,TimesFM,0.8319056630134583
Sample 12,Chronos,0.16809430718421936
Sample 13,TimesFM,0.5323144793510437
Sample 13,Time-MoE,0.4676855206489563
Sample 14,Chronos,0.5315996408462524
Sample 14,Timer,0.46840035915374756
Sample 15,TimesFM,0.6942684650421143
Sample 15,Time-MoE,0.30573150515556335
Sample 16,Moirai,0.6613709926605225
Sample 16,Time-MoE,0.33862900733947754
Sample 17,TimesFM,0.7455629706382751
Sample 17,Time-MoE,0.25443702936172485
Sample 18,Chronos,0.5392860770225525
Sample 18,Timer,0.4607139229774475
Sample 19,TimesFM,0.817960262298584
Sample 19,Timer,0.18203970789909363
Sample 20,Timer,0.5724506974220276
Sample 20,TimesFM,0.4275493025779724
Sample 21,Time-MoE,0.5541743636131287
Sample 21,Timer,0.4458256661891937
Sample 22,Time-MoE,0.50067538022995
Sample 22,Chronos,0.4993245601654053
Sample 23,Moirai,0.6723607182502747
Sample 23,Time-MoE,0.32763922214508057
Sample 24,Time-MoE,0.5935449004173279
Sample 24,Timer,0.4064550995826721
Sample 25,Time-MoE,0.5419368743896484
Sample 25,Timer,0.45806318521499634
Sample 26,TimesFM,0.5326803922653198
Sample 26,Time-MoE,0.4673196077346802
Sample 27,Time-MoE,0.535423219203949
Sample 27,Timer,0.464576780796051
Sample 28,Moirai,0.6766963601112366
Sample 28,Time-MoE,0.3233036994934082
Sample 29,TimesFM,0.6064370274543762
Sample 29,Time-MoE,0.3935629427433014
Sample 30,Time-MoE,0.5485581159591675
Sample 30,Moirai,0.4514419138431549
Sample 31,Timer,0.5451996922492981
Sample 31,Time-MoE,0.4548002779483795
Sample 0,Moirai,0.5239721536636353
Sample 0,Timer,0.47602781653404236
Sample 1,TimesFM,0.5408010482788086
Sample 1,Chronos,0.4591989815235138
Sample 2,Moirai,0.6720680594444275
Sample 2,Time-MoE,0.3279319405555725
Sample 3,Time-MoE,0.6848117113113403
Sample 3,TimesFM,0.3151882588863373
Sample 4,Chronos,0.5540642738342285
Sample 4,TimesFM,0.4459357261657715
Sample 5,Moirai,0.5782516598701477
Sample 5,Time-MoE,0.4217483699321747
Sample 6,Timer,0.5186123251914978
Sample 6,Moirai,0.4813876748085022
Sample 7,Timer,0.5634113550186157
Sample 7,Time-MoE,0.43658867478370667
Sample 8,TimesFM,0.5932721495628357
Sample 8,Time-MoE,0.4067278504371643
Sample 9,TimesFM,0.5969565510749817
Sample 9,Chronos,0.4030434191226959
Sample 10,TimesFM,0.6316226124763489
Sample 10,Chronos,0.36837735772132874
Sample 11,TimesFM,0.7352752685546875
Sample 11,Chronos,0.2647247314453125
Sample 12,Moirai,0.5849289894104004
Sample 12,Timer,0.4150709807872772
Sample 13,Time-MoE,0.8327672481536865
Sample 13,TimesFM,0.16723275184631348
Sample 14,Moirai,0.6477562189102173
Sample 14,Chronos,0.3522438108921051
Sample 15,Time-MoE,0.6527296900749207
Sample 15,TimesFM,0.34727025032043457
Sample 16,TimesFM,0.7758373022079468
Sample 16,Chronos,0.22416271269321442
Sample 17,Time-MoE,0.7385336756706238
Sample 17,TimesFM,0.2614663243293762
Sample 18,TimesFM,0.780451774597168
Sample 18,Moirai,0.21954821050167084
Sample 19,Chronos,0.578576385974884
Sample 19,Moirai,0.42142364382743835
Sample 20,TimesFM,0.5129244327545166
Sample 20,Moirai,0.4870755672454834
Sample 21,Time-MoE,0.5289309620857239
Sample 21,Chronos,0.47106900811195374
Sample 22,Moirai,0.563787043094635
Sample 22,Chronos,0.4362129867076874
Sample 23,Timer,0.5150998830795288
Sample 23,Moirai,0.4849001169204712
Sample 24,Time-MoE,0.6654797792434692
Sample 24,Timer,0.33452028036117554
Sample 25,Time-MoE,0.8123558759689331
Sample 25,TimesFM,0.1876441240310669
Sample 26,Chronos,0.5654910206794739
Sample 26,Moirai,0.4345089793205261
Sample 27,Time-MoE,0.5749440789222717
Sample 27,TimesFM,0.4250558614730835
Sample 28,Chronos,0.505673885345459
Sample 28,Moirai,0.49432608485221863
Sample 29,Chronos,0.505084216594696
Sample 29,TimesFM,0.49491578340530396
Sample 30,Time-MoE,0.6620562076568604
Sample 30,Chronos,0.3379438519477844
Sample 31,Time-MoE,0.6204155683517456
Sample 31,Chronos,0.3795844614505768
Sample 0,Moirai,0.6985678672790527
Sample 0,Timer,0.30143219232559204
Sample 1,Time-MoE,0.5769082903862
Sample 1,Moirai,0.42309173941612244
Sample 2,Moirai,0.5472047924995422
Sample 2,Time-MoE,0.45279523730278015
Sample 3,Chronos,0.7706645131111145
Sample 3,Timer,0.2293355017900467
Sample 4,Timer,0.5464996695518494
Sample 4,Chronos,0.45350033044815063
Sample 5,Chronos,0.703499972820282
Sample 5,Timer,0.2965000867843628
Sample 6,Timer,0.5240233540534973
Sample 6,Time-MoE,0.4759765863418579
Sample 7,Moirai,0.7494122385978699
Sample 7,TimesFM,0.2505877614021301
Sample 8,Chronos,0.6864603757858276
Sample 8,TimesFM,0.31353962421417236
Sample 9,Time-MoE,0.5742179155349731
Sample 9,Moirai,0.42578211426734924
Sample 10,Timer,0.6270521879196167
Sample 10,Moirai,0.3729478120803833
Sample 11,Time-MoE,0.5750595927238464
Sample 11,Moirai,0.42494046688079834
Sample 12,Chronos,0.5867294073104858
Sample 12,Time-MoE,0.4132705628871918
Sample 13,TimesFM,0.5523211359977722
Sample 13,Moirai,0.4476788341999054
Sample 14,Moirai,0.5517838001251221
Sample 14,Timer,0.44821619987487793
Sample 15,Time-MoE,0.571963369846344
Sample 15,Chronos,0.4280366599559784
Sample 16,Time-MoE,0.6060576438903809
Sample 16,Moirai,0.39394235610961914
Sample 17,Chronos,0.6040001511573792
Sample 17,Timer,0.39599987864494324
Sample 18,Timer,0.5044691562652588
Sample 18,Moirai,0.4955308139324188
Sample 19,Timer,0.6516764760017395
Sample 19,Moirai,0.3483235239982605
Sample 20,Chronos,0.5469648838043213
Sample 20,Moirai,0.4530351161956787
Sample 21,Chronos,0.5706397294998169
Sample 21,Time-MoE,0.4293602406978607
Sample 22,Moirai,0.5384722352027893
Sample 22,TimesFM,0.4615277647972107
Sample 23,Chronos,0.520375669002533
Sample 23,Moirai,0.47962427139282227
Sample 24,Time-MoE,0.6175503134727478
Sample 24,Timer,0.382449746131897
Sample 25,Moirai,0.5314449667930603
Sample 25,Time-MoE,0.4685550034046173
Sample 26,Time-MoE,0.6117684245109558
Sample 26,TimesFM,0.3882316052913666
Sample 27,TimesFM,0.5271220207214355
Sample 27,Time-MoE,0.47287794947624207
Sample 28,Moirai,0.5103510022163391
Sample 28,TimesFM,0.4896489977836609
Sample 29,TimesFM,0.5475464463233948
Sample 29,Chronos,0.45245352387428284
Sample 30,TimesFM,0.5648569464683533
Sample 30,Timer,0.4351430833339691
Sample 31,TimesFM,0.582934558391571
Sample 31,Timer,0.4170653820037842
Sample 0,Timer,0.6217657923698425
Sample 0,Time-MoE,0.3782341778278351
Sample 1,Timer,0.5534921884536743
Sample 1,Chronos,0.4465077817440033
Sample 2,Timer,0.7687011957168579
Sample 2,Chronos,0.2312987744808197
Sample 3,TimesFM,0.6850566864013672
Sample 3,Chronos,0.3149433135986328
Sample 4,Moirai,0.6191368699073792
Sample 4,TimesFM,0.38086313009262085
Sample 5,TimesFM,0.5627757906913757
Sample 5,Chronos,0.43722420930862427
Sample 6,Chronos,0.5813645720481873
Sample 6,Timer,0.41863539814949036
Sample 7,Moirai,0.5993461608886719
Sample 7,Chronos,0.4006538689136505
Sample 8,Timer,0.5059993863105774
Sample 8,Chronos,0.4940006136894226
Sample 9,Moirai,0.5569459795951843
Sample 9,Timer,0.4430539906024933
Sample 10,Moirai,0.6478291749954224
Sample 10,Time-MoE,0.35217082500457764
Sample 11,Timer,0.6701797246932983
Sample 11,TimesFM,0.32982027530670166
