Learner,selections,avg_weight,percentage,horizon,state,year,experiment
Chronos,673,1.0,20.22235576923077,horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2020_log
Moirai,644,1.0,19.35096153846154,horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2020_log
Time-MoE,665,1.0,19.981971153846153,horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2020_log
Timer,672,1.0,20.192307692307693,horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2020_log
TimesFM,674,1.0,20.252403846153847,horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2020_log
Chronos,788,1.0,19.939271255060728,horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2021_log
Moirai,788,1.0,19.939271255060728,horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2021_log
Time-MoE,778,1.0,19.686234817813766,horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2021_log
Timer,796,1.0,20.141700404858298,horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2021_log
TimesFM,802,1.0,20.293522267206477,horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2021_log
Chronos,844,1.0,20.28846153846154,horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2022_log
Moirai,798,1.0,19.182692307692307,horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2022_log
Time-MoE,830,1.0,19.951923076923077,horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2022_log
Timer,849,1.0,20.408653846153847,horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2022_log
TimesFM,839,1.0,20.16826923076923,horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2022_log
Chronos,665,1.0,19.981971153846153,horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2023_log
Moirai,653,1.0,19.62139423076923,horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2023_log
Time-MoE,663,1.0,19.921875,horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2023_log
Timer,676,1.0,20.3125,horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2023_log
TimesFM,671,1.0,20.162259615384617,horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2023_log
Chronos,550,1.0,20.340236686390533,horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2024_log
Moirai,526,1.0,19.452662721893493,horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2024_log
Time-MoE,551,1.0,20.37721893491124,horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2024_log
Timer,553,1.0,20.451183431952664,horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2024_log
TimesFM,524,1.0,19.37869822485207,horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2024_log
Chronos,716,1.0,20.248868778280542,horizon_24,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2020_log
Moirai,694,1.0,19.626696832579185,horizon_24,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2020_log
Time-MoE,700,1.0,19.79638009049774,horizon_24,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2020_log
Timer,726,1.0,20.531674208144796,horizon_24,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2020_log
TimesFM,700,1.0,19.79638009049774,horizon_24,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2020_log
Chronos,759,1.0,20.272435897435898,horizon_24,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2021_log
Moirai,741,1.0,19.791666666666668,horizon_24,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2021_log
Time-MoE,751,1.0,20.058760683760685,horizon_24,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2021_log
Timer,747,1.0,19.951923076923077,horizon_24,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2021_log
TimesFM,746,1.0,19.925213675213676,horizon_24,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2021_log
Chronos,851,1.0,20.45673076923077,horizon_24,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2022_log
Moirai,810,1.0,19.471153846153847,horizon_24,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2022_log
Time-MoE,817,1.0,19.639423076923077,horizon_24,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2022_log
Timer,846,1.0,20.33653846153846,horizon_24,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2022_log
TimesFM,836,1.0,20.096153846153847,horizon_24,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2022_log
Chronos,718,1.0,20.305429864253394,horizon_24,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2023_log
Moirai,683,1.0,19.31561085972851,horizon_24,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2023_log
Time-MoE,705,1.0,19.937782805429865,horizon_24,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2023_log
Timer,708,1.0,20.02262443438914,horizon_24,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2023_log
TimesFM,722,1.0,20.418552036199095,horizon_24,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2023_log
