Learner,selections,avg_weight,percentage,horizon,state,year,experiment
Chronos,759,1.0,20.272435897435898,horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2020_log
Moirai,746,1.0,19.925213675213676,horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2020_log
Time-MoE,671,1.0,17.92200854700855,horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2020_log
Timer,823,1.0,21.98183760683761,horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2020_log
TimesFM,745,1.0,19.898504273504273,horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2020_log
Chronos,575,1.0,21.264792899408285,horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2021_log
Moirai,565,1.0,20.894970414201183,horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2021_log
Time-MoE,555,1.0,20.525147928994084,horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2021_log
Timer,536,1.0,19.82248520710059,horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2021_log
TimesFM,473,1.0,17.492603550295858,horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2021_log
Chronos,816,1.0,19.615384615384617,horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2022_log
Moirai,789,1.0,18.966346153846153,horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2022_log
Time-MoE,810,1.0,19.471153846153847,horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2022_log
Timer,852,1.0,20.48076923076923,horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2022_log
TimesFM,893,1.0,21.466346153846153,horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2022_log
Chronos,650,1.0,18.38235294117647,horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2023_log
Moirai,722,1.0,20.418552036199095,horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2023_log
Time-MoE,708,1.0,20.02262443438914,horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2023_log
Timer,739,1.0,20.899321266968325,horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2023_log
TimesFM,717,1.0,20.27714932126697,horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2023_log
Chronos,874,1.0,22.115384615384617,horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2024_log
Moirai,752,1.0,19.02834008097166,horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2024_log
Time-MoE,754,1.0,19.07894736842105,horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2024_log
Timer,781,1.0,19.762145748987855,horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2024_log
TimesFM,791,1.0,20.015182186234817,horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2024_log
Chronos,753,1.0,21.29524886877828,horizon_24,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2020_log
Moirai,682,1.0,19.287330316742082,horizon_24,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2020_log
Time-MoE,726,1.0,20.531674208144796,horizon_24,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2020_log
Timer,636,1.0,17.986425339366516,horizon_24,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2020_log
TimesFM,739,1.0,20.899321266968325,horizon_24,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2020_log
Chronos,787,1.0,21.020299145299145,horizon_24,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2021_log
Moirai,720,1.0,19.23076923076923,horizon_24,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2021_log
Time-MoE,789,1.0,21.07371794871795,horizon_24,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2021_log
Timer,714,1.0,19.07051282051282,horizon_24,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2021_log
TimesFM,734,1.0,19.604700854700855,horizon_24,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2021_log
Chronos,433,1.0,18.924825174825173,horizon_24,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2022_log
Moirai,429,1.0,18.75,horizon_24,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2022_log
Time-MoE,535,1.0,23.382867132867133,horizon_24,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2022_log
Timer,421,1.0,18.40034965034965,horizon_24,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2022_log
TimesFM,470,1.0,20.541958041958043,horizon_24,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2022_log
Chronos,865,1.0,20.79326923076923,horizon_24,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2023_log
Moirai,870,1.0,20.91346153846154,horizon_24,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2023_log
Time-MoE,852,1.0,20.48076923076923,horizon_24,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2023_log
Timer,837,1.0,20.120192307692307,horizon_24,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2023_log
TimesFM,736,1.0,17.692307692307693,horizon_24,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2023_log
Chronos,650,1.0,18.38235294117647,horizon_24,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2024_log
Moirai,722,1.0,20.418552036199095,horizon_24,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2024_log
Time-MoE,708,1.0,20.02262443438914,horizon_24,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2024_log
Timer,739,1.0,20.899321266968325,horizon_24,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2024_log
TimesFM,717,1.0,20.27714932126697,horizon_24,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2024_log
Chronos,441,1.0,17.66826923076923,horizon_3,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2020_log
Moirai,486,1.0,19.471153846153847,horizon_3,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2020_log
Time-MoE,517,1.0,20.713141025641026,horizon_3,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2020_log
Timer,555,1.0,22.235576923076923,horizon_3,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2020_log
TimesFM,497,1.0,19.911858974358974,horizon_3,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2020_log
Chronos,715,1.0,22.916666666666668,horizon_3,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2021_log
Moirai,578,1.0,18.525641025641026,horizon_3,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2021_log
Time-MoE,592,1.0,18.974358974358974,horizon_3,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2021_log
Timer,608,1.0,19.487179487179485,horizon_3,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2021_log
TimesFM,627,1.0,20.096153846153847,horizon_3,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2021_log
Chronos,456,1.0,19.93006993006993,horizon_3,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2022_log
Moirai,491,1.0,21.45979020979021,horizon_3,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2022_log
Time-MoE,444,1.0,19.405594405594407,horizon_3,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2022_log
Timer,424,1.0,18.53146853146853,horizon_3,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2022_log
TimesFM,473,1.0,20.673076923076923,horizon_3,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2022_log
Chronos,887,1.0,21.322115384615383,horizon_3,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2023_log
Moirai,827,1.0,19.879807692307693,horizon_3,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2023_log
Time-MoE,774,1.0,18.60576923076923,horizon_3,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2023_log
Timer,826,1.0,19.85576923076923,horizon_3,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2023_log
TimesFM,846,1.0,20.33653846153846,horizon_3,excluding_sp,2023,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2023_log
Chronos,652,1.0,19.591346153846153,horizon_3,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2024_log
Moirai,717,1.0,21.544471153846153,horizon_3,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2024_log
Time-MoE,623,1.0,18.719951923076923,horizon_3,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2024_log
Timer,627,1.0,18.84014423076923,horizon_3,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2024_log
TimesFM,709,1.0,21.30408653846154,horizon_3,excluding_sp,2024,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2024_log
Chronos,532,1.0,19.674556213017752,horizon_6,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2020_log
Moirai,506,1.0,18.71301775147929,horizon_6,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2020_log
Time-MoE,578,1.0,21.375739644970412,horizon_6,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2020_log
Timer,536,1.0,19.82248520710059,horizon_6,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2020_log
TimesFM,552,1.0,20.414201183431953,horizon_6,excluding_sp,2020,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2020_log
Chronos,575,1.0,18.42948717948718,horizon_6,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2021_log
Moirai,648,1.0,20.76923076923077,horizon_6,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2021_log
Time-MoE,613,1.0,19.647435897435898,horizon_6,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2021_log
Timer,643,1.0,20.608974358974358,horizon_6,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2021_log
TimesFM,641,1.0,20.544871794871796,horizon_6,excluding_sp,2021,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2021_log
Chronos,875,1.0,21.033653846153847,horizon_6,excluding_sp,2022,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001_2022_log
