horizon,state,year,experiment,num_epochs,min_loss
horizon_12,excluding_sp,2020,model_topk_1_norm_std_noise_False_ep_20_lr_1e-05_2020_log,16,0.1780708913619701
horizon_12,excluding_sp,2021,model_topk_1_norm_std_noise_False_ep_20_lr_1e-05_2021_log,19,0.2690864251210139
horizon_12,excluding_sp,2022,model_topk_1_norm_std_noise_False_ep_20_lr_1e-05_2022_log,20,0.2065672129392624
horizon_12,excluding_sp,2023,model_topk_1_norm_std_noise_False_ep_20_lr_1e-05_2023_log,16,0.1456000117155221
horizon_12,excluding_sp,2024,model_topk_1_norm_std_noise_False_ep_20_lr_1e-05_2024_log,13,0.171111340706165
horizon_24,excluding_sp,2020,model_topk_1_norm_std_noise_False_ep_20_lr_1e-05_2020_log,17,0.2903440250800206
horizon_24,excluding_sp,2021,model_topk_1_norm_std_noise_False_ep_20_lr_1e-05_2021_log,18,0.2008578914862412
horizon_24,excluding_sp,2022,model_topk_1_norm_std_noise_False_ep_20_lr_1e-05_2022_log,20,0.2810931251599238
horizon_24,excluding_sp,2023,model_topk_1_norm_std_noise_False_ep_20_lr_1e-05_2023_log,17,0.267504123541025
horizon_24,excluding_sp,2024,model_topk_1_norm_std_noise_False_ep_20_lr_1e-05_2024_log,20,0.2051688478543208
horizon_3,excluding_sp,2020,model_topk_1_norm_std_noise_False_ep_20_lr_1e-05_2020_log,14,0.0950551984401849
horizon_3,excluding_sp,2021,model_topk_1_norm_std_noise_False_ep_20_lr_1e-05_2021_log,12,0.100206149312166
horizon_3,excluding_sp,2022,model_topk_1_norm_std_noise_False_ep_20_lr_1e-05_2022_log,12,0.0704088841493313
horizon_3,excluding_sp,2023,model_topk_1_norm_std_noise_False_ep_20_lr_1e-05_2023_log,20,0.083289711521222
horizon_3,excluding_sp,2024,model_topk_1_norm_std_noise_False_ep_20_lr_1e-05_2024_log,12,0.1264333151854001
horizon_6,excluding_sp,2020,model_topk_1_norm_std_noise_False_ep_20_lr_1e-05_2020_log,20,0.1382012069225311
horizon_6,excluding_sp,2021,model_topk_1_norm_std_noise_False_ep_20_lr_1e-05_2021_log,16,0.1480386681281603
horizon_6,excluding_sp,2022,model_topk_1_norm_std_noise_False_ep_20_lr_1e-05_2022_log,19,0.1000305139101468
horizon_6,excluding_sp,2023,model_topk_1_norm_std_noise_False_ep_20_lr_1e-05_2023_log,12,0.1033883633521886
horizon_6,excluding_sp,2024,model_topk_1_norm_std_noise_False_ep_20_lr_1e-05_2024_log,13,0.1500431711857135
