Learner,selections,avg_weight,percentage,horizon,state,year,experiment
Chronos,965,1.0,20.171404682274247,horizon_12,excluding_sp,2020,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2020_log
Moirai,936,1.0,19.565217391304348,horizon_12,excluding_sp,2020,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2020_log
Time-MoE,950,1.0,19.857859531772576,horizon_12,excluding_sp,2020,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2020_log
Timer,969,1.0,20.255016722408026,horizon_12,excluding_sp,2020,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2020_log
TimesFM,964,1.0,20.150501672240804,horizon_12,excluding_sp,2020,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2020_log
Chronos,596,1.0,20.467032967032967,horizon_12,excluding_sp,2021,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2021_log
Moirai,548,1.0,18.818681318681318,horizon_12,excluding_sp,2021,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2021_log
Time-MoE,583,1.0,20.020604395604394,horizon_12,excluding_sp,2021,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2021_log
Timer,585,1.0,20.089285714285715,horizon_12,excluding_sp,2021,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2021_log
TimesFM,600,1.0,20.604395604395606,horizon_12,excluding_sp,2021,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2021_log
Chronos,677,1.0,20.342548076923077,horizon_12,excluding_sp,2022,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2022_log
Moirai,639,1.0,19.200721153846153,horizon_12,excluding_sp,2022,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2022_log
Time-MoE,666,1.0,20.01201923076923,horizon_12,excluding_sp,2022,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2022_log
Timer,674,1.0,20.252403846153847,horizon_12,excluding_sp,2022,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2022_log
TimesFM,672,1.0,20.192307692307693,horizon_12,excluding_sp,2022,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2022_log
Chronos,876,1.0,20.054945054945055,horizon_12,excluding_sp,2023,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2023_log
Moirai,858,1.0,19.642857142857142,horizon_12,excluding_sp,2023,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2023_log
Time-MoE,876,1.0,20.054945054945055,horizon_12,excluding_sp,2023,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2023_log
Timer,879,1.0,20.123626373626372,horizon_12,excluding_sp,2023,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2023_log
TimesFM,879,1.0,20.123626373626372,horizon_12,excluding_sp,2023,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2023_log
Chronos,595,1.0,20.432692307692307,horizon_12,excluding_sp,2024,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2024_log
Moirai,565,1.0,19.40247252747253,horizon_12,excluding_sp,2024,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2024_log
Time-MoE,585,1.0,20.089285714285715,horizon_12,excluding_sp,2024,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2024_log
Timer,587,1.0,20.157967032967033,horizon_12,excluding_sp,2024,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2024_log
TimesFM,580,1.0,19.917582417582416,horizon_12,excluding_sp,2024,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2024_log
Chronos,673,1.0,20.22235576923077,horizon_24,excluding_sp,2020,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2020_log
Moirai,631,1.0,18.96033653846154,horizon_24,excluding_sp,2020,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2020_log
Time-MoE,674,1.0,20.252403846153847,horizon_24,excluding_sp,2020,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2020_log
Timer,677,1.0,20.342548076923077,horizon_24,excluding_sp,2020,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2020_log
TimesFM,673,1.0,20.22235576923077,horizon_24,excluding_sp,2020,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2020_log
Chronos,582,1.0,19.986263736263737,horizon_24,excluding_sp,2021,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2021_log
Moirai,563,1.0,19.333791208791208,horizon_24,excluding_sp,2021,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2021_log
Time-MoE,588,1.0,20.192307692307693,horizon_24,excluding_sp,2021,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2021_log
Timer,595,1.0,20.432692307692307,horizon_24,excluding_sp,2021,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2021_log
TimesFM,584,1.0,20.054945054945055,horizon_24,excluding_sp,2021,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2021_log
Chronos,1088,1.0,20.118343195266274,horizon_24,excluding_sp,2022,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2022_log
Moirai,1067,1.0,19.730029585798817,horizon_24,excluding_sp,2022,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2022_log
Time-MoE,1092,1.0,20.192307692307693,horizon_24,excluding_sp,2022,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2022_log
Timer,1074,1.0,19.859467455621303,horizon_24,excluding_sp,2022,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2022_log
TimesFM,1087,1.0,20.099852071005916,horizon_24,excluding_sp,2022,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2022_log
Chronos,686,1.0,20.61298076923077,horizon_24,excluding_sp,2023,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2023_log
Moirai,641,1.0,19.260817307692307,horizon_24,excluding_sp,2023,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2023_log
Time-MoE,644,1.0,19.35096153846154,horizon_24,excluding_sp,2023,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2023_log
Timer,680,1.0,20.432692307692307,horizon_24,excluding_sp,2023,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2023_log
TimesFM,677,1.0,20.342548076923077,horizon_24,excluding_sp,2023,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2023_log
Chronos,876,1.0,20.054945054945055,horizon_24,excluding_sp,2024,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2024_log
Moirai,858,1.0,19.642857142857142,horizon_24,excluding_sp,2024,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2024_log
Time-MoE,876,1.0,20.054945054945055,horizon_24,excluding_sp,2024,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2024_log
Timer,879,1.0,20.123626373626372,horizon_24,excluding_sp,2024,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2024_log
TimesFM,879,1.0,20.123626373626372,horizon_24,excluding_sp,2024,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2024_log
Chronos,798,1.0,20.192307692307693,horizon_3,excluding_sp,2020,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2020_log
Moirai,789,1.0,19.964574898785425,horizon_3,excluding_sp,2020,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2020_log
Time-MoE,777,1.0,19.660931174089068,horizon_3,excluding_sp,2020,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2020_log
Timer,809,1.0,20.470647773279353,horizon_3,excluding_sp,2020,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2020_log
TimesFM,779,1.0,19.71153846153846,horizon_3,excluding_sp,2020,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2020_log
Chronos,648,1.0,20.76923076923077,horizon_3,excluding_sp,2021,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2021_log
Moirai,596,1.0,19.102564102564102,horizon_3,excluding_sp,2021,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2021_log
Time-MoE,624,1.0,20.0,horizon_3,excluding_sp,2021,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2021_log
Timer,625,1.0,20.03205128205128,horizon_3,excluding_sp,2021,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2021_log
TimesFM,627,1.0,20.096153846153847,horizon_3,excluding_sp,2021,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2021_log
Chronos,502,1.0,20.112179487179485,horizon_3,excluding_sp,2022,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2022_log
Moirai,484,1.0,19.391025641025642,horizon_3,excluding_sp,2022,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2022_log
Time-MoE,497,1.0,19.911858974358974,horizon_3,excluding_sp,2022,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2022_log
Timer,513,1.0,20.552884615384617,horizon_3,excluding_sp,2022,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2022_log
TimesFM,500,1.0,20.03205128205128,horizon_3,excluding_sp,2022,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2022_log
Chronos,473,1.0,20.673076923076923,horizon_3,excluding_sp,2023,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2023_log
Moirai,443,1.0,19.361888111888113,horizon_3,excluding_sp,2023,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2023_log
Time-MoE,450,1.0,19.667832167832167,horizon_3,excluding_sp,2023,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2023_log
Timer,465,1.0,20.323426573426573,horizon_3,excluding_sp,2023,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2023_log
TimesFM,457,1.0,19.973776223776223,horizon_3,excluding_sp,2023,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2023_log
Chronos,558,1.0,20.63609467455621,horizon_3,excluding_sp,2024,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2024_log
Moirai,527,1.0,19.4896449704142,horizon_3,excluding_sp,2024,model_topk_1_norm_std_noise_False_ep_50_lr_0.0001_2024_log
