Learner,selections,avg_weight,percentage,horizon,state,year,experiment
Chronos,8250,0.6568493847944491,21.097585924713584,horizon_12,excluding_sp,2020,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2020_log
Moirai,8422,0.5115022236948297,21.537438625204583,horizon_12,excluding_sp,2020,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2020_log
Time-MoE,7073,0.41069930791959786,18.087663666121113,horizon_12,excluding_sp,2020,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2020_log
Timer,7436,0.27727360664340417,19.01595744680851,horizon_12,excluding_sp,2020,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2020_log
TimesFM,7923,0.6132068787566617,20.26135433715221,horizon_12,excluding_sp,2020,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2020_log
Chronos,9266,0.551576584013274,22.27403846153846,horizon_12,excluding_sp,2021,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2021_log
Moirai,7885,0.6060705872430713,18.954326923076923,horizon_12,excluding_sp,2021,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2021_log
Time-MoE,7818,0.48312220407779005,18.79326923076923,horizon_12,excluding_sp,2021,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2021_log
Timer,7852,0.3562818728565122,18.875,horizon_12,excluding_sp,2021,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2021_log
TimesFM,8779,0.49386605965935765,21.103365384615383,horizon_12,excluding_sp,2021,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2021_log
Chronos,5363,0.4678098591723577,22.227287798408486,horizon_12,excluding_sp,2022,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2022_log
Moirai,4524,0.5419039374849801,18.75,horizon_12,excluding_sp,2022,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2022_log
Time-MoE,4678,0.4656089019957941,19.388262599469495,horizon_12,excluding_sp,2022,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2022_log
Timer,4553,0.5538732586159889,18.870192307692307,horizon_12,excluding_sp,2022,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2022_log
TimesFM,5010,0.4797722399338872,20.764257294429708,horizon_12,excluding_sp,2022,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2022_log
Chronos,8457,0.6389444045363699,20.329326923076923,horizon_12,excluding_sp,2023,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2023_log
Moirai,8008,0.44723765335239274,19.25,horizon_12,excluding_sp,2023,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2023_log
Time-MoE,8044,0.44357968171688944,19.33653846153846,horizon_12,excluding_sp,2023,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2023_log
Timer,8649,0.45183291501971945,20.790865384615383,horizon_12,excluding_sp,2023,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2023_log
TimesFM,8442,0.5139670930660233,20.29326923076923,horizon_12,excluding_sp,2023,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2023_log
Chronos,6009,0.4154953088241939,20.635302197802197,horizon_12,excluding_sp,2024,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2024_log
Moirai,6048,0.632359156574932,20.76923076923077,horizon_12,excluding_sp,2024,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2024_log
Time-MoE,5431,0.45576684957154384,18.650412087912088,horizon_12,excluding_sp,2024,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2024_log
Timer,5462,0.3246534280872508,18.75686813186813,horizon_12,excluding_sp,2024,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2024_log
TimesFM,6170,0.6467185932073465,21.188186813186814,horizon_12,excluding_sp,2024,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2024_log
Chronos,9466,0.5877152676652773,22.754807692307693,horizon_24,excluding_sp,2020,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2020_log
Moirai,8971,0.5687619461555856,21.564903846153847,horizon_24,excluding_sp,2020,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2020_log
Time-MoE,6541,0.42088764046534966,15.723557692307692,horizon_24,excluding_sp,2020,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2020_log
Timer,7777,0.461412611432202,18.69471153846154,horizon_24,excluding_sp,2020,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2020_log
TimesFM,8845,0.42881762847499005,21.26201923076923,horizon_24,excluding_sp,2020,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2020_log
Chronos,7146,0.8332184058105275,22.30894105894106,horizon_24,excluding_sp,2021,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2021_log
Moirai,7011,0.5543393031912149,21.887487512487514,horizon_24,excluding_sp,2021,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2021_log
Time-MoE,5507,0.10172942991170421,17.192182817182818,horizon_24,excluding_sp,2021,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2021_log
Timer,5007,0.2969931211873632,15.631243756243757,horizon_24,excluding_sp,2021,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2021_log
TimesFM,7361,0.5608042233892802,22.980144855144854,horizon_24,excluding_sp,2021,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2021_log
Chronos,6462,0.6925818158627244,22.190934065934066,horizon_24,excluding_sp,2022,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2022_log
Moirai,6285,0.5858612720116728,21.583104395604394,horizon_24,excluding_sp,2022,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2022_log
Time-MoE,4737,0.18596076660557723,16.26717032967033,horizon_24,excluding_sp,2022,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2022_log
Timer,5212,0.3908204202240715,17.89835164835165,horizon_24,excluding_sp,2022,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2022_log
TimesFM,6424,0.5424262188283943,22.060439560439562,horizon_24,excluding_sp,2022,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2022_log
Chronos,5452,0.5842069102925685,22.213168187744458,horizon_24,excluding_sp,2023,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2023_log
Moirai,5044,0.3896209559050629,20.550847457627118,horizon_24,excluding_sp,2023,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2023_log
Time-MoE,4800,0.426330659196877,19.55671447196871,horizon_24,excluding_sp,2023,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2023_log
Timer,3972,0.3372898838178541,16.183181225554108,horizon_24,excluding_sp,2023,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2023_log
TimesFM,5276,0.7080275279443663,21.496088657105606,horizon_24,excluding_sp,2023,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2023_log
Chronos,6869,0.7090133447134196,22.016025641025642,horizon_24,excluding_sp,2024,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2024_log
Moirai,6302,0.49287731501799026,20.19871794871795,horizon_24,excluding_sp,2024,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2024_log
Time-MoE,5573,0.44472702430030936,17.862179487179485,horizon_24,excluding_sp,2024,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2024_log
Timer,5976,0.3667624613674814,19.153846153846153,horizon_24,excluding_sp,2024,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2024_log
TimesFM,6480,0.4557775180423982,20.76923076923077,horizon_24,excluding_sp,2024,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2024_log
Chronos,4575,0.39071101157335997,19.29402834008097,horizon_3,excluding_sp,2020,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2020_log
Moirai,4182,0.6163631163299689,17.63663967611336,horizon_3,excluding_sp,2020,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2020_log
Time-MoE,4940,0.5620829630483006,20.833333333333332,horizon_3,excluding_sp,2020,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2020_log
Timer,4975,0.4867856325112996,20.980937921727396,horizon_3,excluding_sp,2020,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2020_log
TimesFM,5040,0.45484488401867884,21.25506072874494,horizon_3,excluding_sp,2020,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2020_log
Chronos,4197,0.4541086095724223,19.401812130177515,horizon_3,excluding_sp,2021,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2021_log
Moirai,4433,0.5419841611432448,20.49278846153846,horizon_3,excluding_sp,2021,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2021_log
Time-MoE,4177,0.45888345132030106,19.30935650887574,horizon_3,excluding_sp,2021,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2021_log
Timer,4000,0.30898196043330967,18.49112426035503,horizon_3,excluding_sp,2021,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2021_log
TimesFM,4825,0.695296654749874,22.304918639053255,horizon_3,excluding_sp,2021,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2021_log
Chronos,6422,0.34215261666290636,20.3125,horizon_3,excluding_sp,2022,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2022_log
Moirai,6498,0.5805840111755322,20.552884615384617,horizon_3,excluding_sp,2022,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2022_log
Time-MoE,6454,0.6537767253851806,20.413714574898787,horizon_3,excluding_sp,2022,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2022_log
Timer,6257,0.5115561241841846,19.790612348178136,horizon_3,excluding_sp,2022,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2022_log
TimesFM,5985,0.403973154756259,18.93028846153846,horizon_3,excluding_sp,2022,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2022_log
Chronos,5749,0.42648263380019963,19.742445054945055,horizon_3,excluding_sp,2023,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2023_log
Moirai,5626,0.5950969522806093,19.320054945054945,horizon_3,excluding_sp,2023,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2023_log
Time-MoE,6092,0.4208563215019531,20.92032967032967,horizon_3,excluding_sp,2023,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2023_log
Timer,5776,0.5461298155068512,19.835164835164836,horizon_3,excluding_sp,2023,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2023_log
TimesFM,5877,0.5175826713391082,20.182005494505493,horizon_3,excluding_sp,2023,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2023_log
Chronos,3525,0.5262188283177316,21.72707100591716,horizon_3,excluding_sp,2024,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2024_log
Moirai,3307,0.6162229322525328,20.38338264299803,horizon_3,excluding_sp,2024,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2024_log
Time-MoE,3184,0.4257420986826541,19.62524654832347,horizon_3,excluding_sp,2024,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2024_log
Timer,3274,0.5025665250685915,20.179980276134124,horizon_3,excluding_sp,2024,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2024_log
TimesFM,2934,0.4152228183070103,18.08431952662722,horizon_3,excluding_sp,2024,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2024_log
Chronos,8486,0.4466836194157961,20.39903846153846,horizon_6,excluding_sp,2020,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2020_log
Moirai,7512,0.4841848738844431,18.057692307692307,horizon_6,excluding_sp,2020,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2020_log
Time-MoE,9248,0.6867492142572162,22.23076923076923,horizon_6,excluding_sp,2020,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2020_log
Timer,7891,0.4474891658586476,18.96875,horizon_6,excluding_sp,2020,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2020_log
TimesFM,8463,0.4123894941072444,20.34375,horizon_6,excluding_sp,2020,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2020_log
Chronos,6236,0.4819755476844962,21.113217768147347,horizon_6,excluding_sp,2021,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2021_log
Moirai,5800,0.5706036966364276,19.637053087757312,horizon_6,excluding_sp,2021,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2021_log
Time-MoE,5674,0.4564292968580026,19.210455037919825,horizon_6,excluding_sp,2021,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2021_log
Timer,6060,0.42419980224389375,20.517334777898157,horizon_6,excluding_sp,2021,model_topk_2_norm_minmax_noise_False_ep_100_lr_0.001_2021_log
