horizon,state,year,experiment,num_epochs,min_loss
horizon_12,excluding_sp,2020,model_topk_2_norm_minmax_noise_True_ep_50_lr_0.001_2020_log,50,0.1556678626399774
horizon_12,excluding_sp,2021,model_topk_2_norm_minmax_noise_True_ep_50_lr_0.001_2021_log,50,0.251990584226755
horizon_12,excluding_sp,2022,model_topk_2_norm_minmax_noise_True_ep_50_lr_0.001_2022_log,50,0.1701302024034353
horizon_12,excluding_sp,2023,model_topk_2_norm_minmax_noise_True_ep_50_lr_0.001_2023_log,50,0.1266897332209807
horizon_12,excluding_sp,2024,model_topk_2_norm_minmax_noise_True_ep_50_lr_0.001_2024_log,50,0.140284647162144
horizon_24,excluding_sp,2020,model_topk_2_norm_minmax_noise_True_ep_50_lr_0.001_2020_log,50,0.2144532593396994
horizon_24,excluding_sp,2021,model_topk_2_norm_minmax_noise_True_ep_50_lr_0.001_2021_log,50,0.1690245855313081
horizon_24,excluding_sp,2022,model_topk_2_norm_minmax_noise_True_ep_50_lr_0.001_2022_log,42,0.2450577020645141
horizon_24,excluding_sp,2023,model_topk_2_norm_minmax_noise_True_ep_50_lr_0.001_2023_log,50,0.2428803157347899
horizon_24,excluding_sp,2024,model_topk_2_norm_minmax_noise_True_ep_50_lr_0.001_2024_log,50,0.1583244651556015
horizon_3,excluding_sp,2020,model_topk_2_norm_minmax_noise_True_ep_50_lr_0.001_2020_log,50,0.0837658093525813
horizon_3,excluding_sp,2021,model_topk_2_norm_minmax_noise_True_ep_50_lr_0.001_2021_log,50,0.0832956100885684
horizon_3,excluding_sp,2022,model_topk_2_norm_minmax_noise_True_ep_50_lr_0.001_2022_log,50,0.0624350315103164
horizon_3,excluding_sp,2023,model_topk_2_norm_minmax_noise_True_ep_50_lr_0.001_2023_log,50,0.0701987144465629
horizon_3,excluding_sp,2024,model_topk_2_norm_minmax_noise_True_ep_50_lr_0.001_2024_log,50,0.0936832852088488
horizon_6,excluding_sp,2020,model_topk_2_norm_minmax_noise_True_ep_50_lr_0.001_2020_log,50,0.1198799369426874
horizon_6,excluding_sp,2021,model_topk_2_norm_minmax_noise_True_ep_50_lr_0.001_2021_log,50,0.1262427144325696
horizon_6,excluding_sp,2022,model_topk_2_norm_minmax_noise_True_ep_50_lr_0.001_2022_log,50,0.0840003908826754
horizon_6,excluding_sp,2023,model_topk_2_norm_minmax_noise_True_ep_50_lr_0.001_2023_log,50,0.0850796189445715
horizon_6,excluding_sp,2024,model_topk_2_norm_minmax_noise_True_ep_50_lr_0.001_2024_log,47,0.1146974878815504
