Learner,selections,avg_weight,percentage,horizon,state,year,experiment
Chronos,2996,0.5001292184731352,24.8342175066313,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_30_lr_1e-05_2020_log
Moirai,2309,0.49993279926081974,19.139588859416445,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_30_lr_1e-05_2020_log
Time-MoE,1903,0.5000515019054232,15.77420424403183,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_30_lr_1e-05_2020_log
Timer,2183,0.49989913840169375,18.095159151193634,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_30_lr_1e-05_2020_log
TimesFM,2673,0.49995892932251784,22.15683023872679,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_False_ep_30_lr_1e-05_2020_log
Chronos,2308,0.5000946601171634,27.740384615384617,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_30_lr_1e-05_2021_log
Moirai,1336,0.4999134483674686,16.057692307692307,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_30_lr_1e-05_2021_log
Time-MoE,1469,0.49993744021861064,17.65625,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_30_lr_1e-05_2021_log
Timer,1313,0.4999229046604784,15.78125,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_30_lr_1e-05_2021_log
TimesFM,1894,0.5000476766822205,22.764423076923077,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_False_ep_30_lr_1e-05_2021_log
Chronos,2177,0.49997220734253245,20.12758875739645,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_30_lr_1e-05_2022_log
Moirai,2325,0.5000132472925288,21.495931952662723,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_30_lr_1e-05_2022_log
Time-MoE,1952,0.49989753123372793,18.047337278106507,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_30_lr_1e-05_2022_log
Timer,1971,0.5000810259220746,18.223002958579883,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_30_lr_1e-05_2022_log
TimesFM,2391,0.5000292926540638,22.106139053254438,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_False_ep_30_lr_1e-05_2022_log
Chronos,2980,0.5002575868728177,23.878205128205128,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_30_lr_1e-05_2023_log
Moirai,2383,0.4999939181626568,19.09455128205128,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_30_lr_1e-05_2023_log
Time-MoE,2109,0.4999499224751637,16.89903846153846,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_30_lr_1e-05_2023_log
Timer,2377,0.4998885091107384,19.046474358974358,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_30_lr_1e-05_2023_log
TimesFM,2631,0.4998546284058845,21.08173076923077,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_False_ep_30_lr_1e-05_2023_log
Chronos,1748,0.4996917669403471,17.50801282051282,horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_30_lr_1e-05_2024_log
Moirai,2895,0.5011058612088054,28.99639423076923,horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_False_ep_30_lr_1e-05_2024_log
