Learner,selections,avg_weight,percentage,horizon,state,year,experiment
Chronos,4988,0.4944520085290195,23.98076923076923,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_50_lr_0.001_2020_log
Moirai,4410,0.47226098959410484,21.201923076923077,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_50_lr_0.001_2020_log
Time-MoE,3263,0.6379793611919685,15.6875,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_50_lr_0.001_2020_log
Timer,3566,0.4615198447630998,17.14423076923077,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_50_lr_0.001_2020_log
TimesFM,4573,0.4643551257090151,21.985576923076923,horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_50_lr_0.001_2020_log
Chronos,4517,0.5153630378146614,21.716346153846153,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_50_lr_0.001_2021_log
Moirai,3784,0.4720239137250073,18.192307692307693,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_50_lr_0.001_2021_log
Time-MoE,3298,0.4727990311150269,15.85576923076923,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_50_lr_0.001_2021_log
Timer,4103,0.40005408444260493,19.72596153846154,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_50_lr_0.001_2021_log
TimesFM,5098,0.6051890063362628,24.509615384615383,horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_50_lr_0.001_2021_log
Chronos,4447,0.47336448968088213,21.379807692307693,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_50_lr_0.001_2022_log
Moirai,4180,0.5467575342251817,20.096153846153847,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_50_lr_0.001_2022_log
Time-MoE,3911,0.5145963864503215,18.802884615384617,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_50_lr_0.001_2022_log
Timer,3815,0.45302583375639927,18.341346153846153,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_50_lr_0.001_2022_log
TimesFM,4447,0.510146524281721,21.379807692307693,horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_50_lr_0.001_2022_log
Chronos,4704,0.548774896932213,22.615384615384617,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_50_lr_0.001_2023_log
Moirai,3795,0.48717456755623445,18.245192307692307,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_50_lr_0.001_2023_log
Time-MoE,3550,0.4786541439534467,17.067307692307693,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_50_lr_0.001_2023_log
Timer,4536,0.4840414082329446,21.807692307692307,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_50_lr_0.001_2023_log
TimesFM,4215,0.49226604030221205,20.264423076923077,horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_50_lr_0.001_2023_log
Chronos,4153,0.423036914052388,19.966346153846153,horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_True_ep_50_lr_0.001_2024_log
Moirai,4498,0.6010757920779694,21.625,horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_True_ep_50_lr_0.001_2024_log
Time-MoE,3760,0.416959170321791,18.076923076923077,horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_True_ep_50_lr_0.001_2024_log
Timer,3625,0.3651638676677993,17.427884615384617,horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_True_ep_50_lr_0.001_2024_log
TimesFM,4764,0.6397991764236529,22.903846153846153,horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_True_ep_50_lr_0.001_2024_log
Chronos,4770,0.509295259278992,22.932692307692307,horizon_24,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_50_lr_0.001_2020_log
Moirai,5931,0.6087843770378909,28.514423076923077,horizon_24,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_50_lr_0.001_2020_log
Time-MoE,1693,0.4776152720699902,8.139423076923077,horizon_24,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_50_lr_0.001_2020_log
