Sample,Learner,Weight
Sample 0,Timer,0.5914026498794556
Sample 0,Chronos,0.40859729051589966
Sample 1,TimesFM,0.5337103009223938
Sample 1,Chronos,0.4662896692752838
Sample 2,Time-MoE,0.7166845798492432
Sample 2,Chronos,0.28331542015075684
Sample 3,Chronos,0.53465735912323
Sample 3,Moirai,0.46534261107444763
Sample 4,Chronos,0.6436335444450378
Sample 4,TimesFM,0.35636645555496216
Sample 5,Time-MoE,0.8134036064147949
Sample 5,TimesFM,0.1865963488817215
Sample 6,Moirai,0.7992525696754456
Sample 6,TimesFM,0.20074748992919922
Sample 7,Chronos,0.5324258804321289
Sample 7,Timer,0.4675741493701935
Sample 8,Timer,0.5481876134872437
Sample 8,TimesFM,0.45181238651275635
Sample 9,Moirai,0.7535959482192993
Sample 9,Chronos,0.2464040070772171
Sample 10,TimesFM,0.5842226147651672
Sample 10,Moirai,0.41577738523483276
Sample 11,Chronos,0.6012887358665466
Sample 11,Moirai,0.39871129393577576
Sample 12,TimesFM,0.6091781258583069
Sample 12,Moirai,0.3908218443393707
Sample 13,Time-MoE,0.6562493443489075
Sample 13,Chronos,0.34375062584877014
Sample 14,Moirai,0.5055322051048279
Sample 14,Chronos,0.4944677948951721
Sample 15,Timer,0.5314335227012634
Sample 15,Time-MoE,0.46856650710105896
Sample 16,Timer,0.540617823600769
Sample 16,Time-MoE,0.45938214659690857
Sample 17,Moirai,0.8393262028694153
Sample 17,Timer,0.1606738120317459
Sample 18,Time-MoE,0.6473174095153809
Sample 18,Chronos,0.3526826500892639
Sample 19,Time-MoE,0.587827205657959
Sample 19,Chronos,0.4121728241443634
Sample 20,Timer,0.6463568210601807
Sample 20,TimesFM,0.3536432087421417
Sample 21,Time-MoE,0.5062419772148132
Sample 21,Timer,0.4937579929828644
Sample 22,Chronos,0.6282459497451782
Sample 22,TimesFM,0.3717540502548218
Sample 23,Timer,0.7065485119819641
Sample 23,Chronos,0.2934514880180359
Sample 24,TimesFM,0.7916057109832764
Sample 24,Moirai,0.20839424431324005
Sample 25,TimesFM,0.5504010915756226
Sample 25,Time-MoE,0.44959887862205505
Sample 26,Time-MoE,0.5672714710235596
Sample 26,Timer,0.43272852897644043
Sample 27,Time-MoE,0.5561769008636475
Sample 27,Timer,0.44382306933403015
Sample 28,TimesFM,0.5402683019638062
Sample 28,Moirai,0.4597316384315491
Sample 29,TimesFM,0.5968272089958191
Sample 29,Moirai,0.4031727612018585
Sample 30,Time-MoE,0.5320075750350952
Sample 30,TimesFM,0.4679924547672272
Sample 31,TimesFM,0.7105088233947754
Sample 31,Time-MoE,0.2894912362098694
Sample 0,Timer,0.7468938231468201
Sample 0,Chronos,0.25310614705085754
Sample 1,Time-MoE,0.554879903793335
Sample 1,Moirai,0.44512003660202026
Sample 2,TimesFM,0.502517819404602
Sample 2,Time-MoE,0.49748218059539795
Sample 3,Moirai,0.810000479221344
Sample 3,Chronos,0.1899995505809784
Sample 4,Moirai,0.7985318899154663
Sample 4,Time-MoE,0.2014680653810501
Sample 5,Chronos,0.8666405081748962
Sample 5,Time-MoE,0.13335949182510376
Sample 6,TimesFM,0.6336881518363953
Sample 6,Chronos,0.36631178855895996
Sample 7,Chronos,0.5992224812507629
Sample 7,TimesFM,0.40077751874923706
Sample 8,TimesFM,0.6005904674530029
Sample 8,Timer,0.39940956234931946
Sample 9,Chronos,0.5076572299003601
Sample 9,TimesFM,0.4923427700996399
Sample 10,Time-MoE,0.7344359159469604
Sample 10,Moirai,0.26556405425071716
Sample 11,Timer,0.6011137962341309
Sample 11,Moirai,0.39888617396354675
Sample 12,Chronos,0.6714921593666077
Sample 12,TimesFM,0.32850778102874756
Sample 13,Timer,0.5140611529350281
Sample 13,Time-MoE,0.4859388768672943
Sample 14,Chronos,0.8828133344650269
Sample 14,Timer,0.11718668788671494
Sample 15,TimesFM,0.6835238337516785
Sample 15,Time-MoE,0.3164761960506439
Sample 16,Timer,0.7886283993721008
Sample 16,Chronos,0.21137157082557678
Sample 17,Timer,0.6456542611122131
Sample 17,TimesFM,0.35434573888778687
Sample 18,Chronos,0.6577561497688293
Sample 18,TimesFM,0.34224388003349304
Sample 19,Moirai,0.6012821197509766
Sample 19,Time-MoE,0.3987179100513458
Sample 20,Moirai,0.660374104976654
Sample 20,Timer,0.3396259546279907
Sample 21,Chronos,0.5245860815048218
Sample 21,Moirai,0.4754139482975006
Sample 22,Time-MoE,0.9818369746208191
Sample 22,Moirai,0.01816297136247158
Sample 23,Chronos,0.5466797947883606
Sample 23,Timer,0.4533202350139618
Sample 24,Chronos,0.6810187697410583
Sample 24,Moirai,0.31898123025894165
Sample 25,Chronos,0.5570301413536072
Sample 25,Time-MoE,0.4429698586463928
Sample 26,Moirai,0.6256343722343445
Sample 26,Chronos,0.3743656575679779
Sample 27,Time-MoE,0.5747001767158508
Sample 27,Moirai,0.42529982328414917
Sample 28,Chronos,0.7182399034500122
Sample 28,Time-MoE,0.2817600965499878
Sample 29,Chronos,0.7340904474258423
Sample 29,TimesFM,0.2659095525741577
Sample 30,Time-MoE,0.7803031802177429
Sample 30,Moirai,0.21969683468341827
Sample 31,Timer,0.5152098536491394
Sample 31,Time-MoE,0.4847901463508606
Sample 0,TimesFM,0.5452607274055481
Sample 0,Timer,0.4547393023967743
Sample 1,Timer,0.5540063381195068
Sample 1,Chronos,0.4459936022758484
Sample 2,Chronos,0.5801794528961182
Sample 2,Moirai,0.41982051730155945
Sample 3,Time-MoE,0.6970369219779968
Sample 3,Timer,0.3029630184173584
Sample 4,Chronos,0.6966583132743835
Sample 4,Timer,0.30334168672561646
Sample 5,Moirai,0.6010025143623352
Sample 5,Timer,0.3989974856376648
Sample 6,Time-MoE,0.6195706725120544
Sample 6,Timer,0.38042935729026794
Sample 7,Time-MoE,0.800309956073761
Sample 7,Moirai,0.199690043926239
Sample 8,Timer,0.5597355961799622
Sample 8,Chronos,0.44026440382003784
Sample 9,TimesFM,0.6034902334213257
Sample 9,Chronos,0.3965098261833191
Sample 10,Moirai,0.5744401216506958
Sample 10,Chronos,0.4255598187446594
Sample 11,Moirai,0.7511376738548279
Sample 11,TimesFM,0.2488623559474945
Sample 12,Time-MoE,0.5018162131309509
Sample 12,Timer,0.4981837272644043
Sample 13,Chronos,0.5689742565155029
Sample 13,Time-MoE,0.4310257136821747
Sample 14,Time-MoE,0.5323448181152344
Sample 14,Moirai,0.46765515208244324
Sample 15,Timer,0.6466804146766663
Sample 15,TimesFM,0.35331952571868896
Sample 16,Chronos,0.5514745712280273
Sample 16,TimesFM,0.44852542877197266
Sample 17,Timer,0.5038178563117981
Sample 17,Chronos,0.4961821436882019
Sample 18,TimesFM,0.6435630321502686
Sample 18,Moirai,0.35643696784973145
Sample 19,Timer,0.7567087411880493
Sample 19,Moirai,0.24329128861427307
Sample 20,Chronos,0.5985859632492065
Sample 20,Time-MoE,0.40141403675079346
Sample 21,Time-MoE,0.7678407430648804
Sample 21,Chronos,0.23215924203395844
Sample 22,Time-MoE,0.5019671320915222
Sample 22,TimesFM,0.4980328381061554
Sample 23,Moirai,0.6576613783836365
Sample 23,Time-MoE,0.3423386216163635
Sample 24,Moirai,0.6718249320983887
Sample 24,Timer,0.32817500829696655
Sample 25,Timer,0.5918722748756409
Sample 25,Moirai,0.40812772512435913
Sample 26,Chronos,0.565032422542572
Sample 26,Moirai,0.43496760725975037
Sample 27,Time-MoE,0.7439103126525879
Sample 27,Moirai,0.2560897171497345
Sample 28,Timer,0.5644993185997009
Sample 28,TimesFM,0.43550071120262146
Sample 29,Moirai,0.649938702583313
Sample 29,Time-MoE,0.3500613272190094
Sample 30,Chronos,0.7032240629196167
Sample 30,Time-MoE,0.2967758774757385
Sample 31,Chronos,0.5216248631477356
Sample 31,Time-MoE,0.4783751964569092
Sample 0,TimesFM,0.7311205267906189
Sample 0,Time-MoE,0.2688794434070587
Sample 1,Timer,0.5949469208717346
Sample 1,TimesFM,0.4050530791282654
Sample 2,TimesFM,0.5322678089141846
Sample 2,Moirai,0.46773219108581543
Sample 3,Time-MoE,0.5876055359840393
Sample 3,Moirai,0.4123944640159607
Sample 4,Timer,0.758655846118927
Sample 4,Chronos,0.24134409427642822
Sample 5,Moirai,0.5588640570640564
Sample 5,Time-MoE,0.4411359131336212
Sample 6,Timer,0.5953632593154907
Sample 6,TimesFM,0.4046367406845093
Sample 7,Timer,0.5115588307380676
Sample 7,Chronos,0.4884411692619324
Sample 8,Time-MoE,0.5630440711975098
Sample 8,Timer,0.4369559586048126
Sample 9,TimesFM,0.6673712134361267
Sample 9,Timer,0.3326288163661957
Sample 10,Time-MoE,0.697577953338623
Sample 10,TimesFM,0.30242201685905457
Sample 11,Moirai,0.5488163828849792
Sample 11,TimesFM,0.45118364691734314
Sample 12,Timer,0.5413095951080322
Sample 12,Moirai,0.4586904048919678
Sample 13,Time-MoE,0.6529175639152527
Sample 13,TimesFM,0.3470824360847473
Sample 14,Time-MoE,0.532750129699707
Sample 14,Chronos,0.46724990010261536
Sample 15,Timer,0.5804028511047363
Sample 15,Moirai,0.4195970892906189
Sample 16,Chronos,0.5150853991508484
Sample 16,Timer,0.48491454124450684
Sample 17,Timer,0.516165554523468
Sample 17,Time-MoE,0.48383447527885437
Sample 18,Timer,0.6038670539855957
Sample 18,Moirai,0.3961329758167267
Sample 19,Chronos,0.5177233219146729
Sample 19,Time-MoE,0.48227664828300476
Sample 20,Timer,0.5665888786315918
Sample 20,Moirai,0.4334111511707306
Sample 21,Timer,0.5462135672569275
Sample 21,Time-MoE,0.4537864029407501
Sample 22,Timer,0.5282622575759888
Sample 22,Chronos,0.47173771262168884
Sample 23,Timer,0.5458396077156067
Sample 23,Moirai,0.4541604220867157
Sample 24,Chronos,0.5883336067199707
Sample 24,TimesFM,0.4116663336753845
Sample 25,Timer,0.7197217345237732
Sample 25,Time-MoE,0.2802782356739044
Sample 26,Chronos,0.6844361424446106
Sample 26,Time-MoE,0.3155638873577118
Sample 27,Timer,0.5367876291275024
Sample 27,Time-MoE,0.46321240067481995
Sample 28,Timer,0.5105473399162292
Sample 28,Moirai,0.48945266008377075
Sample 29,TimesFM,0.5620047450065613
Sample 29,Timer,0.4379952549934387
Sample 30,Time-MoE,0.5346223711967468
Sample 30,Moirai,0.46537765860557556
Sample 31,TimesFM,0.7629587650299072
Sample 31,Timer,0.23704126477241516
Sample 0,Time-MoE,0.7352419495582581
Sample 0,Moirai,0.26475802063941956
Sample 1,TimesFM,0.5387815833091736
Sample 1,Moirai,0.4612184166908264
Sample 2,Time-MoE,0.7677804827690125
Sample 2,Timer,0.23221959173679352
Sample 3,Chronos,0.6318830847740173
Sample 3,TimesFM,0.36811697483062744
Sample 4,Timer,0.6456689834594727
Sample 4,TimesFM,0.35433095693588257
Sample 5,Timer,0.7412952184677124
Sample 5,TimesFM,0.2587047517299652
Sample 6,Moirai,0.6813573837280273
Sample 6,Timer,0.31864264607429504
Sample 7,Chronos,0.6208475828170776
Sample 7,Timer,0.37915241718292236
Sample 8,Chronos,0.7743868231773376
Sample 8,Moirai,0.22561319172382355
Sample 9,TimesFM,0.5482485294342041
Sample 9,Moirai,0.4517515301704407
Sample 10,Time-MoE,0.6361173391342163
Sample 10,Chronos,0.3638826608657837
Sample 11,Timer,0.5911509394645691
Sample 11,Chronos,0.4088490307331085
Sample 12,Moirai,0.5002753138542175
Sample 12,TimesFM,0.49972468614578247
Sample 13,Timer,0.6702324748039246
Sample 13,Moirai,0.3297675549983978
Sample 14,Moirai,0.6634648442268372
